sa2,Has cancer (including remission),Does not have cancer (including remission),Not stated
North Rocks,258,7804,386
Northmead,351,18547,1380
Toongabbie - Constitution Hill,605,20631,1621
Winston Hills,354,10367,473
Pendle Hill - Girraween,231,12496,1211
Wentworthville - Westmead,234,19467,1864
Parramatta - North,85,11076,903
Parramatta - South,96,9025,745
Rosehill - Harris Park,80,8235,713
Pennant Hills - Cheltenham,666,20045,1035
Epping (East) - North Epping,305,13478,620
Epping (NSW) - West,399,17509,781
Gladesville - Huntleys Point,424,14112,917
Hunters Hill - Woolwich,332,8573,937
Macquarie Park - Marsfield,493,21977,1347
North Ryde - East Ryde,376,14245,996
West Ryde - Meadowbank,401,18724,970
Putney,137,3777,244
Denistone,180,6498,293
Eastwood,387,17577,1019
Ryde - North,491,18601,1192
Ryde - South,173,11002,787
Ashcroft - Busby - Miller,327,15231,2407
Austral - Greendale,218,10984,1326
Badgerys Creek,5,21,0
Cecil Hills,123,6369,415
Green Valley,199,11763,962
Hinchinbrook,214,11953,864
Hoxton Park - Carnes Hill - Horningsea Park,170,12165,932
West Hoxton - Middleton Grange,199,15880,1110
Cobbitty - Bringelly,138,4269,350
Gledswood Hills - Gregory Hills,162,13349,783
Leppington - Catherine Field,213,11621,734
Oran Park,212,16311,1096
Bonnyrigg Heights - Bonnyrigg,297,15554,1303
Bossley Park - Abbotsbury,498,17683,1511
Cabramatta - Lansvale,318,21396,2389
Cabramatta West - Mount Pritchard,332,16165,1757
Canley Vale - Canley Heights,315,19904,2032
Edensor Park,212,9312,748
Fairfield,336,16106,1799
Fairfield - West,374,19007,1869
Greenfield Park - Prairiewood,179,8061,612
Horsley Park - Kemps Creek,122,3819,393
Smithfield - Wetherill Park,444,17574,1490
St Johns Park - Wakeley,254,10242,700
Wetherill Park Industrial,0,35,7
Casula,337,14866,1375
Chipping Norton - Moorebank,470,18897,1439
Holsworthy - Wattle Grove,408,19105,1614
Lurnea - Cartwright,222,10930,1522
Warwick Farm,98,5107,731
Edmondson Park,81,11160,838
Liverpool - East,215,14961,2365
Liverpool - West,276,11985,1484
Prestons,223,14441,1038
Gymea - Grays Point,581,16574,1008
Miranda - Yowie Bay,657,18707,1342
Sylvania - Taren Point,680,14566,1185
Caringbah,371,11546,941
Caringbah South,465,11787,764
Cronulla - Kurnell - Bundeena,851,21673,1854
Lilli Pilli - Port Hacking - Dolans Bay,104,3071,196
Woolooware - Burraneer,281,8175,487
Heathcote - Waterfall,299,6023,351
Illawong - Alfords Point,335,9726,498
Menai - Lucas Heights - Woronora,660,19289,977
Oyster Bay - Como - Jannali,678,20214,1167
Royal National Park,0,26,18
Sutherland - Kirrawee,747,21115,1370
Engadine,576,15825,955
Loftus - Yarrawarrah,255,6721,371
Woronora Heights,108,3239,191
Migratory - Offshore - Shipping (NSW),0,0,0
No usual address (NSW),260,7126,3980
