"HASTP Whether has Asthma","Has asthma","Does not have asthma","Not stated","Total",
"Lismore",1642,11953,1638,15229,
"Lismore Surrounds",1147,12808,1829,15786,
"Kingscliff - Fingal Head",1213,12396,1203,14818,
"Murwillumbah",916,7590,1002,9501,
"Murwillumbah Surrounds",731,8245,1374,10352,
"Pottsville",994,11702,1389,14086,
"Tweed Heads",1577,16867,2122,20563,
"Banora Point",1440,13662,1223,16320,
"Terranora - North Tumbulgum",254,2802,264,3324,
"Tweed Heads South",891,6831,704,8423,
"Griffith (NSW)",1819,16743,2008,20569,
"Griffith Surrounds",1405,9450,1904,12760,
"Leeton",1187,8096,1055,10330,
"Narrandera",668,4460,774,5905,
"Tumbarumba",333,2697,485,3522,
"Tumut",764,5233,664,6667,
"Tumut Surrounds",455,3743,547,4744,
"Cootamundra",841,6155,711,7705,
"Gundagai",329,2895,493,3715,
"Junee",667,4349,1336,6351,
"Temora",757,5313,535,6603,
"Wagga Wagga - East",1925,13821,1178,16921,
"Wagga Wagga - North",570,4523,505,5605,
"Wagga Wagga - South",2617,18119,1786,22522,
"Wagga Wagga - West",1399,9382,1185,11962,
"Wagga Wagga Surrounds",1853,14161,1772,17788,
"Berry - Kangaroo Valley",719,8035,732,9489,
"Callala Bay - Currarong",317,3047,285,3642,
"Culburra Beach",444,4300,357,5105,
"Ettrema - Sassafras - Budawang",4,55,8,62,
"Huskisson - Vincentia",354,4104,390,4844,
"North Nowra - Bomaderry",1593,13183,1320,16098,
"Nowra",2247,17277,3063,22584,
"St Georges Basin - Erowal Bay",1532,12361,1368,15259,
"Sussex Inlet - Berrara",407,3795,496,4694,
"Tomerong - Wandandian - Woollamia",295,3039,371,3708,
"Ulladulla",1412,14242,1375,17026,
"Ulladulla Surrounds",441,4846,530,5822,
"Bowral",982,11645,999,13626,
"Hill Top - Colo Vale",620,5354,420,6393,
"Mittagong",889,9294,737,10931,
"Moss Vale - Berrima",962,8735,954,10648,
"Robertson - Fitzroy Falls",322,3174,338,3829,
"Southern Highlands",570,6098,580,7250,
"Baulkham Hills - East",1533,22103,1092,24726,
"Baulkham Hills (West) - Bella Vista",1312,19388,987,21683,
"Glenhaven",435,5598,334,6361,
"West Pennant Hills",834,11327,528,12683,
"Castle Hill - Central",510,6822,337,7677,
"Castle Hill - East",331,4797,545,5670,
"Castle Hill - North",788,10839,568,12189,
"Castle Hill - South",632,9290,491,10419,
"Castle Hill - West",292,4707,182,5183,
"Cherrybrook",1137,17178,768,19082,
"Kellyville - East",1166,15845,694,17709,
"Kellyville - West",577,10241,561,11375,
"Dural - Kenthurst - Wisemans Ferry",1471,19587,1421,22479,
"Galston - Laughtondale",363,4644,419,5436,
"Bilpin - Colo - St Albans",202,2292,349,2846,
"Kurrajong Heights - Ebenezer",1794,18964,1404,22161,
"Pitt Town - McGraths Hill",807,9714,896,11414,
"Box Hill - Nelson",624,9167,492,10287,
"North Kellyville",962,15474,969,17401,
"Rouse Hill - Beaumont Hills",1088,15799,692,17581,
"Blacktown (East) - Kings Park",983,14557,1495,17032,
"Blacktown (North) - Marayong",1437,17511,1630,20584,
"Doonside - Woodcroft",1739,19889,1754,23384,
"Lalor Park - Kings Langley",2117,21315,1934,25373,
"Blacktown - South",895,10765,984,12646,
"Blacktown - West",1141,14570,1431,17141,
"Seven Hills - Prospect",1051,12785,1030,14866,
"Toongabbie - West",727,10058,790,11578,
"Glenwood",1027,14198,610,15829,
"Acacia Gardens",252,3325,93,3668,
"Quakers Hill",1698,21550,1424,24670,
"Kellyville Ridge - The Ponds",1341,18802,911,21058,
"Marsden Park - Shanes Park",784,13823,924,15524,
"Riverstone",1066,11656,1124,13844,
"Schofields (West) - Colebee",547,8875,592,10011,
"Schofields - East",1278,22297,1549,25130,
"Stanhope Gardens - Parklea",788,10421,1821,13034,
"Bidwill - Hebersham - Emerton",2035,13853,2646,18536,
"Glendenning - Dean Park",681,7110,575,8374,
"Hassall Grove - Plumpton",1648,18113,1660,21414,
"Lethbridge Park - Tregear",2357,16412,2787,21551,
"Mount Druitt - Whalan",1786,18725,2413,22918,
"Prospect Reservoir",0,7,4,12,
"Rooty Hill - Minchinbury",1662,19210,1953,22826,
"Banksmeadow",17,395,92,508,
"Botany",901,11091,972,12960,
"Pagewood - Hillsdale - Daceyville",922,12688,1152,14762,
"Port Botany Industrial",0,3,0,6,
"Sydney Airport",0,17,4,19,
"Eastlakes",591,7714,640,8941,
"Mascot",1012,19019,1540,21573,
"Petersham - Stanmore",1821,16653,1431,19898,
"Sydenham - Tempe - St Peters",701,7077,501,8278,
"Marrickville - North",1015,10420,873,12317,
"Marrickville - South",1164,12137,973,14283,
"Darlinghurst",762,8887,968,10615,
"Erskineville - Alexandria",1624,16294,1213,19126,
"Glebe - Forest Lodge",1631,16953,1673,20262,
"Potts Point - Woolloomooloo",1289,14861,2041,18187,
"Surry Hills",1134,13226,1471,15828,
"Camperdown - Darlington",748,6998,584,8332,
"Chippendale",405,6663,739,7803,
"Newtown (NSW)",1299,12394,977,14667,
"Pyrmont",727,10810,1120,12658,
"Redfern",1086,11305,1280,13670,
"Rosebery - Beaconsfield",677,10745,870,12290,
"Sydney (North) - Millers Point",413,6834,750,8004,
"Sydney (South) - Haymarket",542,17667,1724,19935,
"Ultimo",344,6441,630,7410,
"Waterloo",1118,13572,1691,16379,
"Zetland",690,11165,763,12622,
"Bondi - Tamarama - Bronte",1166,16381,1508,19055,
"Bondi Beach - North Bondi",1258,17723,1728,20705,
"Bondi Junction - Waverly",1093,15174,1453,17720,
"Centennial Park",0,0,0,0,
"Dover Heights",591,9827,698,11122,
"Paddington - Moore Park",1041,12754,1001,14793,
"Rose Bay - Vaucluse - Watsons Bay",657,10392,877,11924,
"Woollahra",491,6380,586,7454,
"Bellevue Hill",851,12663,915,14429,
"Double Bay - Darling Point",627,8586,744,9958,
"Kensington (NSW)",745,10205,862,11809,
"Kingsford",802,11934,863,13605,
"Maroubra - North",521,8649,623,9790,
"Maroubra - South",800,9388,894,11084,
"Maroubra - West",560,8782,507,9846,
"Randwick - North",1067,13881,1255,16206,
"Randwick - South",808,10971,961,12735,
"Coogee - Clovelly",1225,16987,1311,19521,
"Malabar - La Perouse",592,8290,1726,10610,
"Matraville - Chifley",917,11422,1076,13412,
"South Coogee",392,4724,500,5611,
"Bass Hill - Georges Hall",1520,19452,2890,23855,
"Chullora",71,1273,124,1469,
"Condell Park",708,10779,1284,12773,
"Padstow",1129,14904,1165,17200,
"Revesby",1144,15088,1435,17664,
"Yagoona - Birrong",1396,18839,2246,22484,
"Bankstown - North",812,14575,1592,16981,
"Bankstown - South",877,15517,2037,18434,
"Greenacre - North",840,12284,1523,14637,
"Greenacre - South",762,11270,1388,13416,
"Panania (North) - Milperra",848,9831,667,11340,
"Panania (South) - Picnic Point",1173,13868,949,15994,
"Belmore - Belfield",1029,17321,1981,20332,
"Punchbowl",1262,18105,2177,21544,
"Roselands",799,12638,1139,14577,
"Lakemba",723,14623,1744,17092,
"Wiley Park",480,8592,1065,10135,
"Campsie - North",440,10531,929,11905,
"Campsie - South",284,7634,1149,9059,
"Canterbury - South",627,10403,1190,12220,
"Earlwood",1087,15694,1193,17969,
"Kingsgrove - North",316,5550,391,6261,
"Narwee - Beverly Hills",774,12113,899,13791,
"Oatley - Hurstville Grove",739,11202,653,12594,
"Peakhurst - Lugarno",1361,17589,1274,20220,
"Riverwood",695,9878,1032,11606,
"South Hurstville - Blakehurst",1067,22612,1580,25259,
"Hurstville - Central",348,10986,712,12046,
"Hurstville - North",489,10852,770,12109,
"Mortdale - Oatley",930,12972,813,14715,
"Penshurst",490,8262,778,9528,
"Kingsgrove (South) - Bardwell Park",745,11482,746,12973,
"Kogarah",608,11307,1138,13051,
"Kogarah Bay - Carlton - Allawah",871,14238,1094,16200,
"Monterey - Brighton-le-Sands - Kyeemagh",764,11928,1202,13896,
"Rockdale - Banksia",957,17412,1482,19853,
"Sans Souci - Ramsgate",1012,14358,1292,16659,
"Arncliffe - Bardwell Valley",826,14132,1621,16579,
"Bexley - North",581,8721,849,10145,
"Bexley - South",709,14068,1060,15831,
"Wolli Creek",417,9528,785,10731,
"Concord - Mortlake - Cabarita",1358,20473,1277,23113,
"Drummoyne - Rodd Point",1200,15959,1210,18366,
"Five Dock - Abbotsford",1382,18108,1440,20933,
"Concord West - North Strathfield",710,11219,916,12842,
"Rhodes",405,10427,624,11453,
"Balmain",1172,13367,1046,15579,
"Lilyfield - Rozelle",1036,11901,889,13824,
"Annandale (NSW)",728,8018,712,9464,
"Leichhardt",1371,15081,1071,17532,
"Canterbury (North) - Ashbury",769,10523,708,11999,
"Croydon Park - Enfield",1123,15058,1250,17434,
"Dulwich Hill - Lewisham",1619,14941,1391,17948,
"Haberfield - Summer Hill",1034,11745,744,13520,
"Homebush",757,18561,1507,20822,
"Strathfield South",222,3214,192,3636,
"Ashfield - North",772,10018,663,11456,
"Ashfield - South",751,10801,691,12246,
"Burwood (NSW)",506,14229,1201,15942,
"Croydon",691,9656,648,10993,
"Strathfield - East",570,14708,1145,16420,
"Strathfield - West",433,8283,534,9253,
"Chatswood (West) - Lane Cove North",1332,18850,1109,21294,
"St Leonards - Naremburn",767,10433,704,11903,
"Artarmon",591,8290,517,9406,
"Castle Cove - Northbridge",892,11892,650,13440,
"Chatswood - East",900,17620,1077,19601,
"Greenwich - Riverview",916,11379,637,12928,
"Lane Cove",1130,14011,748,15888,
"Willoughby",946,11366,688,12996,
"Asquith - Mount Colah",1767,19282,1008,22057,
"Berowra - Brooklyn - Cowan",1074,10189,524,11790,
"Normanhurst - Thornleigh - Westleigh",1462,16867,824,19158,
"Hornsby - East",685,10634,617,11943,
"Hornsby - West",737,9314,573,10629,
"Wahroonga (West) - Waitara",655,10557,663,11877,
"Gordon - Killara",1285,20088,1066,22433,
"Lindfield - Roseville",1540,21958,1101,24599,
"Pymble",1162,15285,774,17221,
"St Ives",1311,19559,789,21665,
"Turramurra",1378,18056,811,20251,
"Wahroonga (East) - Warrawee",1221,16122,852,18191,
"Cremorne - Cammeray",1377,16531,997,18905,
"Crows Nest - Waverton",1394,15643,889,17916,
"Neutral Bay - Kirribilli",1185,14750,1254,17183,
"North Sydney - Lavender Bay",757,10724,956,12441,
"Mosman - North",904,12034,826,13763,
"Mosman - South",1005,12792,771,14565,
"Balgowlah - Clontarf - Seaforth",1329,18306,1099,20732,
"Manly - Fairlight",1415,19576,1443,22438,
"Avalon - Palm Beach",878,11317,856,13052,
"Bayview - Elanora Heights",742,9724,771,11243,
"Newport - Bilgola",907,11970,798,13681,
"Mona Vale - Warriewood (North)",1029,12475,1129,14634,
"North Narrabeen - Warriewood (South)",766,9382,722,10874,
"Beacon Hill - Narraweena",1007,12598,933,14547,
"Cromer",553,7010,484,8046,
"Forestville - Killarney Heights",885,11598,682,13161,
"Freshwater - Brookvale",1411,19103,1310,21828,
"Manly Vale - Allambie Heights",1185,15433,933,17550,
"Terrey Hills - Duffys Forest",264,3298,222,3786,
"Belrose",712,7552,388,8652,
"Collaroy - Collaroy Plateau",936,12173,869,13980,
"Dee Why (South) - North Curl Curl",588,7959,563,9116,
"Dee Why - North",1112,15666,1040,17816,
"Frenchs Forest - Oxford Falls",1282,15088,798,17175,
"Narrabeen - Wheeler Heights",770,9728,743,11241,
"Camden - Ellis Lane",1080,11326,893,13295,
"Currans Hill",611,5449,389,6445,
"Elderslie - Narellan",1197,11872,950,14019,
"Harrington Park",836,9826,580,11241,
"Mount Annan",1707,16177,1150,19040,
"Spring Farm",824,8228,491,9539,
"Bradbury - Wedderburn",2001,16187,1822,20011,
"Campbelltown - Woodbine",1850,18263,1979,22084,
"Claymore - Eagle Vale - Raby",1809,16661,1762,20236,
"Holsworthy Military Area",0,4,0,5,
"Leumeah - Minto Heights",1577,13791,1361,16729,
"Minto - St Andrews",1814,17754,1771,21335,
"Rosemeadow - Glen Alpine",2154,17059,1946,21155,
"Denham Court - Bardia",802,13315,747,14868,
"Glenfield",656,9225,657,10536,
"Ingleburn",1289,14136,1294,16720,
"Macquarie Fields",1201,11564,1436,14198,
"Bargo",571,4873,490,5934,
"Douglas Park - Appin",883,9234,995,11112,
"Picton - Tahmoor - Buxton",1822,15694,1471,18987,
"The Oaks - Oakdale",757,8310,732,9808,
"Blackheath - Megalong Valley",537,4752,477,5764,
"Blaxland - Warrimoo - Lapstone",1726,16269,999,18993,
"Blue Mountains - North",0,9,0,7,
"Katoomba - Leura",1220,11238,888,13348,
"Lawson - Hazelbrook - Linden",1229,9556,659,11445,
"Springwood - Winmalee",2140,18526,1296,21964,
"Wentworth Falls",569,5368,493,6428,
"Blue Mountains - South",0,4,0,8,
"Cambridge Park",1735,12900,1364,16004,
"Emu Plains - Leonay",1244,11708,961,13914,
"Glenmore Park - Regentville",1790,18062,1146,21002,
"Jamisontown - South Penrith",1611,14413,1304,17326,
"Kingswood - Werrington",2282,19980,2358,24625,
"Mulgoa - Luddenham - Orchard Hills",830,10460,748,12040,
"Penrith",1878,13937,2148,17966,
"Warragamba - Silverdale",521,5089,418,6025,
"Cranebrook - Castlereagh",1674,14035,1314,17029,
"Jordan Springs - Llandilo",987,11592,807,13388,
"Richmond - Clarendon",1360,12581,1297,15239,
"Windsor - Bligh Park",1546,12395,1320,15264,
"Yarramundi - Londonderry",519,5287,1700,7504,
"Erskine Park",525,5502,462,6486,
"St Clair",1723,16730,1496,19942,
"Colyton - Oxley Park",1147,10531,1347,13028,
"St Marys - North St Marys",1606,13331,2387,17325,
"Rookwood Cemetery",0,6,0,3,
"Auburn - Central",629,16749,2107,19487,
"Auburn - North",282,9476,829,10592,
"Auburn - South",381,7523,953,8860,
"Berala",381,7585,646,8610,
"Lidcombe",792,18965,1439,21197,
"Regents Park",272,4515,345,5138,
"Silverwater - Newington",446,7093,1704,9246,
"Wentworth Point - Sydney Olympic Park",919,18154,1339,20412,
"Ermington - Rydalmere",1432,21545,1664,24641,
"Oatlands - Dundas Valley",1114,16133,1261,18508,
"Carlingford - East",654,10498,474,11622,
"Carlingford - West",958,17368,923,19251,
"Chester Hill - Sefton",1120,16837,2882,20842,
"Fairfield - East",899,13028,1816,15742,
"Granville - Clyde",1025,19769,2457,23250,
"Guildford - South Granville",1141,18095,3144,22386,
"Guildford West - Merrylands West",1378,19232,2321,22929,
"Smithfield Industrial",0,11,0,10,
"Yennora Industrial",0,10,0,12,
"Greystanes - South",1084,14331,1233,16645,
"Merrylands - Holroyd",1164,19913,2732,23806,
"Pemulwuy - Greystanes (North)",660,9454,778,10893,
"South Wentworthville",407,6173,726,7305,
"North Parramatta",1313,19633,1933,22878,
"North Rocks",581,7479,386,8451,
"Northmead",1195,17702,1380,20275,
"Toongabbie - Constitution Hill",1550,19690,1621,22853,
"Winston Hills",873,9853,473,11199,
"Pendle Hill - Girraween",701,12027,1211,13939,
"Wentworthville - Westmead",931,18774,1864,21568,
"Parramatta - North",409,10753,903,12062,
"Parramatta - South",298,8819,745,9867,
"Rosehill - Harris Park",335,7986,713,9034,
"Pennant Hills - Cheltenham",1484,19222,1035,21737,
"Epping (East) - North Epping",766,13017,620,14404,
"Epping (NSW) - West",888,17018,781,18690,
"Gladesville - Huntleys Point",1116,13418,917,15456,
"Hunters Hill - Woolwich",626,8277,937,9844,
"Macquarie Park - Marsfield",1316,21153,1347,23818,
"North Ryde - East Ryde",967,13656,996,15622,
"West Ryde - Meadowbank",1018,18110,970,20102,
"Putney",258,3659,244,4163,
"Denistone",409,6272,293,6969,
"Eastwood",878,17079,1019,18974,
"Ryde - North",1156,17936,1192,20291,
"Ryde - South",626,10553,787,11972,
"Ashcroft - Busby - Miller",1587,13975,2407,17962,
"Austral - Greendale",676,10530,1326,12533,
"Badgerys Creek",0,20,0,25,
"Cecil Hills",408,6084,415,6906,
"Green Valley",762,11199,962,12919,
"Hinchinbrook",825,11346,864,13038,
