"HLUNP Whether has Lung Condition (including COPD and Emphysema)","Has a lung condition (including COPD and emphysema)","Does not have a lung condition (including COPD and emphysema)","Not stated","Total",
"Narrandera",204,4931,774,5905,
"Tumbarumba",86,2946,485,3522,
"Tumut",195,5805,664,6667,
"Tumut Surrounds",130,4067,547,4744,
"Cootamundra",301,6690,711,7705,
"Gundagai",93,3133,493,3715,
"Junee",184,4836,1336,6351,
"Temora",180,5889,535,6603,
"Wagga Wagga - East",361,15381,1178,16921,
"Wagga Wagga - North",81,5014,505,5605,
"Wagga Wagga - South",509,20226,1786,22522,
"Wagga Wagga - West",366,10412,1185,11962,
"Wagga Wagga Surrounds",359,15654,1772,17788,
"Berry - Kangaroo Valley",260,8495,732,9489,
"Callala Bay - Currarong",130,3225,285,3642,
"Culburra Beach",192,4550,357,5105,
"Ettrema - Sassafras - Budawang",0,53,8,62,
"Huskisson - Vincentia",111,4345,390,4844,
"North Nowra - Bomaderry",496,14281,1320,16098,
"Nowra",691,18830,3063,22584,
"St Georges Basin - Erowal Bay",629,13265,1368,15259,
"Sussex Inlet - Berrara",230,3966,496,4694,
"Tomerong - Wandandian - Woollamia",80,3259,371,3708,
"Ulladulla",520,15133,1375,17026,
"Ulladulla Surrounds",179,5106,530,5822,
"Bowral",334,12296,999,13626,
"Hill Top - Colo Vale",125,5846,420,6393,
"Mittagong",259,9933,737,10931,
"Moss Vale - Berrima",263,9435,954,10648,
"Robertson - Fitzroy Falls",56,3443,338,3829,
"Southern Highlands",141,6524,580,7250,
"Baulkham Hills - East",257,23374,1092,24726,
"Baulkham Hills (West) - Bella Vista",194,20502,987,21683,
"Glenhaven",93,5937,334,6361,
"West Pennant Hills",121,12037,528,12683,
"Castle Hill - Central",73,7267,337,7677,
"Castle Hill - East",108,5022,545,5670,
"Castle Hill - North",116,11510,568,12189,
"Castle Hill - South",91,9831,491,10419,
"Castle Hill - West",40,4955,182,5183,
"Cherrybrook",187,18136,768,19082,
"Kellyville - East",142,16878,694,17709,
"Kellyville - West",82,10740,561,11375,
"Dural - Kenthurst - Wisemans Ferry",293,20768,1421,22479,
"Galston - Laughtondale",65,4943,419,5436,
"Bilpin - Colo - St Albans",66,2430,349,2846,
"Kurrajong Heights - Ebenezer",347,20411,1404,22161,
"Pitt Town - McGraths Hill",135,10380,896,11414,
"Box Hill - Nelson",41,9757,492,10287,
"North Kellyville",56,16385,969,17401,
"Rouse Hill - Beaumont Hills",115,16772,692,17581,
"Blacktown (East) - Kings Park",189,15348,1495,17032,
"Blacktown (North) - Marayong",331,18621,1630,20584,
