Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by 1-digit level HHCD Household Composition"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"1-digit level HHCD Household Composition","One family household","Multiple family household","Non-family household","Non-classifiable","Not applicable","Total",
"Castle Hill - South",2766,129,557,84,206,3745,
"Castle Hill - West",1322,78,151,20,38,1605,
"Cherrybrook",4983,247,710,73,202,6215,
"Kellyville - East",4520,244,487,63,165,5478,
"Kellyville - West",2836,135,542,70,253,3842,
"Dural - Kenthurst - Wisemans Ferry",5301,434,1073,209,482,7497,
"Galston - Laughtondale",1298,93,376,73,137,1968,
"Bilpin - Colo - St Albans",690,37,276,148,403,1544,
"Kurrajong Heights - Ebenezer",5604,359,1181,183,305,7637,
"Pitt Town - McGraths Hill",2769,177,618,175,170,3913,
"Box Hill - Nelson",2690,120,252,69,128,3256,
"North Kellyville",4304,214,565,141,237,5458,
"Rouse Hill - Beaumont Hills",4459,201,476,81,165,5382,
"Blacktown (East) - Kings Park",4009,168,1714,379,643,6902,
"Blacktown (North) - Marayong",4867,277,1536,345,416,7435,
"Doonside - Woodcroft",5473,366,1215,371,281,7706,
"Lalor Park - Kings Langley",6350,243,2047,433,478,9553,
"Blacktown - South",3028,134,930,200,202,4499,
"Blacktown - West",3929,199,1183,347,337,5984,
"Seven Hills - Prospect",3700,174,1123,226,254,5477,
"Toongabbie - West",2841,126,826,179,248,4219,
"Glenwood",3868,261,366,63,93,4651,
"Acacia Gardens",938,59,117,10,19,1151,
"Quakers Hill",6233,279,1109,250,282,8151,
"Kellyville Ridge - The Ponds",5127,262,599,113,191,6294,
"Marsden Park - Shanes Park",3791,220,455,149,122,4749,
"Riverstone",3506,139,722,226,223,4811,
"Schofields (West) - Colebee",2441,149,229,93,92,3002,
"Schofields - East",6240,273,1090,380,604,8601,
"Stanhope Gardens - Parklea",2919,161,519,68,124,3785,
"Bidwill - Hebersham - Emerton",4060,211,1328,620,297,6510,
"Glendenning - Dean Park",2012,109,339,103,86,2648,
"Hassall Grove - Plumpton",4812,375,840,267,152,6443,
"Lethbridge Park - Tregear",4723,232,1628,587,445,7614,
"Mount Druitt - Whalan",4949,292,1744,504,671,8163,
"Prospect Reservoir",5,0,0,16,3,21,
"Rooty Hill - Minchinbury",5092,347,1094,329,292,7156,
"Banksmeadow",135,0,72,46,27,280,
"Botany",3347,90,1312,219,456,5423,
"Pagewood - Hillsdale - Daceyville",3665,94,1929,332,634,6651,
"Port Botany Industrial",0,0,3,0,0,5,
"Sydney Airport",0,0,0,4,0,9,
"Eastlakes",2192,78,1160,179,384,3991,
"Mascot",5124,173,2807,440,1059,9602,
"Petersham - Stanmore",4649,49,3555,296,1115,9663,
"Sydenham - Tempe - St Peters",2071,58,1042,113,318,3604,
"Marrickville - North",2932,78,1809,180,453,5450,
"Marrickville - South",3325,116,2358,254,641,6699,
"Darlinghurst",2109,0,3275,360,1198,6938,
"Erskineville - Alexandria",5019,23,3945,432,1022,10443,
"Glebe - Forest Lodge",4642,33,4790,584,1611,11655,
"Potts Point - Woolloomooloo",3359,11,6699,776,2632,13482,
"Surry Hills",3171,15,4590,613,1352,9746,
"Camperdown - Darlington",1465,10,1447,130,496,3543,
"Chippendale",1411,8,2324,343,780,4862,
"Newtown (NSW)",3216,14,3297,323,865,7711,
"Pyrmont",3165,35,2382,443,933,6961,
"Redfern",2759,24,3363,496,976,7619,
"Rosebery - Beaconsfield",3253,42,1980,262,651,6187,
"Sydney (North) - Millers Point",1857,15,1981,486,2072,6405,
"Sydney (South) - Haymarket",3745,101,3799,701,1879,10221,
"Ultimo",1306,26,1601,198,617,3742,
"Waterloo",3723,24,4298,713,1360,10115,
"Zetland",3185,33,2840,307,1104,7466,
"Bondi - Tamarama - Bronte",4483,59,3134,434,955,9062,
"Bondi Beach - North Bondi",4782,33,3727,502,1450,10494,
"Bondi Junction - Waverly",4253,40,2835,463,978,8571,
"Centennial Park",0,0,0,0,0,0,
"Dover Heights",2885,55,1166,185,425,4726,
"Paddington - Moore Park",3453,20,3055,259,1136,7925,
