"HCANP Whether has Cancer (including remission)","Has cancer (including remission)","Does not have cancer (including remission)","Not stated","Total",
"Glenwood",241,14978,610,15829,
"Acacia Gardens",63,3508,93,3668,
"Quakers Hill",414,22834,1424,24670,
"Kellyville Ridge - The Ponds",296,19849,911,21058,
"Marsden Park - Shanes Park",132,14468,924,15524,
"Riverstone",200,12521,1124,13844,
"Schofields (West) - Colebee",93,9329,592,10011,
"Schofields - East",186,23392,1549,25130,
"Stanhope Gardens - Parklea",204,11005,1821,13034,
"Bidwill - Hebersham - Emerton",382,15501,2646,18536,
"Glendenning - Dean Park",121,7672,575,8374,
"Hassall Grove - Plumpton",356,19400,1660,21414,
"Lethbridge Park - Tregear",402,18364,2787,21551,
"Mount Druitt - Whalan",393,20114,2413,22918,
"Prospect Reservoir",0,5,4,12,
"Rooty Hill - Minchinbury",449,20421,1953,22826,
"Banksmeadow",5,408,92,508,
"Botany",265,11727,972,12960,
"Pagewood - Hillsdale - Daceyville",285,13325,1152,14762,
"Port Botany Industrial",0,5,0,6,
"Sydney Airport",0,17,4,19,
"Eastlakes",222,8076,640,8941,
"Mascot",279,19758,1540,21573,
"Petersham - Stanmore",427,18040,1431,19898,
"Sydenham - Tempe - St Peters",166,7610,501,8278,
"Marrickville - North",261,11174,873,12317,
"Marrickville - South",316,12994,973,14283,
"Darlinghurst",250,9394,968,10615,
"Erskineville - Alexandria",338,17576,1213,19126,
"Glebe - Forest Lodge",490,18096,1673,20262,
"Potts Point - Woolloomooloo",557,15588,2041,18187,
"Surry Hills",298,14059,1471,15828,
"Camperdown - Darlington",125,7619,584,8332,
"Chippendale",66,6998,739,7803,
"Newtown (NSW)",330,13358,977,14667,
"Pyrmont",292,11244,1120,12658,
"Redfern",338,12059,1280,13670,
"Rosebery - Beaconsfield",173,11250,870,12290,
"Sydney (North) - Millers Point",205,7050,750,8004,
"Sydney (South) - Haymarket",135,18077,1724,19935,
"Ultimo",71,6712,630,7410,
"Waterloo",295,14393,1691,16379,
"Zetland",116,11746,763,12622,
"Bondi - Tamarama - Bronte",411,17136,1508,19055,
"Bondi Beach - North Bondi",404,18578,1728,20705,
"Bondi Junction - Waverly",470,15795,1453,17720,
"Centennial Park",0,0,0,0,
"Dover Heights",263,10158,698,11122,
"Paddington - Moore Park",374,13415,1001,14793,
"Rose Bay - Vaucluse - Watsons Bay",423,10627,877,11924,
"Woollahra",253,6623,586,7454,
"Bellevue Hill",413,13099,915,14429,
"Double Bay - Darling Point",373,8843,744,9958,
"Kensington (NSW)",270,10681,862,11809,
"Kingsford",276,12466,863,13605,
"Maroubra - North",277,8889,623,9790,
"Maroubra - South",306,9884,894,11084,
"Maroubra - West",228,9111,507,9846,
"Randwick - North",388,14560,1255,16206,
"Randwick - South",310,11472,961,12735,
"Coogee - Clovelly",452,17762,1311,19521,
"Malabar - La Perouse",365,8515,1726,10610,
"Matraville - Chifley",367,11974,1076,13412,
"South Coogee",188,4925,500,5611,
