sa2,Has heart disease (including heart attack or angina),Does not have heart disease (including heart attack or angina),Not stated
Toongabbie - Constitution Hill,999,20240,1621
Winston Hills,449,10276,473
Pendle Hill - Girraween,419,12307,1211
Wentworthville - Westmead,493,19213,1864
Parramatta - North,149,11013,903
Parramatta - South,154,8963,745
Rosehill - Harris Park,164,8157,713
Pennant Hills - Cheltenham,870,19837,1035
Epping (East) - North Epping,409,13375,620
Epping (NSW) - West,547,17358,781
Gladesville - Huntleys Point,485,14052,917
Hunters Hill - Woolwich,398,8509,937
Macquarie Park - Marsfield,697,21772,1347
North Ryde - East Ryde,514,14103,996
West Ryde - Meadowbank,502,18625,970
Putney,171,3749,244
Denistone,251,6426,293
Eastwood,586,17381,1019
Ryde - North,665,18431,1192
Ryde - South,225,10954,787
Ashcroft - Busby - Miller,712,14845,2407
Austral - Greendale,344,10855,1326
Badgerys Creek,0,19,0
Cecil Hills,205,6288,415
Green Valley,381,11577,962
Hinchinbrook,394,11773,864
Hoxton Park - Carnes Hill - Horningsea Park,316,12022,932
West Hoxton - Middleton Grange,366,15721,1110
Cobbitty - Bringelly,183,4224,350
Gledswood Hills - Gregory Hills,232,13284,783
Leppington - Catherine Field,346,11476,734
Oran Park,301,16228,1096
Bonnyrigg Heights - Bonnyrigg,589,15261,1303
Bossley Park - Abbotsbury,876,17306,1511
Cabramatta - Lansvale,723,20993,2389
Cabramatta West - Mount Pritchard,554,15935,1757
Canley Vale - Canley Heights,616,19611,2032
Edensor Park,345,9182,748
Fairfield,720,15727,1799
Fairfield - West,775,18602,1869
Greenfield Park - Prairiewood,303,7941,612
Horsley Park - Kemps Creek,226,3723,393
Smithfield - Wetherill Park,837,17177,1490
St Johns Park - Wakeley,438,10053,700
Wetherill Park Industrial,0,29,7
Casula,563,14644,1375
Chipping Norton - Moorebank,754,18618,1439
Holsworthy - Wattle Grove,565,18956,1614
Lurnea - Cartwright,489,10659,1522
Warwick Farm,213,4993,731
Edmondson Park,162,11077,838
Liverpool - East,403,14764,2365
Liverpool - West,527,11731,1484
Prestons,432,14226,1038
