"sa2_name_2021","age_group","pop_2021","pop2011_as21","abs_change","growth_rate","in_wslhd_2021","in_metro_2021"
"Cooma","90_99",89,67,22,0.328358208955224,0,0
"Cooma","100_plus",0,0,0,NA,0,0
"Cooma Surrounds","0_9",319,355,-36,-0.101408450704225,0,0
"Cooma Surrounds","10_19",412,426,-14,-0.0328638497652582,0,0
"Cooma Surrounds","20_29",274,197,77,0.390862944162437,0,0
"Cooma Surrounds","30_39",303,278,25,0.0899280575539568,0,0
"Cooma Surrounds","40_49",420,503,-83,-0.165009940357853,0,0
"Cooma Surrounds","50_59",600,559,41,0.073345259391771,0,0
"Cooma Surrounds","60_69",588,506,82,0.162055335968379,0,0
"Cooma Surrounds","70_79",383,263,120,0.456273764258555,0,0
"Cooma Surrounds","80_89",153,96,57,0.59375,0,0
"Cooma Surrounds","90_99",20,7,13,1.85714285714286,0,0
"Cooma Surrounds","100_plus",0,0,0,NA,0,0
"Jindabyne - Berridale","0_9",715,898,-183,-0.203786191536748,0,0
"Jindabyne - Berridale","10_19",1112,959,153,0.159541188738269,0,0
"Jindabyne - Berridale","20_29",1300,813,487,0.599015990159902,0,0
"Jindabyne - Berridale","30_39",1040,879,161,0.18316268486917,0,0
"Jindabyne - Berridale","40_49",1085,1095,-10,-0.0091324200913242,0,0
"Jindabyne - Berridale","50_59",1132,937,195,0.208110992529349,0,0
"Jindabyne - Berridale","60_69",923,637,286,0.448979591836735,0,0
"Jindabyne - Berridale","70_79",531,304,227,0.746710526315789,0,0
"Jindabyne - Berridale","80_89",159,118,41,0.347457627118644,0,0
"Jindabyne - Berridale","90_99",33,24,9,0.375,0,0
"Jindabyne - Berridale","100_plus",0,0,0,NA,0,0
"Batemans Bay","0_9",823,906,-83,-0.0916114790286976,0,0
"Batemans Bay","10_19",937,827,110,0.133010882708585,0,0
"Batemans Bay","20_29",696,604,92,0.152317880794702,0,0
"Batemans Bay","30_39",767,718,49,0.0682451253481894,0,0
"Batemans Bay","40_49",880,840,40,0.0476190476190476,0,0
"Batemans Bay","50_59",1110,1061,49,0.0461828463713478,0,0
"Batemans Bay","60_69",1471,1266,205,0.161927330173776,0,0
"Batemans Bay","70_79",1254,797,457,0.573400250941029,0,0
"Batemans Bay","80_89",522,417,105,0.251798561151079,0,0
"Batemans Bay","90_99",124,77,47,0.61038961038961,0,0
"Batemans Bay","100_plus",0,0,0,NA,0,0
"Batemans Bay - South","0_9",744,886,-142,-0.160270880361174,0,0
"Batemans Bay - South","10_19",897,1018,-121,-0.118860510805501,0,0
"Batemans Bay - South","20_29",666,548,118,0.215328467153285,0,0
"Batemans Bay - South","30_39",722,681,41,0.0602055800293686,0,0
"Batemans Bay - South","40_49",911,945,-34,-0.035978835978836,0,0
"Batemans Bay - South","50_59",1181,1136,45,0.039612676056338,0,0
"Batemans Bay - South","60_69",1639,1447,192,0.132688320663442,0,0
"Batemans Bay - South","70_79",1475,936,539,0.575854700854701,0,0
"Batemans Bay - South","80_89",581,523,58,0.110898661567878,0,0
"Batemans Bay - South","90_99",122,99,23,0.232323232323232,0,0
"Batemans Bay - South","100_plus",0,0,0,NA,0,0
"Bega - Tathra","0_9",967,983,-16,-0.0162767039674466,0,0
"Bega - Tathra","10_19",1061,1127,-66,-0.0585625554569654,0,0
