sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,australia,overseas,english,non_english,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_australia,prop_overseas,prop_english,prop_non_english
Point Clare - Koolewong,0,0,6571,758,737,531,760,889,912,1495,1291,1801,1981,4889,1443,5624,682,0.11535534926190838,0.11215948866230406,0.08080961801856643,0.11565971693806118,0.1352914320499163,0.13879166032567342,0.22751483792421245,0.1964693349566276,0.2740830923755897,0.30147618322934105,0.7440267843555014,0.21960127834423984,0.8558819053416528,0.10378937756810226
Saratoga - Davistown,0,0,7160,819,897,636,763,901,979,1716,1399,1880,2148,5935,984,6672,228,0.11438547486033519,0.12527932960893856,0.0888268156424581,0.10656424581005587,0.12583798882681566,0.13673184357541898,0.23966480446927374,0.19539106145251398,0.26256983240223464,0.3,0.8289106145251397,0.13743016759776536,0.9318435754189944,0.031843575418994415
Terrigal - North Avoca,0,0,14849,1693,1971,1508,1618,1982,2001,3664,3126,3983,4084,11169,3060,13120,1044,0.11401441174489865,0.1327362111926729,0.10155566031382585,0.1089635665701394,0.13347700181830427,0.1347565492625766,0.24675062293757155,0.21051922688396524,0.26823355108088087,0.2750353559162233,0.7521718634251465,0.20607448313017712,0.883561182571217,0.07030776483264867
Umina - Booker Bay - Patonga,0,0,24697,2760,2436,2163,2673,3028,3242,5196,4836,6270,8397,18973,4226,21615,1614,0.11175446410495202,0.09863546179697939,0.08758148763007653,0.10823176904077418,0.12260598453253431,0.13127100457545451,0.2103899259019314,0.1958132566708507,0.25387698910798884,0.3400008098149573,0.7682309592258169,0.17111390047374175,0.8752075150828036,0.06535206705267846
Wamberal - Forresters Beach,0,0,10675,1309,1573,979,1177,1465,1381,2882,2156,2846,2795,8690,1601,9770,520,0.12262295081967213,0.1473536299765808,0.0917096018735363,0.1102576112412178,0.13723653395784544,0.12936768149882905,0.2699765807962529,0.2019672131147541,0.26660421545667445,0.26182669789227164,0.8140515222482435,0.14997658079625292,0.9152224824355972,0.04871194379391101
Woy Woy - Blackwall,0,0,14346,1488,1370,1366,1632,1750,1910,2858,2998,3660,4817,10776,2702,12254,1244,0.10372229192806358,0.09549700264882197,0.09521817928342395,0.11375993308239231,0.12198522236163391,0.1331381569775547,0.19921929457688553,0.20897811236581626,0.2551233793391886,0.335773037780566,0.7511501463822668,0.18834518332636274,0.8541753798968353,0.08671406663878432
Wyoming,0,0,11423,1383,1410,1194,1528,1378,1254,2793,2722,2632,3268,8654,2215,9726,1079,0.12107152236715399,0.12343517464764073,0.10452595640374683,0.13376521054013832,0.12063380898187867,0.10977851702705069,0.24450669701479472,0.23829116694388514,0.23041232600892936,0.28608946861595025,0.7575943272345268,0.19390702967696752,0.8514400770375558,0.09445854854241442
Bateau Bay - Killarney Vale,0,0,22825,3049,2725,2351,2972,2711,2580,5774,5323,5291,6453,19040,2536,20537,860,0.1335815991237678,0.11938663745892661,0.10300109529025192,0.13020810514786418,0.11877327491785324,0.11303395399780942,0.2529682365826944,0.2332092004381161,0.23180722891566266,0.28271631982475354,0.8341730558598028,0.11110624315443593,0.8997590361445783,0.03767798466593647
Blue Haven - San Remo,0,0,11290,1706,1589,1670,1497,1331,1413,3295,3167,2744,2090,9718,1127,10273,503,0.15110717449069974,0.14074402125775023,0.1479185119574845,0.13259521700620017,0.1178919397697077,0.12515500442869795,0.29185119574845,0.28051372896368465,0.24304694419840567,0.18511957484499558,0.8607617360496014,0.09982285208148804,0.9099202834366696,0.044552701505757304
Budgewoi - Buff Point - Halekulani,0,0,9728,1112,1049,1036,1086,1074,1250,2161,2122,2324,3124,8121,1035,8889,247,0.11430921052631579,0.10783305921052631,0.10649671052631579,0.11163651315789473,0.11040296052631579,0.12849506578947367,0.22214226973684212,0.21813322368421054,0.23889802631578946,0.32113486842105265,0.8348067434210527,0.10639391447368421,0.9137541118421053,0.025390625
Chittaway Bay - Tumbi Umbi,0,0,16006,2001,2051,1879,2004,1892,2007,4052,3883,3899,4176,13497,1951,14764,646,0.12501561914282144,0.12813944770710983,0.11739347744595777,0.12520304885667874,0.11820567287267275,0.12539047857053606,0.2531550668499313,0.2425965263026365,0.24359615144320879,0.2609021616893665,0.8432462826440085,0.12189179057853305,0.9224040984630764,0.04035986505060602
Gorokan - Kanwal - Charmhaven,0,0,22362,2565,2612,2817,2528,2444,2808,5177,5345,5252,6585,18056,2783,19491,1202,0.11470351489133351,0.11680529469635989,0.1259726321438154,0.11304892227886593,0.10929254986137198,0.12557016367051246,0.2315088095876934,0.23902155442268133,0.23486271353188445,0.29447276629997315,0.8074411948841785,0.12445219568911546,0.8716125570163671,0.053751900545568373
Jilliby - Yarramalong,0,0,3420,368,516,334,311,488,566,884,645,1054,854,2886,375,3167,111,0.10760233918128655,0.15087719298245614,0.0976608187134503,0.09093567251461988,0.14269005847953217,0.1654970760233918,0.2584795321637427,0.18859649122807018,0.30818713450292395,0.2497076023391813,0.843859649122807,0.10964912280701754,0.9260233918128655,0.03245614035087719
Lake Munmorah - Mannering Park,0,0,10960,1033,1104,1019,1023,956,1388,2137,2042,2344,4445,9045,1282,10098,270,0.09425182481751825,0.10072992700729927,0.09297445255474453,0.09333941605839416,0.08722627737226277,0.12664233576642336,0.19498175182481753,0.18631386861313867,0.21386861313868613,0.40556569343065696,0.8252737226277372,0.11697080291970803,0.9213503649635036,0.024635036496350366
Ourimbah - Fountaindale,0,0,4928,553,697,590,583,651,759,1250,1173,1410,1095,3955,798,4370,366,0.11221590909090909,0.14143668831168832,0.11972402597402597,0.11830357142857142,0.13210227272727273,0.15401785714285715,0.2536525974025974,0.2380275974025974,0.28612012987012986,0.22219967532467533,0.8025568181818182,0.16193181818181818,0.8867694805194806,0.07426948051948051
Summerland Point - Gwandalan,0,0,6492,722,774,680,691,782,891,1496,1371,1673,1954,5524,698,5944,224,0.11121380160197165,0.11922365988909427,0.10474430067775724,0.10643869377695625,0.12045594577942083,0.13724584103512014,0.23043746149106592,0.2111829944547135,0.257701786814541,0.30098582871226126,0.8508934072704868,0.107516943930992,0.9155884165126309,0.03450400492914356
The Entrance,0,0,15839,1473,1490,1629,1804,1875,2211,2963,3433,4086,5348,12437,2269,13609,1147,0.09299829534692847,0.09407159542900435,0.10284740198244839,0.11389607929793548,0.11837868552307595,0.13959214596881117,0.18706989077593283,0.21674348128038387,0.2579708314918871,0.3376475787612854,0.785213712986931,0.1432539933076583,0.8592082833512217,0.07241618789064966
Toukley - Norah Head,0,0,9909,1069,985,1062,1045,1044,1265,2054,2107,2309,3441,8130,1130,8913,368,0.1078817236855384,0.09940458169341003,0.10717529518619437,0.10545968311635887,0.10535876475930972,0.12766172166717127,0.20728630537894843,0.21263497830255323,0.233020486426481,0.34726006660611564,0.820466242809567,0.11403774346553638,0.8994853163790494,0.03713795539408619
Tuggerah - Kangy Angy,0,0,5229,667,748,643,676,690,698,1415,1319,1388,1125,4025,996,4432,580,0.12755785044941673,0.14304838401223943,0.12296806272709887,0.12927902084528592,0.13195639701663797,0.13348632625741058,0.27060623446165616,0.2522470835723848,0.26544272327404855,0.21514629948364888,0.7697456492637216,0.19047619047619047,0.8475807993880283,0.11091986995601454
Warnervale - Wadalba,0,0,20051,3035,3273,2375,2734,2820,2118,6308,5109,4938,3696,15862,3412,17032,2018,0.15136402174455138,0.1632337539274849,0.118447957707845,0.13635230163084136,0.1406413645204728,0.10563064186324872,0.3145977756720363,0.25480025933868633,0.24627200638372151,0.18432995860555584,0.7910827390155104,0.17016607650491247,0.8494339434442173,0.10064335943344471
Wyong,0,0,9120,1080,1159,1198,1045,1135,1243,2239,2243,2378,2256,6957,1482,7575,871,0.11842105263157894,0.12708333333333333,0.131359649122807,0.11458333333333333,0.12445175438596491,0.1362938596491228,0.24550438596491228,0.24594298245614035,0.2607456140350877,0.24736842105263157,0.7628289473684211,0.1625,0.8305921052631579,0.09550438596491229
Bathurst - East,0,0,12330,1717,1979,1424,1535,1520,1407,3696,2959,2927,2749,10712,1030,11147,619,0.1392538523925385,0.1605028386050284,0.11549067315490673,0.12449310624493107,0.12327656123276562,0.11411192214111922,0.2997566909975669,0.23998377939983778,0.23738848337388482,0.2229521492295215,0.8687753446877534,0.08353609083536091,0.9040551500405515,0.05020275750202757
Bathurst Surrounds,0,0,6909,738,906,547,683,850,1201,1644,1230,2051,1992,5894,523,6181,119,0.10681719496309162,0.13113330438558402,0.07917209436966276,0.09885656390215661,0.12302793457808656,0.17383123462150818,0.23795049934867565,0.17802865827181938,0.2968591691995947,0.2883195831524099,0.8530901722391084,0.07569836445216384,0.894630192502533,0.017223910840932118
