"TENLLD Tenure and Landlord Type","Owned outright","Owned with a mortgage","Rented: Real estate agent","Rented: State or territory housing authority","Rented: Community housing provider","Rented: Person not in same household","Rented: Other landlord type","Rented: Landlord type not stated","Other tenure type","Tenure type not stated","Tenure type not applicable","Total",
"Wollongong - West",1697,1636,2136,428,48,387,51,19,82,410,602,7495,
"Bulahdelah - Stroud",940,663,161,0,0,113,30,4,50,202,371,2530,
"Forster",3235,1314,1115,99,132,312,65,17,255,383,1596,8519,
"Forster-Tuncurry Surrounds",1501,851,201,0,0,161,29,0,46,292,1230,4318,
"Tuncurry",1594,487,515,83,48,163,42,6,79,154,710,3868,
"Kempsey",1998,1575,809,165,194,320,80,10,85,509,449,6192,
"Kempsey Surrounds",1989,995,330,12,22,220,49,9,100,332,689,4750,
"Macksville - Scotts Head",1041,533,249,29,43,125,25,3,37,158,270,2519,
"Nambucca Heads",1493,538,587,85,151,165,83,16,63,338,354,3868,
"Nambucca Heads Surrounds",1598,995,174,21,20,173,25,5,69,282,283,3639,
"South West Rocks",1414,510,453,10,21,102,35,3,20,171,649,3382,
"Lord Howe Island",75,28,0,4,0,39,21,0,9,26,56,249,
"Laurieton - Bonny Hills",4226,1809,938,32,38,285,91,14,165,618,877,9097,
"Port Macquarie - West",3197,2051,1885,229,316,434,93,23,387,526,783,9922,
"Port Macquarie Surrounds",953,619,60,0,0,160,35,0,51,184,178,2244,
"Wauchope",1868,1557,640,70,103,217,28,7,79,242,256,5077,
"Port Macquarie - East",1741,1228,1472,78,124,343,64,7,52,225,871,6207,
"Port Macquarie - South",3119,1976,1062,55,66,241,40,14,243,250,477,7526,
"Gloucester",1216,484,279,33,15,115,26,3,60,158,409,2800,
"Old Bar - Manning Point - Red Head",2469,1339,702,0,5,221,43,0,180,362,732,6064,
"Taree",3189,2019,1638,347,258,445,91,38,127,691,623,9452,
"Taree Surrounds",3064,1382,431,0,3,209,47,3,132,357,811,6441,
"Wingham",922,656,305,39,20,99,15,0,26,158,128,2373,
"Albury - East",1848,2638,1430,74,21,280,75,13,214,259,468,7309,
"Albury - North",1252,1324,988,213,50,181,25,4,68,344,327,4776,
"Albury - South",1615,1061,1225,218,59,217,25,12,94,257,650,5421,
"Albury Surrounds",1874,1649,270,21,25,248,54,5,148,412,574,5287,
"Lavington",1966,1822,1805,199,63,349,54,20,106,464,545,7402,
"Hay",508,251,120,30,5,108,46,7,63,161,257,1550,
"Wentworth - Buronga",900,791,211,33,44,126,70,10,52,371,386,2983,
"Wentworth-Balranald Region",522,282,47,32,13,104,81,3,97,236,347,1771,
"Corowa",1131,649,385,34,8,140,11,7,30,139,345,2879,
"Corowa Surrounds",1311,864,272,6,6,154,62,8,113,269,555,3622,
"Deniliquin",1175,836,485,71,34,134,43,6,40,338,403,3563,
