"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"Murwillumbah",1876,1645,239,117,121,3149,651,1707,9501,
"Murwillumbah Surrounds",2113,1885,390,142,117,3039,976,1692,10352,
"Pottsville",3016,2637,442,147,147,4000,814,2877,14086,
"Tweed Heads",4155,3379,828,263,230,7372,1575,2757,20563,
"Banora Point",3491,2858,553,159,148,5885,664,2570,16320,
"Terranora - North Tumbulgum",873,624,121,30,43,826,108,695,3324,
"Tweed Heads South",1445,1243,260,104,97,3719,474,1092,8423,
"Griffith (NSW)",6731,3040,530,213,139,4666,1274,3974,20569,
"Griffith Surrounds",4249,1809,382,87,78,2432,1211,2512,12760,
"Leeton",3031,1357,255,105,82,2728,629,2146,10330,
"Narrandera",1487,776,143,96,41,1712,463,1184,5905,
"Tumbarumba",939,464,132,30,13,1123,209,610,3522,
"Tumut",1703,999,170,98,53,1982,365,1295,6667,
"Tumut Surrounds",1334,679,158,51,42,1284,350,845,4744,
"Cootamundra",1696,949,213,86,57,3007,406,1287,7705,
"Gundagai",957,564,131,31,17,997,332,692,3715,
"Junee",1587,707,176,78,38,2436,284,1037,6351,
"Temora",1710,989,189,56,34,2130,298,1205,6603,
"Wagga Wagga - East",5048,2755,429,148,157,4314,550,3517,16921,
"Wagga Wagga - North",1707,1064,163,54,84,1149,284,1102,5605,
"Wagga Wagga - South",6796,3431,563,274,232,5403,916,4893,22522,
"Wagga Wagga - West",3490,1732,348,217,118,3454,703,1897,11962,
"Wagga Wagga Surrounds",5934,2478,557,102,109,3666,1136,3804,17788,
"Berry - Kangaroo Valley",1949,1596,290,62,62,3732,482,1314,9489,
"Callala Bay - Currarong",772,548,106,41,43,1533,132,472,3642,
"Culburra Beach",1033,758,182,67,52,2137,213,664,5105,
"Ettrema - Sassafras - Budawang",10,10,4,0,0,17,3,12,62,
"Huskisson - Vincentia",1100,770,159,41,34,1831,213,689,4844,
"North Nowra - Bomaderry",3753,2660,487,163,137,5334,675,2882,16098,
"Nowra",5016,3104,605,312,259,7491,1341,4459,22584,
"St Georges Basin - Erowal Bay",2849,2081,463,219,122,6366,809,2356,15259,
"Sussex Inlet - Berrara",717,591,133,52,40,2320,370,479,4694,
"Tomerong - Wandandian - Woollamia",954,630,149,41,20,1085,217,606,3708,
"Ulladulla",3057,2917,527,156,138,6789,830,2608,17026,
"Ulladulla Surrounds",1032,969,210,67,60,2377,333,774,5822,
"Bowral",2810,2262,348,73,82,5488,629,1935,13626,
"Hill Top - Colo Vale",1952,1090,288,49,50,1432,178,1342,6393,
"Mittagong",2899,1881,357,95,84,3310,370,1935,10931,
"Moss Vale - Berrima",2790,1744,367,90,75,3106,584,1896,10648,
"Robertson - Fitzroy Falls",988,708,161,21,29,1119,211,601,3829,
"Southern Highlands",1741,1274,284,42,35,2423,366,1072,7250,
"Baulkham Hills - East",7443,3200,1218,321,243,6422,477,5406,24726,
"Baulkham Hills (West) - Bella Vista",6629,3246,1071,266,220,5707,465,4095,21683,
"Glenhaven",1694,957,308,44,62,2101,126,1074,6361,
"West Pennant Hills",3799,1911,596,140,119,3727,210,2186,12683,
"Castle Hill - Central",2250,1055,377,102,75,2035,158,1628,7677,
"Castle Hill - East",1329,639,187,52,42,2188,445,792,5670,
"Castle Hill - North",3388,1828,615,138,131,3558,251,2287,12189,
"Castle Hill - South",3082,1487,520,148,109,2808,221,2044,10419,
"Castle Hill - West",1766,715,244,53,56,1290,73,978,5183,
"Cherrybrook",5834,2647,764,206,232,5354,532,3511,19082,
"Kellyville - East",5629,2669,888,187,213,4119,242,3764,17709,
"Kellyville - West",3770,1401,568,131,113,2516,425,2455,11375,
"Dural - Kenthurst - Wisemans Ferry",6009,3745,1280,191,172,6284,733,4074,22479,
"Galston - Laughtondale",1434,891,270,41,43,1642,195,918,5436,
"Bilpin - Colo - St Albans",652,442,211,24,13,834,232,442,2846,
"Kurrajong Heights - Ebenezer",6473,3788,1458,194,139,5270,551,4292,22161,
"Pitt Town - McGraths Hill",3270,1846,744,80,54,2665,385,2383,11414,
"Box Hill - Nelson",3609,1311,566,119,79,1451,220,2929,10287,
"North Kellyville",5759,2199,935,199,177,2841,493,4806,17401,
"Rouse Hill - Beaumont Hills",5959,2548,1020,250,180,3470,253,3911,17581,
"Blacktown (East) - Kings Park",4237,2344,1087,351,271,4588,1004,3150,17032,
"Blacktown (North) - Marayong",4799,2526,1338,333,282,6133,972,4203,20584,
"Doonside - Woodcroft",6012,2773,1347,418,277,6820,1053,4687,23384,
"Lalor Park - Kings Langley",6376,3131,1810,336,273,7287,1143,5012,25373,
"Blacktown - South",2995,1541,800,225,136,3780,602,2568,12646,
"Blacktown - West",4082,2096,1079,306,224,5129,964,3264,17141,
"Seven Hills - Prospect",3966,1850,999,212,169,4438,587,2642,14866,
"Toongabbie - West",3067,1361,690,212,124,3219,476,2425,11578,
"Glenwood",5138,2102,990,221,197,3625,248,3310,15829,
"Acacia Gardens",1244,489,263,52,41,737,34,818,3668,
"Quakers Hill",7564,3293,1496,359,244,5264,714,5732,24670,
"Kellyville Ridge - The Ponds",6845,2565,1161,240,209,4006,393,5643,21058,
"Marsden Park - Shanes Park",5071,1626,896,174,119,2495,508,4644,15524,
"Riverstone",3872,1680,1040,205,142,2861,617,3426,13844,
"Schofields (West) - Colebee",3475,1109,602,121,81,1599,321,2699,10011,
"Schofields - East",8460,2830,1459,367,261,3798,903,7042,25130,
"Stanhope Gardens - Parklea",3794,1433,721,138,125,3913,245,2654,13034,
"Bidwill - Hebersham - Emerton",2796,1579,928,386,223,6425,1547,4649,18536,
"Glendenning - Dean Park",2190,1095,570,117,94,2114,296,1903,8374,
"Hassall Grove - Plumpton",5734,2622,1388,360,208,5511,867,4731,21414,
"Lethbridge Park - Tregear",4063,1917,1142,422,241,6409,1594,5752,21551,
"Mount Druitt - Whalan",4191,2252,1219,474,304,7626,1393,5451,22918,
"Prospect Reservoir",5,0,0,0,0,6,4,0,12,
"Rooty Hill - Minchinbury",5741,2598,1376,397,258,6558,1220,4674,22826,
