sa2,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over
Forster,1339,1476,952,1119,1477,1847,2301,1837,1160,198,0
Forster-Tuncurry Region,717,674,305,526,750,927,1014,517,172,11,0
Tuncurry,395,517,330,399,546,740,1040,1018,673,137,0
Kempsey,2073,2018,1537,1457,1790,1873,1691,1071,658,116,3
Kempsey Region,975,1189,578,808,1276,1768,1375,622,321,33,0
Macksville - Scotts Head,556,565,319,394,550,700,695,467,324,63,0
Nambucca Heads,698,693,505,520,659,997,1082,862,570,84,3
Nambucca Heads Region,888,1019,482,637,985,1378,1120,587,222,22,0
South West Rocks,506,524,266,420,555,747,923,654,305,51,0
Lord Howe Island,50,19,36,51,53,57,44,39,16,0,0
Laurieton - Bonny Hills,1612,1865,872,1283,2011,2219,2656,2005,1049,164,3
Port Macquarie - East,3171,3411,2174,2735,3617,3624,3549,2576,1574,271,0
Port Macquarie - West,1557,1603,1351,1433,1684,1889,2232,1812,1234,220,6
Port Macquarie Region,520,722,332,447,757,998,784,348,121,14,0
Wauchope,1409,1460,809,1029,1352,1439,1341,846,421,110,3
Gloucester,499,569,312,419,631,722,855,524,296,48,0
Old Bar - Manning Point - Red Head,1102,1294,620,890,1215,1515,1517,950,401,49,0
Taree,2490,2741,1929,1941,2403,2611,2542,1983,1209,264,7
Taree Region,1181,1460,655,915,1487,2130,2196,1062,378,58,0
Wingham,650,769,450,473,711,774,651,508,290,38,0
Albury - East,1904,1827,1818,1824,1723,1525,1054,666,397,72,3
Albury - North,1235,1406,1189,1205,1276,1141,878,633,319,35,0
Albury - South,1043,1412,1492,1111,1321,1551,1133,697,590,154,6
Albury Region,1474,1717,843,1035,1582,1646,1414,705,399,56,4
Lavington,1738,1832,1967,1608,1709,1873,1591,994,534,71,0
Hay,393,406,279,260,465,438,350,277,105,22,0
Wentworth - Buronga,820,789,523,634,758,860,753,407,190,32,0
Wentworth-Balranald Region,457,454,354,437,520,593,415,298,119,15,0
Corowa,644,751,481,488,721,745,724,628,355,71,0
Corowa Region,820,760,433,691,803,936,1056,679,301,33,0
Deniliquin,885,955,607,741,880,1066,837,687,398,60,3
Deniliquin Region,794,951,483,616,969,1172,916,566,299,35,4
Moama,570,571,438,534,586,652,871,597,253,42,0
Tocumwal - Finley - Jerilderie,1038,1183,682,864,1067,1382,1468,996,511,103,0
Armidale,2727,3743,3787,2304,2769,2760,2075,1369,768,152,3
Armidale Region - North,610,527,377,480,612,651,562,294,160,27,3
Armidale Region - South,789,885,463,587,884,983,803,415,165,25,0
Walcha,384,406,273,325,422,450,495,277,141,26,0
Glen Innes,1038,1056,752,837,1068,1295,1284,823,412,87,0
Inverell,1579,1603,1198,1272,1389,1334,1357,1004,549,102,6
Inverell Region - East,752,786,400,539,677,845,695,408,146,29,0
Inverell Region - West,729,642,424,498,814,766,857,575,258,40,0
