Australian Bureau of Statistics

"2021 Census - counting dwellings, place of enumeration"
"SA2 (EN) by HOSD Housing Suitability"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2 (EN)",
"Bulahdelah - Stroud",0,0,11,49,258,565,677,238,41,65,50,574,2530,
"Forster",0,3,14,108,827,1973,2319,884,113,126,111,2041,8519,
"Forster-Tuncurry Surrounds",0,0,10,42,324,723,932,443,99,73,54,1615,4318,
"Tuncurry",0,0,12,57,476,1096,962,243,29,40,62,883,3868,
"Kempsey",9,14,31,199,902,1601,1666,579,71,135,141,846,6192,
"Kempsey Surrounds",0,13,25,114,608,1081,1118,392,77,103,84,1136,4750,
"Macksville - Scotts Head",0,0,6,52,297,556,737,261,46,52,43,461,2519,
"Nambucca Heads",0,4,9,68,539,1153,894,268,52,66,85,722,3868,
"Nambucca Heads Surrounds",5,6,21,80,450,913,983,409,57,85,67,568,3639,
"South West Rocks",0,0,9,27,241,729,947,351,38,36,38,962,3382,
"Lord Howe Island",0,0,3,6,38,42,45,12,0,4,3,91,249,
"Laurieton - Bonny Hills",0,0,10,105,837,2368,2631,1211,136,126,376,1285,9097,
"Port Macquarie - West",3,12,19,150,1349,2980,2804,937,86,207,156,1219,9922,
"Port Macquarie Surrounds",0,5,13,52,253,464,634,302,64,62,37,367,2244,
"Wauchope",0,8,19,102,573,1325,1556,725,115,132,68,456,5077,
"Port Macquarie - East",0,0,15,84,789,1860,1419,497,105,136,78,1224,6207,
"Port Macquarie - South",0,0,12,75,665,1980,2577,1120,161,161,97,675,7526,
"Gloucester",3,4,0,39,253,601,818,345,46,53,38,598,2800,
"Old Bar - Manning Point - Red Head",0,4,8,54,464,1378,1771,930,160,116,137,1046,6064,
"Taree",7,9,35,170,1363,2534,2671,926,135,217,233,1156,9452,
"Taree Surrounds",3,5,27,124,683,1271,1866,883,134,129,99,1214,6441,
"Wingham",0,7,9,67,298,614,738,255,38,62,48,244,2373,
"Albury - East",0,3,8,52,712,2064,2325,1053,97,208,61,720,7309,
"Albury - North",0,3,22,94,588,1344,1454,414,40,115,59,646,4776,
"Albury - South",5,0,8,62,764,1586,1302,499,100,113,67,915,5421,
"Albury Surrounds",0,3,8,67,496,1160,1534,716,160,126,81,932,5287,
"Lavington",4,5,33,173,951,2448,1932,561,64,163,146,922,7402,
"Hay",0,4,3,16,126,281,425,160,36,56,28,418,1550,
"Wentworth - Buronga",0,0,14,45,264,683,765,281,47,67,87,726,2983,
"Wentworth-Balranald Region",0,0,8,36,171,302,389,160,33,52,34,590,1771,
"Corowa",0,0,4,29,253,761,909,326,33,52,44,468,2879,
"Corowa Surrounds",0,0,0,39,266,863,1048,384,58,89,50,821,3622,
"Deniliquin",0,0,3,39,301,882,1087,357,53,69,61,719,3563,
"Deniliquin Surrounds",0,0,5,44,267,648,954,420,95,70,60,966,3539,
"Moama",0,0,9,23,232,852,950,402,34,78,51,569,3194,
"Tocumwal - Finley - Jerilderie",0,4,10,51,384,1074,1475,538,75,80,107,1040,4838,
"Armidale",4,15,39,184,1258,2568,2871,1219,260,253,120,1686,10466,
"Armidale Surrounds - North",0,3,8,29,181,432,572,251,67,36,45,583,2203,
"Armidale Surrounds - South",0,0,0,33,270,620,810,359,85,68,21,424,2685,
"Walcha",0,0,9,9,121,335,447,194,56,35,25,480,1705,
"Glen Innes",0,4,9,60,505,1026,1311,481,75,75,78,978,4610,
"Inverell",0,4,22,85,654,1321,1519,659,106,130,128,849,5480,
"Inverell Surrounds - East",0,3,14,38,235,503,618,239,51,73,41,600,2419,
"Inverell Surrounds - West",0,0,0,33,298,570,781,275,80,87,52,615,2788,
"Tenterfield",0,0,15,61,411,793,997,361,85,53,94,1092,3968,
"Moree",0,0,8,78,393,799,822,332,48,96,98,1237,3914,
"Moree Surrounds",0,7,13,49,195,353,472,203,81,88,41,1041,2551,
"Narrabri",0,0,11,50,334,787,913,344,45,74,46,657,3268,
"Narrabri Surrounds",0,0,3,32,200,447,473,235,44,60,23,570,2097,
"Gunnedah",0,6,7,60,435,1115,1232,530,63,100,63,804,4413,
"Gunnedah Surrounds",0,0,3,27,183,420,495,235,76,46,38,539,2062,
"Quirindi",0,0,13,51,367,794,1036,371,63,84,65,847,3694,
"Tamworth - East",3,5,26,170,1074,2369,2738,1301,170,249,127,1205,9434,
"Tamworth - North",3,4,27,99,940,1999,2032,874,145,166,95,1042,7431,
"Tamworth - West",0,6,26,58,342,593,617,167,6,67,61,502,2447,
"Tamworth Surrounds",0,0,22,105,757,1808,2430,1324,230,206,116,1325,8329,
"Belmont - Bennetts Green",0,0,20,105,1115,2240,2158,860,132,202,98,600,7532,
"Belmont South - Blacksmiths",0,0,11,57,460,872,644,195,27,73,33,367,2746,
"Charlestown - Dudley",0,0,25,172,1596,3244,3151,890,128,317,109,835,10482,
"Glendale - Cardiff - Hillsborough",3,6,17,167,1413,3101,3039,909,156,301,93,645,9842,
"Mount Hutton - Windale",5,0,25,87,716,1342,1051,235,36,105,67,391,4053,
"Redhead",0,0,0,20,201,512,397,188,29,42,24,117,1531,
"Swansea - Caves Beach",0,0,15,86,705,1567,1499,731,138,143,74,980,5943,
"Valentine - Eleebana",0,0,4,38,360,1177,1679,943,118,127,17,255,4723,
"Warners Bay - Boolaroo",0,0,12,89,827,1979,1921,699,87,179,47,545,6392,
"Bolton Point - Teralba",0,0,26,82,596,1128,1202,448,43,108,60,384,4063,
"Bonnells Bay - Silverwater",0,4,13,66,399,961,1276,714,103,97,40,581,4250,
"Edgeworth - Cameron Park",0,0,20,81,681,1649,1935,892,74,197,61,352,5941,
"Morisset - Cooranbong",4,3,17,128,908,2203,2005,941,179,188,115,849,7540,
"Toronto - Awaba",0,6,23,94,754,1657,1923,669,118,171,82,618,6129,
"Wangi Wangi - Rathmines",0,3,5,46,425,984,1294,640,99,104,37,499,4132,
