sa2,Couple family with no children,Couple family with children,One parent family,Other family,Not applicable
Mullumbimby,834,798,429,21,1817
Casino,1349,1068,715,59,2247
Casino Surrounds,911,681,288,32,1180
Goonellabah,1443,1327,789,49,2362
Kyogle,995,595,387,24,1523
Lismore,1312,1152,1077,83,3489
Lismore Surrounds,1952,1656,619,46,2512
Kingscliff - Fingal Head,1768,1628,559,35,2495
Murwillumbah,952,888,609,38,1700
Murwillumbah Surrounds,1275,1006,426,34,1620
Pottsville,1589,1585,590,38,2039
Tweed Heads,2621,1683,1013,88,4602
Banora Point,2038,1649,868,74,2417
Terranora - North Tumbulgum,383,450,101,3,274
Tweed Heads South,1061,579,491,49,2107
Griffith (NSW),1997,2336,852,84,3044
Griffith Surrounds,1316,1411,418,48,2023
Leeton,1060,1020,454,38,1621
Narrandera,651,517,282,27,1097
Tumbarumba,483,300,136,12,608
Tumut,754,645,344,23,1210
Tumut Surrounds,615,504,149,12,787
Cootamundra,1117,651,324,23,1410
Gundagai,405,371,122,12,689
Junee,645,550,245,22,916
Temora,856,620,258,28,1175
Wagga Wagga - East,1856,1950,776,61,2315
Wagga Wagga - North,465,648,155,22,709
Wagga Wagga - South,2169,2516,1154,84,3324
Wagga Wagga - West,1167,882,624,71,2950
Wagga Wagga Surrounds,1929,2083,557,34,2169
Berry - Kangaroo Valley,1637,846,283,30,1684
Callala Bay - Currarong,597,314,158,14,634
Culburra Beach,802,427,215,21,1020
Ettrema - Sassafras - Budawang,14,9,0,0,10
Huskisson - Vincentia,781,434,165,7,906
North Nowra - Bomaderry,1963,1612,800,63,2522
Nowra,2083,2109,1209,105,3610
St Georges Basin - Erowal Bay,2233,1261,813,51,2594
Sussex Inlet - Berrara,798,325,165,11,1058
Tomerong - Wandandian - Woollamia,522,444,90,5,432
Ulladulla,2570,1468,787,46,3047
Ulladulla Surrounds,992,497,183,18,1116
Bowral,2165,1268,445,31,2194
Hill Top - Colo Vale,663,875,267,16,630
Mittagong,1325,1222,419,36,1663
Moss Vale - Berrima,1277,1128,480,38,1668
Robertson - Fitzroy Falls,564,406,121,15,587
Southern Highlands,1151,714,229,16,1183
Baulkham Hills - East,2072,3954,859,73,2053
Baulkham Hills (West) - Bella Vista,2067,3607,573,42,1332
Glenhaven,731,925,133,8,513
West Pennant Hills,1267,2170,306,30,632
Castle Hill - Central,678,1189,276,27,662
Castle Hill - East,453,787,98,9,632
Castle Hill - North,1219,1946,360,23,778
Castle Hill - South,1025,1609,361,38,799
Castle Hill - West,389,936,144,10,238
Cherrybrook,1637,3332,491,23,988
Kellyville - East,1255,3193,525,32,756
Kellyville - West,944,1903,247,21,740
Dural - Kenthurst - Wisemans Ferry,2200,3322,638,43,1697
Galston - Laughtondale,599,726,150,14,559
Bilpin - Colo - St Albans,358,318,70,13,477
Kurrajong Heights - Ebenezer,2390,3210,702,45,1798
Pitt Town - McGraths Hill,1040,1687,390,26,1005
Box Hill - Nelson,769,1872,269,20,446
North Kellyville,1139,3112,464,21,896
Rouse Hill - Beaumont Hills,1117,3215,505,35,763
Blacktown (East) - Kings Park,1438,2124,662,126,2565
Blacktown (North) - Marayong,1578,2704,1044,106,2293
Doonside - Woodcroft,1532,3418,1149,127,2001
Lalor Park - Kings Langley,2090,3453,1173,136,2915
Blacktown - South,887,1760,600,76,1360
Blacktown - West,1291,2230,719,101,1890
Seven Hills - Prospect,1321,2091,579,73,1586
Toongabbie - West,890,1700,453,61,1230
Glenwood,971,2935,452,43,678
Acacia Gardens,268,660,127,5,174
Quakers Hill,1735,4092,899,87,1755
Kellyville Ridge - The Ponds,1190,3927,516,29,922
Marsden Park - Shanes Park,985,2913,314,44,790
Riverstone,1020,2081,615,65,1193
Schofields (West) - Colebee,625,1868,236,15,481
Schofields - East,1596,4356,794,64,1783
Stanhope Gardens - Parklea,779,2089,350,23,723
Bidwill - Hebersham - Emerton,1039,1797,1531,128,2309
Glendenning - Dean Park,531,1288,385,32,567
Hassall Grove - Plumpton,1270,3289,936,79,1411
Lethbridge Park - Tregear,1189,2385,1525,111,2617
Mount Druitt - Whalan,1264,2850,1305,134,2650
Prospect Reservoir,3,0,0,0,22
Rooty Hill - Minchinbury,1472,3243,1001,81,1803
Banksmeadow,70,41,16,7,123
Botany,1183,1761,522,61,1723
Pagewood - Hillsdale - Daceyville,1349,1711,685,100,2501
Port Botany Industrial,0,0,0,0,3
Sydney Airport,0,0,0,0,7
Eastlakes,760,1098,415,69,1504
Mascot,2705,1960,578,233,4048
Petersham - Stanmore,2222,1822,573,130,4209
Sydenham - Tempe - St Peters,1001,846,296,48,1319
Marrickville - North,1343,1207,473,64,2213
Marrickville - South,1548,1309,611,105,2879
Darlinghurst,1551,354,173,33,3814
Erskineville - Alexandria,3165,1424,400,80,4640
Glebe - Forest Lodge,2629,1302,661,108,5739
Potts Point - Woolloomooloo,2533,485,314,51,7651
Surry Hills,2287,583,240,95,5479
Camperdown - Darlington,853,439,152,35,1705
Chippendale,1033,194,94,98,2828
Newtown (NSW),1841,995,343,72,3869
Pyrmont,1876,894,394,79,3046
Redfern,1683,713,332,85,4086
Rosebery - Beaconsfield,1808,1116,319,87,2464
Sydney (North) - Millers Point,1360,356,126,47,2619
Sydney (South) - Haymarket,2656,702,345,248,5435
Ultimo,808,313,149,81,1992
Waterloo,2466,756,443,109,5296
Zetland,2167,694,261,125,3411
Bondi - Tamarama - Bronte,2156,1898,476,69,3838
Bondi Beach - North Bondi,2270,1972,527,74,4521
Bondi Junction - Waverly,1986,1742,523,74,3591
Centennial Park,0,0,0,0,0
Dover Heights,1077,1494,393,35,1492
Paddington - Moore Park,1737,1282,412,57,3508
Rose Bay - Vaucluse - Watsons Bay,1205,1558,360,29,1492
Woollahra,874,724,255,41,1450
Bellevue Hill,1685,1594,453,57,2335
Double Bay - Darling Point,1460,741,306,51,2483
Kensington (NSW),1202,1002,341,78,2157
Kingsford,1136,1462,437,106,2526
Maroubra - North,1010,1232,333,41,1324
Maroubra - South,1100,1187,534,63,2234
Maroubra - West,994,1214,379,62,1524
Randwick - North,1760,1722,549,78,3087
Randwick - South,1417,1236,383,77,2408
Coogee - Clovelly,2437,1983,529,89,3710
Malabar - La Perouse,971,1211,346,36,1374
Matraville - Chifley,983,1887,655,56,1614
South Coogee,390,732,237,14,920
Bass Hill - Georges Hall,1323,2987,1244,105,2256
Chullora,106,214,49,5,123
Condell Park,718,1689,622,44,1028
Padstow,1505,2318,759,84,1906
Revesby,1320,2397,882,74,1796
Yagoona - Birrong,1347,2870,1131,105,2281
Bankstown - North,1102,2157,903,100,2154
Bankstown - South,1173,2150,978,122,2305
Greenacre - North,698,1933,685,48,1408
Greenacre - South,646,1874,585,41,982
Panania (North) - Milperra,941,1645,487,56,1060
Panania (South) - Picnic Point,1360,2348,637,60,1502
Belmore - Belfield,1528,2448,1056,129,2755
Punchbowl,1182,2780,986,119,2227
Roselands,1015,2033,686,78,1493
Lakemba,819,2251,532,107,2066
Wiley Park,510,1359,391,67,1271
Campsie - North,1060,1219,526,106,1841
Campsie - South,841,810,429,109,1657
Canterbury - South,1189,1441,536,74,1899
Earlwood,1577,2566,761,69,1801
Kingsgrove - North,530,851,311,15,589
Narwee - Beverly Hills,1166,1813,641,81,1744
Oatley - Hurstville Grove,1211,1912,417,41,1136
Peakhurst - Lugarno,1821,2868,797,67,2010
Riverwood,997,1240,679,73,2055
South Hurstville - Blakehurst,2353,3273,899,169,2958
Hurstville - Central,1420,1144,522,120,1976
Hurstville - North,1044,1628,528,81,1198
Mortdale - Oatley,1391,2046,511,63,1744
Penshurst,935,1108,432,79,1529
Kingsgrove (South) - Bardwell Park,1115,1809,597,63,1352
Kogarah,1288,1535,445,101,2146
Kogarah Bay - Carlton - Allawah,1493,2120,674,105,2071
Monterey - Brighton-le-Sands - Kyeemagh,1396,1560,694,76,2519
Rockdale - Banksia,2014,2158,743,149,3128
Sans Souci - Ramsgate,1718,2008,744,69,2695
Arncliffe - Bardwell Valley,1619,1870,638,106,2356
Bexley - North,757,1445,433,37,873
Bexley - South,1455,2007,640,92,2012
Wolli Creek,1795,656,177,132,2544
Concord - Mortlake - Cabarita,2818,3004,851,87,2637
Drummoyne - Rodd Point,2103,2285,643,90,2597
Five Dock - Abbotsford,2320,2674,849,98,3079
Concord West - North Strathfield,1113,1779,446,61,1497
Rhodes,1836,1067,317,99,2226
Balmain,1931,1825,498,49,2723
Lilyfield - Rozelle,1536,1704,469,55,2245
Annandale (NSW),1018,1061,275,39,1744
Leichhardt,1792,2178,668,80,2665
Canterbury (North) - Ashbury,1299,1475,497,74,1696
Croydon Park - Enfield,1429,2328,755,96,2310
Dulwich Hill - Lewisham,1992,1788,724,91,3720
Haberfield - Summer Hill,1366,1660,478,63,2040
Homebush,2170,2320,597,206,3467
Strathfield South,303,546,153,17,394
Ashfield - North,1253,1059,423,101,2416
Ashfield - South,1366,1171,423,76,2314
Burwood (NSW),1741,1246,532,195,3397
Croydon,1003,1416,453,53,1300
Strathfield - East,1653,1359,388,232,3128
Strathfield - West,770,1381,267,36,786
Chatswood (West) - Lane Cove North,2193,2818,706,89,3216
St Leonards - Naremburn,1608,1282,322,51,2496
Artarmon,862,1324,326,50,1373
Castle Cove - Northbridge,1208,2137,362,34,1049
Chatswood - East,1970,2417,770,131,2821
Greenwich - Riverview,1375,1807,333,29,1412
Lane Cove,1704,2136,525,59,2183
Willoughby,1065,1926,511,48,1275
Asquith - Mount Colah,2028,3555,767,66,1777
Berowra - Brooklyn - Cowan,1118,1878,385,19,898
Normanhurst - Thornleigh - Westleigh,1645,3089,620,38,1428
Hornsby - East,1282,1416,505,86,2167
Hornsby - West,973,1588,402,43,1080
Wahroonga (West) - Waitara,1076,1714,440,49,1526
Gordon - Killara,2053,3431,879,71,2095
Lindfield - Roseville,2199,3878,764,73,2165
Pymble,1513,2883,511,29,1159
St Ives,2106,3487,657,38,1591
Turramurra,1962,3102,576,55,1766
Wahroonga (East) - Warrawee,1686,2871,528,41,1346
Cremorne - Cammeray,2404,2026,632,99,3737
Crows Nest - Waverton,2607,1726,526,103,3888
Neutral Bay - Kirribilli,2393,1275,495,82,4712
North Sydney - Lavender Bay,2046,884,349,71,3219
Mosman - North,1732,1596,413,50,2360
Mosman - South,1648,1785,451,41,2290
Balgowlah - Clontarf - Seaforth,1815,3246,622,52,1858
Manly - Fairlight,3035,2309,568,58,4159
Avalon - Palm Beach,1604,1663,399,17,1545
Bayview - Elanora Heights,1262,1565,286,27,1256
Newport - Bilgola,1668,1851,434,31,1494
Mona Vale - Warriewood (North),1579,1879,501,27,1763
North Narrabeen - Warriewood (South),906,1645,443,24,974
Beacon Hill - Narraweena,1146,2179,561,47,1379
Cromer,714,1212,249,19,797
Forestville - Killarney Heights,999,2146,424,31,1078
Freshwater - Brookvale,2423,2776,701,71,3089
Manly Vale - Allambie Heights,1471,2630,553,42,1825
Terrey Hills - Duffys Forest,397,557,85,6,317
Belrose,782,1306,260,21,739
Collaroy - Collaroy Plateau,1388,1925,475,46,1565
Dee Why (South) - North Curl Curl,817,1273,330,28,1139
Dee Why - North,2298,1855,779,96,3318
Frenchs Forest - Oxford Falls,1400,2903,496,28,1015
Narrabeen - Wheeler Heights,1291,1241,424,31,1975
Camden - Ellis Lane,1310,1736,483,21,1416
Currans Hill,450,964,352,18,500
Elderslie - Narellan,1176,1991,681,44,1247
Harrington Park,774,1935,315,33,550
Mount Annan,1412,2934,881,49,1274
Spring Farm,781,1508,417,23,603
Bradbury - Wedderburn,1399,2364,1420,92,2212
Campbelltown - Woodbine,1919,2499,1099,113,3382
Claymore - Eagle Vale - Raby,1559,2641,1200,78,1791
Holsworthy Military Area,0,0,0,0,0
Leumeah - Minto Heights,1473,2083,855,86,2060
Minto - St Andrews,1371,3049,1056,107,1921
Rosemeadow - Glen Alpine,1851,2546,1287,97,2032
Denham Court - Bardia,1000,2497,409,38,862
Glenfield,721,1587,421,47,843
Ingleburn,1291,2298,848,63,1810
Macquarie Fields,841,1816,944,73,1663
Bargo,629,760,245,13,626
Douglas Park - Appin,1024,1675,288,18,793
Picton - Tahmoor - Buxton,1935,2420,877,45,2055
The Oaks - Oakdale,988,1427,277,13,735
Blackheath - Megalong Valley,814,479,291,17,1274
Blaxland - Warrimoo - Lapstone,2119,2657,715,44,1751
Blue Mountains - North,4,0,0,0,3
Katoomba - Leura,1711,1070,659,48,3181
Lawson - Hazelbrook - Linden,1295,1414,542,31,1516
Springwood - Winmalee,2537,2887,841,43,2352
Wentworth Falls,876,669,231,23,1047
Blue Mountains - South,0,0,0,0,7
Cambridge Park,1525,1893,1002,69,1796
Emu Plains - Leonay,1391,1917,603,39,1443
Glenmore Park - Regentville,1669,3286,950,47,1381
Jamisontown - South Penrith,1674,2021,1021,72,2298
Kingswood - Werrington,1672,3060,1328,131,3506
Mulgoa - Luddenham - Orchard Hills,941,1884,387,36,812
