sa2_name_2021,in_wslhd,in_metro,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Rosebery - Beaconsfield,0,1,12290,5334,1044,3392,4182,3211,3253,42,1980,205,648,534,1358,416,1910,7518,301,2404,0.49066323245331617,0.09603532333731947,0.3120228129886855,0.5562649640861931,0.42710827347698854,0.27949136523756335,0.0036085574362058597,0.17011770770684767,0.01797142105724555,0.056807223634610327,0.04681336021741036,0.11904970632068028,0.03646883492592268,0.16744104497238538,0.6915647134578236,0.027688345138441726,0.22113880967712263
Sydney (North) - Millers Point,0,1,8004,4266,748,1646,3127,1600,1857,15,1981,119,430,386,1011,168,1700,4844,239,1883,0.563391442155309,0.09878499735868991,0.21737982039091389,0.6459409212972527,0.3305102251600909,0.31304787592717465,0.0025286581254214432,0.3339514497639919,0.021009887005649718,0.0759180790960452,0.0681497175141243,0.1784957627118644,0.029661016949152543,0.3001412429378531,0.6397253037506603,0.03156365557316429,0.24867934495509772
Sydney (South) - Haymarket,0,1,19935,8560,3061,4671,4301,6082,3745,101,3799,431,1197,915,1982,525,2244,10683,958,5742,0.45169120363041526,0.1615218194290539,0.24647775842963432,0.40282850988105273,0.5696356654490962,0.2074102791315906,0.005593708462560921,0.21040097474523703,0.024543021468025738,0.0681624053299926,0.05210409429986903,0.11286373213370537,0.02989579181140026,0.12778315585672798,0.5637169542504353,0.05055142208854414,0.30299192654741175
Ultimo,0,1,7410,3433,722,1936,1833,2025,1306,26,1601,161,597,435,728,192,700,3960,428,2032,0.49574007220216604,0.10425992779783394,0.2795667870036101,0.4632297194844579,0.511751326762699,0.19225673487413514,0.003827469453849551,0.2356837921389666,0.024272576511382482,0.09000452284034374,0.06558118498417007,0.10975425900799035,0.028946178199909543,0.10553294135383688,0.5718411552346571,0.06180505415162455,0.2934296028880866
Waterloo,0,1,16379,7176,1350,4466,5364,3593,3723,24,4298,305,2037,684,1785,487,2353,9100,600,4027,0.4749487060692303,0.08935071811503077,0.29558541266794625,0.5892562891354498,0.3947050422937493,0.2478860110526666,0.001597975897196884,0.286170850256342,0.021167325976820042,0.14136997709764731,0.047470331043098064,0.1238809077659796,0.03379832049413561,0.1633007148310084,0.6022900258124296,0.03971143027334701,0.2665298828512807
Zetland,0,1,12622,6497,1009,3071,4565,3159,3185,33,2840,401,720,714,1635,439,1923,7873,501,2622,0.5601344943529615,0.08699025778084317,0.26476420381067334,0.5805672135317309,0.401755055322396,0.2765237020316027,0.0028650807431845806,0.24657058517103664,0.035546494105132526,0.06382412906657212,0.06329226132435067,0.14493395975534085,0.03891498980586827,0.1704636113819697,0.6787654108112768,0.04319337873954651,0.22605397016984222
Bondi - Tamarama - Bronte,0,1,19055,8546,1535,4300,7003,3608,4483,59,3134,123,1023,647,1434,435,3557,10837,411,3861,0.5285749628896586,0.09494062345373577,0.26595744680851063,0.6463313336409783,0.332994923857868,0.2476795580110497,0.0032596685082872928,0.17314917127071824,0.006938176895306859,0.057705324909747294,0.03649593862815884,0.08088898916967509,0.024537454873646208,0.20064305054151624,0.670274616526472,0.0254205838693716,0.23880504700643246
Bondi Beach - North Bondi,0,1,20705,9565,1534,4617,8018,3989,4782,33,3727,143,1073,711,1677,439,4055,12264,481,3736,0.5430031223389157,0.08708487084870849,0.2621061595231337,0.6539967373572594,0.3253670473083197,0.24835107764217088,0.0017138405608932744,0.1935601142560374,0.007588219686919607,0.05693817988856461,0.03772884054125763,0.08898912178296631,0.023295303794109844,0.2151764393738392,0.6962248084019301,0.02730627306273063,0.21209196707351688
Bondi Junction - Waverly,0,1,17720,7580,1312,4189,5870,3427,4253,40,2835,143,1143,688,1377,373,3060,9489,367,4001,0.5041569670768208,0.08726305287662121,0.27861656135683405,0.6191330028478008,0.36145976162852017,0.254031776370804,0.002389200812328276,0.1693346075737666,0.008745107632093933,0.06989970645792563,0.04207436399217221,0.08420988258317025,0.022810665362035226,0.18713307240704502,0.6311273694712338,0.024409710675091453,0.26611240438975725
Centennial Park,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dover Heights,0,1,11122,4367,914,2842,3520,2015,2885,55,1166,79,544,387,799,207,1855,5642,218,2717,0.48689931987958524,0.1019065670643327,0.31686921618909575,0.6235606731620903,0.3569530558015943,0.26970178554734975,0.005141628493970272,0.10900252407216977,0.0074995253464970575,0.05164230112018227,0.03673818112777672,0.0758496297702677,0.019650655021834062,0.176096449591798,0.6290556360798305,0.02430594269149292,0.30293232244397367
Paddington - Moore Park,0,1,14793,7745,1020,2975,6303,2534,3453,20,3055,123,963,612,1279,230,3027,8972,338,2915,0.6011798494139564,0.07917410541023054,0.2309244741131724,0.7028322925958965,0.28256021409455845,0.2528373727758659,0.0014644504649630227,0.2236948085231017,0.00913140311804009,0.07149220489977728,0.04543429844097996,0.09495174461766889,0.017074981440237565,0.2247216035634744,0.6964216409221454,0.026236125126135216,0.22626717379492353
Rose Bay - Vaucluse - Watsons Bay,0,1,11924,4793,852,3163,3649,1710,3058,49,1124,82,514,292,664,168,2214,5531,200,3543,0.4852688063177078,0.0862610104282677,0.3202389389490736,0.6598553345388788,0.3092224231464738,0.26805750350631136,0.0042952314165497895,0.0985273492286115,0.00728112235837329,0.045640206002486236,0.025927899129817085,0.058959332267803234,0.014917421417155035,0.19659030367607885,0.5599878505619115,0.02024906348081401,0.3587121595626202
Woollahra,0,1,7454,3684,492,1488,2796,978,1843,19,1225,55,426,245,619,111,1468,3865,125,1955,0.5844835792479771,0.0780580675868634,0.23607805806758686,0.7247278382581649,0.2534992223950233,0.2673339135480128,0.0027560197272991005,0.17769074557586306,0.008084668528590327,0.06261943260326326,0.03601352344553873,0.09098926943995296,0.016316331030427754,0.2157871527267382,0.6132000634618435,0.019831826114548628,0.31016976043154054
