sa2_name_2021,in_wslhd,in_metro,pop_size,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_0_19,age_20_39,age_40_59,age_60_plus,male,female,australia,overseas,english,non_english,couple_no_children,couple_with_children,one_parent,other_family,prop_age_0_9,prop_age_10_19,prop_age_20_29,prop_age_30_39,prop_age_40_49,prop_age_50_59,prop_age_0_19,prop_age_20_39,prop_age_40_59,prop_age_60_plus,prop_male,prop_female,prop_australia,prop_overseas,prop_english,prop_non_english,prop_couple_no_children,prop_couple_with_children,prop_one_parent,prop_other_family
Leumeah - Minto Heights,0,1,16729,2273,2089,2107,2445,2147,1838,4362,4552,3985,3836,8340,8390,11170,4748,11520,4268,1473,2083,855,86,0.13587183932093969,0.12487297507322613,0.12594895092354594,0.1461533863351067,0.12834000836870105,0.10986908960487776,0.2607448143941658,0.2721023372586526,0.2382090979735788,0.229302408990376,0.4985354773148425,0.5015242991212864,0.6677027915595672,0.2838185187399127,0.6886245442046746,0.2551258293980513,0.10041584293407867,0.1420001363419456,0.05828618174381348,0.005862703660781239
Minto - St Andrews,0,1,21335,3273,2979,2639,3363,2882,2526,6252,6002,5408,3673,10597,10735,11473,8762,10362,9478,1371,3049,1056,107,0.1534098898523553,0.13962971642840402,0.12369346144832435,0.15762831028825872,0.13508319662526366,0.11839700023435669,0.2930396062807593,0.28132177173658307,0.25348019685962037,0.17215842512303725,0.4966955706585423,0.5031638153269276,0.5377548629013358,0.41068666510428875,0.48568080618701664,0.44424654323880947,0.07061914082620789,0.1570516122385907,0.05439373647882971,0.0055114865560935405
Rosemeadow - Glen Alpine,0,1,21155,2771,2983,2728,2708,2471,2594,5754,5436,5065,4902,10325,10837,14368,5476,14857,4811,1851,2546,1287,97,0.1309855826045852,0.14100685417159065,0.12895296620184354,0.12800756322382414,0.11680453793429449,0.12261876624911368,0.27199243677617585,0.2569605294256677,0.23942330418340818,0.23171826991255023,0.4880642874025053,0.5122666036398015,0.6791774994091231,0.25885133538170646,0.702292602221697,0.22741668636256204,0.09679443601945302,0.13313810594571981,0.06730115567641061,0.005072425874601266
Denham Court - Bardia,0,1,14868,3105,1643,1973,3665,1993,1037,4748,5638,3030,1462,7317,7555,7496,6932,5962,8176,1000,2497,409,38,0.20883777239709442,0.1105057842345978,0.1327011030400861,0.24650255582458971,0.13404627387678236,0.06974710788270111,0.3193435566316922,0.37920365886467583,0.20379338175948344,0.09833198816249664,0.49213075060532685,0.5081382835620124,0.5041700295937585,0.46623621199892384,0.40099542641915525,0.5499058380414312,0.07139797229758675,0.1782807368270741,0.02920177066971298,0.0027131229473082966
Glenfield,0,1,10536,1597,1187,1329,1799,1468,1192,2784,3128,2660,1960,5147,5389,4847,5185,4260,5509,721,1587,421,47,0.15157555049354593,0.11266135155656795,0.1261389521640091,0.17074791192103264,0.13933181473044798,0.11313591495823842,0.2642369020501139,0.2968868640850418,0.2524677296886864,0.18602885345482156,0.48851556567957477,0.5114844343204252,0.460041761579347,0.4921222475322703,0.4043280182232346,0.5228739559605163,0.07438357577633344,0.16372640049520273,0.043433405550397194,0.004848860002063344
Ingleburn,0,1,16720,2313,2043,2156,2482,2206,2126,4356,4638,4332,3385,8278,8439,8862,6999,8693,6979,1291,2298,848,63,0.13833732057416268,0.122188995215311,0.12894736842105264,0.14844497607655502,0.1319377990430622,0.12715311004784688,0.26052631578947366,0.27739234449760763,0.2590909090909091,0.20245215311004786,0.4950956937799043,0.5047248803827751,0.5300239234449761,0.41860047846889953,0.5199162679425837,0.41740430622009567,0.08658618376928236,0.15412474849094568,0.05687458081824279,0.004225352112676056
Macquarie Fields,0,1,14198,2107,2115,1695,2020,1953,1659,4222,3715,3612,2656,6840,7353,7481,5688,6917,6097,841,1816,944,73,0.14840118326524862,0.14896464290745176,0.11938301169178757,0.14227355965628963,0.13755458515283842,0.11684744330187351,0.29736582617270035,0.2616565713480772,0.25440202845471194,0.18706860121143823,0.48175799408367376,0.5178898436399493,0.5269051979151993,0.40061980560642346,0.48718129313987885,0.4294266798140583,0.0670921420023933,0.14487435181491823,0.07530913442361388,0.005823693657758277
Bargo,0,1,5934,733,882,613,688,793,788,1615,1301,1581,1448,2967,2965,5010,670,5348,325,629,760,245,13,0.12352544657903607,0.1486349848331648,0.10330299966295922,0.11594202898550725,0.1336366700370745,0.13279406808223795,0.27216043141220086,0.21924502864846646,0.26643073811931245,0.2440175261206606,0.5,0.49966295921806536,0.8442871587462083,0.11290866194809572,0.901247050893158,0.05476912706437479,0.11850037678975132,0.14318010550113036,0.046156744536548604,0.0024491333835719668
Douglas Park - Appin,0,1,11112,1826,1571,1045,1631,1457,1344,3397,2676,2801,2236,5626,5480,9220,1269,9870,574,1024,1675,288,18,0.16432685385169185,0.14137868970482362,0.09404247660187184,0.14677825773938086,0.13111951043916487,0.12095032397408208,0.30570554355651547,0.2408207343412527,0.25206983441324693,0.20122390208783297,0.5062994960403168,0.4931605471562275,0.8297336213102952,0.11420086393088554,0.8882289416846653,0.05165586753059755,0.09923442194011048,0.1623219304196143,0.02790968117065607,0.0017443550731660045
Picton - Tahmoor - Buxton,0,1,18987,2700,2505,2542,2420,2355,2357,5205,4962,4712,4102,9347,9640,15969,2101,17106,935,1935,2420,877,45,0.14220255964607362,0.13193237478274608,0.13388107652604414,0.12745562753462897,0.12403223258018645,0.1241375678095539,0.2741349344288197,0.2613367040606731,0.24816980038974035,0.21604255543266446,0.4922841944488334,0.5077158055511666,0.8410491388845,0.11065465845051878,0.900932216779902,0.04924421972928846,0.11428065201984408,0.14292463973541222,0.05179541696196551,0.002657689581856839
The Oaks - Oakdale,0,1,9808,1273,1545,1058,1242,1307,1236,2818,2300,2543,2135,4979,4825,8145,1081,8699,571,988,1427,277,13,0.12979200652528547,0.15752446982055465,0.10787112561174551,0.12663132137030994,0.13325856443719414,0.12601957585644372,0.2873164763458401,0.23450244698205547,0.2592781402936378,0.2176794453507341,0.5076468189233279,0.4919453507340946,0.8304445350734094,0.11021615008156607,0.8869290375203915,0.05821778140293638,0.10889452220875125,0.15727984128733605,0.03053014438443734,0.0014328226606414637
