sa2,Arthritis,Asthma,Cancer (including remission),Dementia (including Alzheimer's),Diabetes (excluding gestational diabetes),Heart disease (including heart attack or angina),Kidney disease,Lung condition (including COPD or emphysema),Mental health condition (including depression or anxiety),Stroke,Any other long-term health condition(s),No long-term health condition(s),Not stated
Armidale Surrounds - South,721,612,246,33,320,284,69,147,605,57,524,3175,479
Walcha,418,275,143,31,172,192,34,91,210,42,203,1666,374
Glen Innes,1235,869,376,85,554,553,112,309,994,142,828,4176,1228
Inverell,1387,1202,400,106,721,600,120,300,1110,142,955,6331,1399
Inverell Surrounds - East,722,469,186,42,349,301,59,190,464,50,357,2664,688
Inverell Surrounds - West,761,537,218,65,361,301,57,172,486,105,454,2941,668
Tenterfield,1091,630,320,69,446,454,117,240,734,108,605,3285,780
Moree,582,699,199,58,438,314,86,155,541,69,431,3976,1633
Moree Surrounds,308,383,112,13,198,146,38,86,248,37,225,2725,1470
Narrabri,719,739,217,77,415,337,98,170,554,76,468,3693,726
Narrabri Surrounds,440,475,135,31,227,187,50,98,288,48,253,2371,770
Gunnedah,958,959,296,85,536,439,133,252,830,112,659,5254,1240
Gunnedah Surrounds,423,449,142,30,203,195,45,112,318,41,289,2412,560
Quirindi,895,738,232,59,509,379,117,197,630,93,507,3853,1066
Tamworth - East,2198,2515,703,129,1181,991,271,473,2397,235,1742,11198,2056
Tamworth - North,1714,1740,581,256,825,821,216,383,1786,233,1449,8916,1605
Tamworth - West,502,704,106,24,314,201,66,107,697,39,417,3042,988
Tamworth Surrounds,2244,2101,739,148,1033,1028,259,495,1881,238,1548,10197,1689
Belmont - Bennetts Green,2256,1824,694,224,989,1065,230,438,2062,241,1661,9462,1225
Belmont South - Blacksmiths,805,570,242,33,352,346,71,167,661,65,504,2920,453
Charlestown - Dudley,2385,2382,779,190,1170,1157,274,495,2824,233,2148,14550,1624
Glendale - Cardiff - Hillsborough,2553,2522,764,302,1345,1093,274,484,3223,256,2249,13530,1455
Mount Hutton - Windale,1287,1252,365,165,695,573,160,330,1495,162,1001,4364,958
Redhead,457,319,189,110,202,292,73,118,409,66,338,2029,293
Swansea - Caves Beach,1843,1210,590,118,733,786,184,411,1292,165,1088,6630,846
Valentine - Eleebana,1338,1150,521,108,496,585,137,192,1090,128,1071,7298,675
Warners Bay - Boolaroo,1773,1465,562,79,781,776,168,333,1711,151,1332,7977,926
Bolton Point - Teralba,1293,1102,358,134,624,571,148,306,1368,140,947,4975,1025
Bonnells Bay - Silverwater,1203,1047,404,67,585,570,146,264,1174,120,931,4998,680
Edgeworth - Cameron Park,1517,1741,434,170,890,686,184,316,2042,164,1481,9250,1072
Morisset - Cooranbong,2502,1803,811,413,1196,1207,307,552,2310,341,1899,9145,1299
Toronto - Awaba,1943,1496,584,192,902,978,227,422,1798,242,1467,6903,1065
Wangi Wangi - Rathmines,1296,927,411,56,529,570,110,257,1006,127,927,4877,740
West Wallsend - Barnsley - Killingworth,808,813,211,32,401,315,79,153,939,81,622,3928,476
Adamstown - Kotara,1400,1454,482,98,636,637,162,228,1737,134,1283,10065,968
Beresfield - Hexham,1194,1028,284,68,666,514,132,279,1133,127,737,4249,690
Hamilton - Broadmeadow,1248,1215,414,129,573,558,143,246,1670,134,1154,6875,1185
Lambton - New Lambton,1711,1618,555,113,797,722,189,316,2063,153,1552,9882,1150
Maryland - Fletcher - Minmi,1235,1698,340,46,772,503,158,242,1833,117,1322,10068,919
Mayfield - Warabrook,1593,1630,473,233,875,739,204,384,2547,173,1613,8083,1132
Merewether - The Junction,1167,1161,441,98,413,564,132,203,1311,117,1070,8985,925
Newcastle - Cooks Hill,1032,1087,354,51,363,481,95,191,1471,95,1087,7486,984
Newcastle Port - Kooragang,3,4,0,0,0,0,0,0,3,0,0,13,5
Shortland - Jesmond,976,1254,262,68,562,447,121,233,1595,111,940,6804,1674
Stockton - Fullerton Cove,1256,777,427,132,566,573,129,288,912,117,845,4535,759
Wallsend - Elermore Vale,2583,2212,714,421,1351,1223,319,481,2931,336,2185,10803,1461
Waratah - North Lambton,1149,1237,378,291,588,524,148,254,1820,157,1328,6917,1120
Wickham - Carrington - Tighes Hill,686,861,224,36,278,296,78,164,1234,88,778,5370,599
Ballina,2553,1515,903,334,1062,1385,330,690,2170,374,1800,9249,1625
Ballina Surrounds,1791,1576,684,160,712,883,193,366,1808,224,1484,10462,1373
Bangalow,420,441,168,33,102,174,35,97,485,40,409,4299,927
Brunswick Heads - Ocean Shores,754,598,280,32,205,319,60,216,748,73,711,5406,1051
Byron Bay,674,635,299,69,192,309,62,159,773,88,732,6944,1238
Evans Head,781,533,239,37,265,370,76,227,594,94,428,2789,655
Lennox Head - Skennars Head,688,658,261,22,203,337,49,121,646,70,624,5898,752
Mullumbimby,610,489,269,49,189,295,37,173,671,73,680,5127,1383
Casino,1572,1371,508,121,872,822,223,417,1423,206,1079,5994,1392
Casino Surrounds,785,679,243,52,380,388,86,227,705,98,623,3674,1072
Goonellabah,1581,1623,507,155,749,788,208,409,1816,196,1413,6873,1119
Kyogle,949,693,260,82,369,407,110,251,775,102,713,3871,900
Lismore,1518,1642,559,105,747,701,188,439,2319,218,1532,7508,1638
Lismore Surrounds,1390,1147,522,56,495,635,124,325,1403,143,1253,8898,1829
Kingscliff - Fingal Head,1551,1213,566,161,503,728,172,377,1242,149,1059,8716,1203
Murwillumbah,1075,916,343,92,436,476,127,275,1127,147,836,4911,1002
Murwillumbah Surrounds,997,731,352,51,353,411,78,244,836,117,731,5744,1374
Pottsville,1339,994,500,139,441,567,130,302,1142,123,1045,8277,1389
Tweed Heads,2567,1577,903,305,866,1196,301,680,1971,332,1849,10795,2122
Banora Point,2282,1440,736,253,863,1054,260,533,1632,247,1548,8531,1223
Terranora - North Tumbulgum,307,254,113,19,98,141,26,52,241,25,256,1996,264
Tweed Heads South,1485,891,457,204,605,735,191,418,1032,177,839,3857,704
Griffith (NSW),1634,1819,528,182,991,684,152,320,1473,194,1223,12566,2008
Griffith Surrounds,1149,1405,365,42,581,429,118,248,896,112,688,6945,1904
Leeton,1018,1187,274,96,494,395,113,267,985,88,709,5671,1055
Narrandera,711,668,197,73,357,317,84,204,523,67,463,3001,774
Tumbarumba,418,333,119,15,177,181,45,86,287,38,219,1817,485
Tumut,835,764,249,57,403,332,107,195,637,107,431,3488,664
Tumut Surrounds,599,455,174,10,226,172,63,130,324,57,324,2579,547
Cootamundra,1221,841,383,100,578,525,151,301,891,137,628,3726,711
Gundagai,397,329,136,27,220,178,47,93,259,51,189,2072,493
Junee,795,667,208,49,367,271,65,184,510,73,404,2871,1336
Temora,874,757,232,66,410,346,90,180,622,96,570,3511,535
Wagga Wagga - East,1670,1925,588,111,862,728,188,361,1712,146,1355,9541,1178
Wagga Wagga - North,356,570,128,35,176,144,58,81,445,46,386,3438,505
Wagga Wagga - South,2162,2617,707,174,1085,846,281,509,2419,233,1815,12677,1786
Wagga Wagga - West,1287,1399,420,169,656,574,185,366,1549,157,954,6301,1185
Wagga Wagga Surrounds,1618,1853,528,116,743,615,159,359,1558,173,1258,10341,1772
Berry - Kangaroo Valley,1367,719,487,134,465,607,130,260,741,137,771,5097,732
Callala Bay - Currarong,580,317,210,39,233,269,69,130,358,70,375,1724,285
Culburra Beach,873,444,243,73,387,357,111,192,558,77,430,2568,357
Ettrema - Sassafras - Budawang,3,4,0,0,4,3,0,0,6,0,5,31,8
Huskisson - Vincentia,698,354,213,32,268,257,67,111,436,60,416,2612,390
North Nowra - Bomaderry,2106,1593,668,175,977,883,270,496,1932,229,1552,8332,1320
Nowra,2610,2247,761,287,1415,1083,453,691,3066,302,2152,10886,3063
