sa2,Has asthma,Does not have asthma,Not stated
Manly - Fairlight,1415,19576,1443
Avalon - Palm Beach,878,11317,856
Bayview - Elanora Heights,742,9724,771
Newport - Bilgola,907,11970,798
Mona Vale - Warriewood (North),1029,12475,1129
North Narrabeen - Warriewood (South),766,9382,722
Beacon Hill - Narraweena,1007,12598,933
Cromer,553,7010,484
Forestville - Killarney Heights,885,11598,682
Freshwater - Brookvale,1411,19103,1310
Manly Vale - Allambie Heights,1185,15433,933
Terrey Hills - Duffys Forest,264,3298,222
Belrose,712,7552,388
Collaroy - Collaroy Plateau,936,12173,869
Dee Why (South) - North Curl Curl,588,7959,563
Dee Why - North,1112,15666,1040
Frenchs Forest - Oxford Falls,1282,15088,798
Narrabeen - Wheeler Heights,770,9728,743
Camden - Ellis Lane,1080,11326,893
Currans Hill,611,5449,389
Elderslie - Narellan,1197,11872,950
Harrington Park,836,9826,580
Mount Annan,1707,16177,1150
Spring Farm,824,8228,491
Bradbury - Wedderburn,2001,16187,1822
Campbelltown - Woodbine,1850,18263,1979
Claymore - Eagle Vale - Raby,1809,16661,1762
Holsworthy Military Area,0,4,0
Leumeah - Minto Heights,1577,13791,1361
Minto - St Andrews,1814,17754,1771
Rosemeadow - Glen Alpine,2154,17059,1946
Denham Court - Bardia,802,13315,747
Glenfield,656,9225,657
Ingleburn,1289,14136,1294
Macquarie Fields,1201,11564,1436
Bargo,571,4873,490
Douglas Park - Appin,883,9234,995
Picton - Tahmoor - Buxton,1822,15694,1471
The Oaks - Oakdale,757,8310,732
Blackheath - Megalong Valley,537,4752,477
Blaxland - Warrimoo - Lapstone,1726,16269,999
Blue Mountains - North,0,9,0
Katoomba - Leura,1220,11238,888
Lawson - Hazelbrook - Linden,1229,9556,659
Springwood - Winmalee,2140,18526,1296
Wentworth Falls,569,5368,493
Blue Mountains - South,0,4,0
Cambridge Park,1735,12900,1364
Emu Plains - Leonay,1244,11708,961
Glenmore Park - Regentville,1790,18062,1146
Jamisontown - South Penrith,1611,14413,1304
Kingswood - Werrington,2282,19980,2358
Mulgoa - Luddenham - Orchard Hills,830,10460,748
Penrith,1878,13937,2148
Warragamba - Silverdale,521,5089,418
Cranebrook - Castlereagh,1674,14035,1314
Jordan Springs - Llandilo,987,11592,807
Richmond - Clarendon,1360,12581,1297
Windsor - Bligh Park,1546,12395,1320
Yarramundi - Londonderry,519,5287,1700
Erskine Park,525,5502,462
St Clair,1723,16730,1496
Colyton - Oxley Park,1147,10531,1347
St Marys - North St Marys,1606,13331,2387
Rookwood Cemetery,0,6,0
Auburn - Central,629,16749,2107
Auburn - North,282,9476,829
Auburn - South,381,7523,953
Berala,381,7585,646
Lidcombe,792,18965,1439
Regents Park,272,4515,345
Silverwater - Newington,446,7093,1704
Wentworth Point - Sydney Olympic Park,919,18154,1339
Ermington - Rydalmere,1432,21545,1664
Oatlands - Dundas Valley,1114,16133,1261
Carlingford - East,654,10498,474
Carlingford - West,958,17368,923
Chester Hill - Sefton,1120,16837,2882
Fairfield - East,899,13028,1816
Granville - Clyde,1025,19769,2457
Guildford - South Granville,1141,18095,3144
Guildford West - Merrylands West,1378,19232,2321
Smithfield Industrial,0,11,0
Yennora Industrial,0,10,0
Greystanes - South,1084,14331,1233
Merrylands - Holroyd,1164,19913,2732
