"sa2_name_2021","in_wslhd","in_metro","pop_size","australia_total","overseas","not_stated_cob","english","non_english","not_stated_lang"
"Armidale Surrounds - North",0,0,4527,3610,336,568,3815,167,530
"Armidale Surrounds - South",0,0,5894,5054,423,395,5417,126,328
"Walcha",0,0,3144,2622,151,348,2759,51,321
"Glen Innes",0,0,8931,7287,632,970,7718,187,1006
"Inverell",0,0,12057,10055,862,1118,10449,580,1010
"Inverell Surrounds - East",0,0,5200,4224,337,619,4569,66,565
"Inverell Surrounds - West",0,0,5734,4903,209,590,5135,52,540
"Tenterfield",0,0,6810,5497,537,722,5968,189,646
"Moree",0,0,7845,5877,498,1452,6087,323,1403
"Moree Surrounds",0,0,5356,3783,198,1357,3909,119,1322
"Narrabri",0,0,6898,5958,315,604,6143,232,536
"Narrabri Surrounds",0,0,4616,3741,144,699,3892,77,652
"Gunnedah",0,0,9745,8332,574,857,8549,374,827
"Gunnedah Surrounds",0,0,4369,3705,171,493,3858,60,449
"Quirindi",0,0,7551,6276,338,912,6498,212,848
"Tamworth - East",0,0,21360,18196,1705,1429,18672,1259,1399
"Tamworth - North",0,0,16517,13446,1947,1079,13860,1519,1126
"Tamworth - West",0,0,5998,4713,524,754,4810,427,743
"Tamworth Surrounds",0,0,19038,16702,992,1310,17505,354,1168
"Belmont - Bennetts Green",0,0,17864,15574,1598,646,16531,688,630
"Belmont South - Blacksmiths",0,0,5680,4982,413,274,5236,168,280
"Charlestown - Dudley",0,0,25254,21685,2728,806,22668,1716,856
"Glendale - Cardiff - Hillsborough",0,0,24588,21300,2604,688,22190,1548,848
"Mount Hutton - Windale",0,0,9504,7981,790,698,8415,421,635
"Redhead",0,0,3785,3234,370,169,3392,144,233
"Swansea - Caves Beach",0,0,12559,10684,1368,495,11680,408,437
"Valentine - Eleebana",0,0,12568,10776,1504,243,11723,589,251
"Warners Bay - Boolaroo",0,0,14694,12473,1701,472,13341,850,484
"Bolton Point - Teralba",0,0,10135,8641,939,546,9067,443,604
"Bonnells Bay - Silverwater",0,0,9691,8186,1176,346,8938,374,349
"Edgeworth - Cameron Park",0,0,16375,13954,1927,485,14164,1621,584
"Morisset - Cooranbong",0,0,18129,14924,2434,749,16459,821,808
"Toronto - Awaba",0,0,13961,11809,1559,591,12855,512,583
"Wangi Wangi - Rathmines",0,0,9467,8026,987,413,8735,329,401
"West Wallsend - Barnsley - Killingworth",0,0,7254,6606,390,234,6845,154,235
"Adamstown - Kotara",0,0,16600,14097,2041,434,14768,1338,475
"Beresfield - Hexham",0,0,8561,7424,709,416,7767,403,383
"Hamilton - Broadmeadow",0,0,12772,10026,1902,820,10584,1358,836
"Lambton - New Lambton",0,0,17343,14594,2159,565,15275,1414,609
"Maryland - Fletcher - Minmi",0,0,16429,13032,2955,419,13283,2702,444
"Mayfield - Warabrook",0,0,15526,12691,2172,647,13368,1434,705
"Merewether - The Junction",0,0,14506,12320,1733,412,13169,900,429
