sa2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable
Belrose,515,196,1572,870,831,1991,0,435,284,366,1590
Collaroy - Collaroy Plateau,773,295,2667,1388,1700,3059,6,536,434,626,2501
Dee Why (South) - North Curl Curl,664,202,2015,865,914,1784,5,291,257,395,1718
Dee Why - North,1369,378,3749,1879,2020,3677,25,548,654,918,2608
Frenchs Forest - Oxford Falls,1173,411,3423,1557,1681,3589,6,591,540,481,3725
Narrabeen - Wheeler Heights,558,239,1979,1173,1520,2433,10,481,392,776,1684
Camden - Ellis Lane,423,241,1422,1086,2234,3083,10,970,384,851,2584
Currans Hill,160,65,535,521,1086,1654,5,362,167,194,1687
Elderslie - Narellan,434,206,1399,1116,2402,3422,10,827,330,522,3345
Harrington Park,425,159,1163,995,1675,2919,11,590,331,329,2654
Mount Annan,559,254,1839,1549,3249,5027,12,996,502,655,4388
Spring Farm,327,126,997,810,1636,2042,5,346,191,291,2778
Bradbury - Wedderburn,504,171,1381,1329,2831,5664,26,1512,549,1314,4729
Campbelltown - Woodbine,972,266,2576,1635,2770,5906,17,1344,669,1636,4294
Claymore - Eagle Vale - Raby,535,187,1675,1489,2950,5710,21,1343,612,1188,4529
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0
Leumeah - Minto Heights,578,164,1473,1147,2528,4795,19,1189,455,1039,3349
Minto - St Andrews,1065,179,2348,1386,2377,5701,16,1300,682,1379,4912
Rosemeadow - Glen Alpine,526,215,1725,1474,3014,6146,22,1556,649,1504,4319
Denham Court - Bardia,1157,192,2624,1157,1358,2876,4,479,387,590,4051
Glenfield,905,137,1713,789,987,2256,8,499,277,766,2205
Ingleburn,938,179,2197,1206,1891,4381,13,969,545,1012,3387
Macquarie Fields,686,133,1471,827,1512,3731,22,1053,411,1120,3229
Bargo,89,71,361,397,1239,1591,6,495,149,357,1185
Douglas Park - Appin,261,117,996,911,2155,2477,8,562,257,683,2675
Picton - Tahmoor - Buxton,441,244,1378,1415,3880,4657,14,1289,503,1167,3998
The Oaks - Oakdale,254,93,772,716,1957,2449,4,667,261,587,2044
Blackheath - Megalong Valley,525,181,1071,574,724,1132,3,214,176,372,802
Blaxland - Warrimoo - Lapstone,1399,629,3278,1735,2571,3777,13,719,536,542,3795
Blue Mountains - North,0,0,4,0,3,0,0,0,0,0,0
Katoomba - Leura,1158,415,2328,1320,1683,2911,8,589,378,821,1730
Lawson - Hazelbrook - Linden,777,361,1750,1107,1789,2421,9,478,273,429,2043
Springwood - Winmalee,1369,636,3242,2114,3363,4535,12,970,655,891,4174
Wentworth Falls,565,203,1117,602,791,1208,0,278,160,437,1075
Blue Mountains - South,0,0,0,0,3,0,0,0,0,0,0
Cambridge Park,306,145,994,1039,2909,4599,14,1204,418,979,3402
Emu Plains - Leonay,515,235,1451,1124,2419,3528,10,868,400,706,2670
Glenmore Park - Regentville,753,304,2299,1732,3461,5547,5,1067,510,663,4661
Jamisontown - South Penrith,455,188,1381,1271,3074,4907,12,1257,418,961,3410
Kingswood - Werrington,1193,278,2769,1673,3211,6047,23,1355,645,1871,5557
Mulgoa - Luddenham - Orchard Hills,460,163,1296,910,1833,3015,6,749,342,443,2822
Penrith,794,204,2005,1287,2702,4754,17,1155,441,1923,2677
Warragamba - Silverdale,101,59,395,392,1289,1634,4,406,143,261,1333
Cranebrook - Castlereagh,389,197,1358,1180,3122,4591,6,1074,393,816,3898
Jordan Springs - Llandilo,718,155,1672,1053,1742,2934,7,553,256,490,3800
Richmond - Clarendon,558,216,1351,1264,2551,3842,17,1191,427,1231,2588
Windsor - Bligh Park,375,187,1114,1111,2830,4083,19,1159,369,913,3106
Yarramundi - Londonderry,92,55,366,369,1291,1777,7,646,181,1526,1200
Erskine Park,152,66,631,488,1126,1981,3,357,173,297,1215
St Clair,460,151,1750,1388,3214,5871,15,1309,588,1030,4167
Colyton - Oxley Park,293,92,957,727,1763,3804,15,1015,395,980,2992
St Marys - North St Marys,473,114,1311,983,2178,4823,22,1358,455,1910,3684
Rookwood Cemetery,0,0,0,0,0,4,0,0,0,0,0
Auburn - Central,1214,149,2436,1431,911,5105,12,1616,1259,1993,3357
Auburn - North,934,113,1548,1009,445,2647,4,799,617,929,1541
Auburn - South,336,63,968,533,525,2487,8,780,517,756,1896
Berala,336,65,1226,576,607,2503,8,796,497,654,1342
Lidcombe,1410,265,4158,1982,1292,5431,3,1238,960,1547,2915
Regents Park,206,46,689,355,390,1472,3,438,281,338,923
Silverwater - Newington,812,156,1799,646,512,1541,0,235,232,1589,1727
Wentworth Point - Sydney Olympic Park,3592,391,5697,1866,1083,3056,4,272,470,1166,2807
Ermington - Rydalmere,1691,368,4361,2026,2394,5678,14,1134,798,1498,4689
Oatlands - Dundas Valley,1527,295,3502,1426,1481,4164,7,880,591,1110,3528
Carlingford - East,1285,245,2628,927,714,2337,4,457,369,458,2208
Carlingford - West,2208,373,4273,1524,1162,3720,5,659,525,718,4080
Chester Hill - Sefton,564,139,1925,1243,1623,5870,12,1680,987,2264,4528
Fairfield - East,310,90,1285,899,1258,4612,16,1518,980,1696,3080
Granville - Clyde,1428,216,3257,1866,1579,5974,15,1485,1170,2048,4209
Guildford - South Granville,634,133,1947,1333,1672,5929,17,1799,1209,2314,5393
Guildford West - Merrylands West,702,177,2309,1634,2041,6232,25,1717,1178,1865,5045
Smithfield Industrial,0,0,0,0,4,4,0,3,0,0,0
Yennora Industrial,0,0,0,0,0,3,0,0,0,4,0
Greystanes - South,563,183,1776,1263,2100,4465,18,1212,610,910,3536
