sa2,"Northern European Languages, nfd",Celtic,English,German and Related Languages,Dutch and Related Languages,Scandinavian,Finnish and Related Languages,"Southern European Languages, nfd",French,Greek,Iberian Romance,Italian,Maltese,Other Southern European Languages,"Eastern European Languages, nfd",Baltic,Hungarian,East Slavic,South Slavic,West Slavic,Other Eastern European Languages,"Southwest and Central Asian Languages, nfd",Iranic,Middle Eastern Semitic Languages,Turkic,Other Southwest and Central Asian Languages,"Southern Asian Languages, nfd",Dravidian,Indo-Aryan,Other Southern Asian Languages,"Southeast Asian Languages, nfd",Burmese and Related Languages,Hmong-Mien,Mon-Khmer,Tai,Southeast Asian Austronesian Languages,Other Southeast Asian Languages,"Eastern Asian Languages, nfd",Chinese,Japanese,Korean,Other Eastern Asian Languages,"Australian Indigenous Languages, nfd",Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,"Other Languages, nfd",American Languages,African Languages,Pacific Austronesian Languages,Oceanian Pidgins and Creoles,Papua New Guinea Languages,Invented Languages,Sign Languages,Supplementary codes,Not stated
Rosehill - Harris Park,0,0,1970,0,5,0,3,0,9,51,57,20,0,0,0,0,10,12,32,13,5,0,145,569,40,11,7,788,3434,3,0,10,0,67,25,217,0,0,698,13,51,0,0,0,0,0,0,0,0,0,0,0,0,0,40,66,0,3,0,4,35,600
Pennant Hills - Cheltenham,0,4,13715,56,87,34,8,0,52,46,148,85,6,0,0,26,8,131,43,39,11,0,202,239,35,33,6,437,1040,5,0,23,0,130,49,198,0,0,3459,68,603,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14,0,0,0,12,33,617
Epping (East) - North Epping,0,0,5949,31,37,14,0,0,34,44,101,64,0,0,0,4,22,37,17,16,3,0,101,68,6,30,3,625,1178,0,0,20,0,110,60,239,0,0,4041,58,1004,3,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,3,36,417
Epping (NSW) - West,0,0,5814,27,8,4,4,0,35,42,139,63,0,0,0,7,3,54,46,35,3,0,183,87,28,32,3,691,1451,0,0,18,0,135,52,321,0,0,6872,78,1815,3,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,4,0,3,48,552
Gladesville - Huntleys Point,0,0,10887,37,29,7,0,0,75,355,293,465,17,0,0,4,17,49,162,81,12,0,108,163,30,63,0,61,257,0,0,3,0,49,85,170,0,0,1124,62,132,4,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,3,0,0,25,584
Hunters Hill - Woolwich,0,5,7349,26,30,17,6,0,33,189,66,152,0,0,0,10,8,26,71,31,0,0,53,131,16,42,0,10,94,0,0,0,0,43,5,58,0,0,539,9,58,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,11,724
Macquarie Park - Marsfield,0,0,9141,69,44,20,16,0,88,66,333,265,6,0,0,9,26,148,91,74,20,0,469,290,40,216,11,528,1791,0,0,41,0,315,139,925,0,0,6193,196,883,71,0,0,0,0,0,0,0,0,0,3,0,3,63,30,0,3,0,6,75,1107
North Ryde - East Ryde,0,8,8207,48,20,7,5,0,31,112,231,206,6,0,0,4,21,89,149,31,7,0,240,237,26,418,6,200,620,0,0,12,0,145,71,419,0,0,2541,132,515,3,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,32,777
West Ryde - Meadowbank,0,7,8540,64,23,20,6,0,50,111,291,219,4,0,0,4,17,100,146,77,19,0,295,495,65,158,3,525,1233,6,0,28,0,200,135,702,0,0,3969,148,1506,41,0,0,0,0,0,0,0,0,0,0,0,0,33,45,0,4,0,3,60,748
Putney,0,0,2745,5,0,0,0,0,13,125,55,138,4,0,0,0,0,15,42,8,0,0,29,149,16,14,0,27,46,0,0,0,0,60,10,30,0,0,451,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,122
Denistone,0,0,3637,13,13,8,0,0,22,55,45,127,0,0,0,0,6,25,38,13,4,0,37,106,3,51,6,96,119,0,0,6,0,32,19,89,0,0,1871,15,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,15,176
Eastwood,0,5,5702,25,8,10,3,0,15,50,106,131,0,0,0,0,4,34,58,28,11,0,86,153,14,141,4,363,598,0,0,22,0,175,105,392,0,0,8270,74,1571,3,0,0,0,0,0,0,0,0,0,0,0,0,19,11,3,0,0,0,53,729
Ryde - North,0,0,10072,44,29,7,8,0,47,258,356,577,20,0,0,0,18,93,283,59,15,0,426,533,52,797,0,180,755,0,0,26,0,115,112,712,0,0,3069,118,538,20,0,0,0,0,0,0,0,0,0,0,0,0,29,42,0,3,0,19,36,820
Ryde - South,0,0,4750,15,10,9,4,0,31,102,287,191,10,0,0,7,4,101,87,37,4,0,380,260,48,94,3,181,666,0,0,18,0,80,66,280,0,0,2669,68,683,124,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,7,51,606
Ashcroft - Busby - Miller,0,0,6740,10,8,0,0,0,14,67,328,60,15,0,0,0,0,10,247,32,11,0,90,3879,60,21,12,19,523,0,0,7,0,2538,172,204,0,0,199,7,8,0,3,0,0,0,0,0,0,0,0,0,0,0,90,657,0,0,0,18,55,1869
Austral - Greendale,0,0,5800,10,5,0,0,0,11,73,171,546,196,0,0,0,13,15,319,28,13,0,61,1586,97,0,3,99,1128,4,0,5,5,317,77,198,0,0,446,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,45,127,0,0,0,11,41,1062
Badgerys Creek,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecil Hills,0,0,2617,3,5,0,0,0,7,54,226,187,39,0,0,0,7,0,441,27,3,0,56,1257,50,7,4,25,198,0,0,0,0,695,129,195,0,0,284,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,61,0,0,0,5,13,299
Green Valley,0,0,3547,4,6,0,3,0,24,76,537,233,25,0,0,0,4,16,562,35,14,0,124,2192,77,17,5,28,893,0,0,13,13,2221,429,234,0,0,623,5,11,0,0,0,0,0,0,0,0,0,0,6,0,0,57,148,0,6,0,5,30,705
Hinchinbrook,0,0,4435,4,3,5,0,0,31,76,506,220,19,0,0,0,6,13,626,30,4,0,88,2984,110,9,18,42,748,0,0,14,0,1213,223,277,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,229,0,0,0,14,45,635
Hoxton Park - Carnes Hill - Horningsea Park,0,0,5118,7,0,0,0,0,23,116,468,217,32,0,0,0,0,7,640,35,19,0,106,2279,135,19,8,131,1154,0,0,0,5,834,138,365,0,0,345,3,7,0,5,0,0,0,0,4,0,0,0,4,0,0,108,230,0,0,0,0,52,636
West Hoxton - Middleton Grange,0,0,7541,3,7,5,0,0,27,129,515,404,36,0,0,0,14,16,863,47,26,0,143,3277,106,34,17,112,1065,0,0,0,0,841,178,323,0,0,354,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,84,170,0,0,0,8,51,799
Cobbitty - Bringelly,0,0,3876,11,18,0,0,0,3,16,56,65,37,0,0,0,4,20,54,18,0,0,6,110,5,0,0,0,54,0,0,0,0,24,5,27,0,0,49,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,0,0,0,14,218
Gledswood Hills - Gregory Hills,0,0,8716,11,9,5,6,0,34,99,370,207,15,0,0,0,3,17,400,27,12,0,94,867,30,0,9,245,1312,7,0,0,0,160,78,384,0,0,189,3,13,5,0,0,0,0,0,0,0,0,0,6,0,0,171,191,0,0,0,6,67,537
Leppington - Catherine Field,0,0,6469,21,14,4,6,0,18,88,251,281,96,0,0,0,6,11,436,34,3,0,56,979,92,0,4,235,1552,0,0,0,13,243,54,317,0,0,446,3,25,3,6,0,0,0,0,0,0,0,0,3,0,0,117,141,0,0,0,0,29,505
Oran Park,0,4,9946,14,47,4,0,0,29,108,460,215,31,0,0,0,8,19,365,32,3,0,137,1004,63,16,15,527,2402,0,0,9,0,174,64,337,0,0,266,8,19,7,0,0,0,0,0,0,0,0,0,10,0,0,219,182,0,6,0,11,58,818
Bonnyrigg Heights - Bonnyrigg,0,0,4234,6,0,0,0,0,43,78,451,258,30,0,0,0,6,3,907,34,3,0,78,2558,86,48,9,26,338,0,0,13,14,4849,503,204,0,0,1047,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,28,241,0,0,0,0,37,990
Bossley Park - Abbotsbury,0,0,6750,13,4,0,4,0,21,185,789,937,137,0,0,0,6,51,826,37,9,0,72,5896,172,148,5,13,165,0,0,9,8,1084,128,309,0,0,585,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,80,0,0,0,5,49,1187
Cabramatta - Lansvale,0,0,3600,14,4,0,6,0,13,43,210,101,10,0,0,0,3,52,427,53,0,0,36,466,51,9,0,23,149,4,0,50,5,11752,582,247,0,0,3873,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,56,431,0,0,0,3,35,1758
Cabramatta West - Mount Pritchard,0,0,4948,20,0,6,3,0,17,111,275,350,22,0,0,0,6,18,834,57,15,0,65,1486,85,21,0,13,135,0,0,3,0,6343,232,141,0,0,1172,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,54,449,0,0,0,8,43,1301
Canley Vale - Canley Heights,0,0,3800,18,0,4,0,0,26,20,303,134,18,0,0,0,11,54,375,51,3,0,45,1543,36,26,0,30,97,0,0,20,0,10109,353,185,0,0,2984,6,21,6,0,0,0,0,3,0,0,0,0,0,0,0,73,354,0,0,0,9,52,1475
Edensor Park,0,0,2884,3,0,0,0,0,5,49,239,339,31,0,0,0,10,8,588,29,6,0,70,2952,48,65,5,0,107,0,0,0,0,1302,253,123,0,0,409,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113,0,0,0,0,31,602
Fairfield,0,0,2885,15,3,0,5,0,10,29,442,173,33,0,0,0,7,15,659,31,18,0,145,6965,116,65,0,26,295,0,0,52,0,2553,110,306,0,0,1246,0,18,0,5,0,0,0,0,0,0,0,0,0,0,0,78,299,0,0,0,3,65,1559
Fairfield - West,0,0,4332,11,0,4,0,0,26,91,560,250,61,0,0,0,11,21,682,50,6,0,164,7397,110,112,0,11,131,0,0,9,0,3988,137,193,0,0,922,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43,215,0,0,0,6,65,1620
Greenfield Park - Prairiewood,0,0,1946,3,4,0,0,0,4,41,329,204,37,0,0,0,0,17,369,26,10,0,35,3138,82,33,0,16,45,0,0,4,0,1284,98,114,0,0,383,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,21,543
Horsley Park - Kemps Creek,0,0,2421,9,3,0,0,0,0,20,45,403,186,0,0,0,7,0,201,11,3,0,27,446,18,6,0,3,54,0,0,6,0,81,12,7,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,9,261
Smithfield - Wetherill Park,0,0,6179,24,10,4,0,0,35,132,775,619,166,0,0,0,14,20,632,42,5,0,196,5960,192,137,8,23,199,0,0,17,0,1752,65,197,0,0,544,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,37,263,0,0,0,4,60,1171
St Johns Park - Wakeley,0,0,2355,8,0,0,0,0,5,56,342,212,33,0,0,0,10,16,921,29,0,0,9,2043,47,97,0,6,56,0,0,0,0,2873,167,128,0,0,1128,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,11,101,0,0,0,4,15,507
Wetherill Park Industrial,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Casula,0,0,6298,21,11,0,0,0,26,391,370,338,17,0,0,0,18,28,868,153,22,0,141,2981,184,4,12,203,1304,0,0,8,7,652,69,409,0,0,475,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,191,326,0,0,0,3,63,961
Chipping Norton - Moorebank,0,0,11072,23,13,0,0,0,39,949,354,387,41,0,0,0,9,62,474,70,17,0,41,2231,116,9,15,192,848,4,0,17,0,1404,68,361,0,0,741,10,43,4,0,0,0,0,0,0,0,0,0,0,0,0,64,188,0,0,0,8,56,898
Holsworthy - Wattle Grove,0,5,13426,33,40,7,0,0,67,314,396,140,15,4,0,0,15,87,262,56,24,0,13,1030,64,6,3,808,1328,0,0,0,0,279,62,562,0,0,651,46,58,0,0,0,0,0,0,0,0,0,0,0,0,0,42,135,0,0,0,17,63,1078
