sa2,"Northern European Languages, nfd",Celtic,English,German and Related Languages,Dutch and Related Languages,Scandinavian,Finnish and Related Languages,"Southern European Languages, nfd",French,Greek,Iberian Romance,Italian,Maltese,Other Southern European Languages,"Eastern European Languages, nfd",Baltic,Hungarian,East Slavic,South Slavic,West Slavic,Other Eastern European Languages,"Southwest and Central Asian Languages, nfd",Iranic,Middle Eastern Semitic Languages,Turkic,Other Southwest and Central Asian Languages,"Southern Asian Languages, nfd",Dravidian,Indo-Aryan,Other Southern Asian Languages,"Southeast Asian Languages, nfd",Burmese and Related Languages,Hmong-Mien,Mon-Khmer,Tai,Southeast Asian Austronesian Languages,Other Southeast Asian Languages,"Eastern Asian Languages, nfd",Chinese,Japanese,Korean,Other Eastern Asian Languages,"Australian Indigenous Languages, nfd",Arnhem Land and Daly River Region Languages,Yolngu Matha,Cape York Peninsula Languages,Torres Strait Island Languages,Northern Desert Fringe Area Languages,Arandic,Western Desert Languages,Kimberley Area Languages,Other Australian Indigenous Languages,"Other Languages, nfd",American Languages,African Languages,Pacific Austronesian Languages,Oceanian Pidgins and Creoles,Papua New Guinea Languages,Invented Languages,Sign Languages,Supplementary codes,Not stated
Far West,0,0,1845,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,3,407
Coonabarabran,0,0,6608,22,15,0,4,0,5,8,8,13,0,0,0,0,0,0,0,5,0,0,0,4,0,0,4,3,18,0,0,0,0,3,8,23,0,0,11,5,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7,8,1121
Dubbo - East,0,0,8891,6,5,4,3,0,4,8,11,14,0,0,0,0,0,5,3,0,0,0,11,21,0,0,0,61,369,3,0,0,0,6,4,63,0,0,49,5,8,0,4,0,0,0,0,0,0,0,0,42,0,0,25,9,0,0,0,13,29,951
Dubbo - South,0,0,15832,28,29,3,4,0,14,19,33,16,0,0,0,0,0,7,0,12,0,0,22,54,0,0,0,244,1136,0,0,12,0,55,21,155,0,0,142,7,35,0,7,0,0,0,0,0,0,0,0,63,0,0,63,34,4,5,0,17,32,1529
Dubbo - West,0,3,8584,3,30,4,0,0,6,5,18,6,4,0,0,0,5,5,7,4,0,0,5,19,0,0,0,36,312,0,0,0,0,11,21,87,0,0,90,0,11,0,0,0,0,0,0,0,0,0,0,29,0,0,46,24,0,4,0,8,17,931
Dubbo Surrounds,0,0,5362,7,4,0,0,0,0,8,5,0,0,0,0,8,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,549
Gilgandra,0,0,3817,5,8,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,3,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,514
Narromine,0,3,5455,7,10,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,8,20,0,0,0,0,0,5,11,0,0,11,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,13,0,885
Wellington,0,0,6876,3,6,0,0,0,4,4,57,11,0,0,0,0,0,0,0,4,0,0,6,3,6,0,0,13,23,0,0,0,0,0,5,36,0,0,19,0,6,0,0,0,0,0,0,0,0,0,0,24,0,0,3,0,0,0,0,6,4,1635
Branxton - Greta - Pokolbin,0,0,11824,21,43,4,5,0,18,5,26,29,8,0,0,0,8,8,5,8,0,0,0,16,6,0,0,18,53,0,0,0,0,45,19,31,0,0,42,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,13,0,0,0,6,12,486
Cessnock,0,0,20213,14,23,5,0,0,11,4,39,13,4,0,0,0,0,15,13,13,4,0,6,13,0,0,0,20,83,0,0,0,0,22,78,63,0,0,75,8,7,0,4,0,0,0,0,0,0,0,0,8,0,0,5,31,0,0,0,16,19,2660
Cessnock Surrounds,0,0,8479,15,24,8,0,0,13,6,14,7,0,0,0,0,4,0,4,9,0,0,0,0,3,0,0,14,5,0,0,0,0,0,3,14,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,8,0,480
Dungog,0,0,9027,9,9,0,0,0,19,0,6,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,417
Kurri Kurri - Abermain,0,0,19132,19,16,0,0,0,10,7,25,7,3,0,0,7,0,3,12,6,0,0,3,17,0,0,0,26,79,0,0,0,0,17,26,101,0,0,21,0,12,0,15,0,0,0,0,0,0,0,0,11,0,0,14,15,0,3,0,17,25,980
Singleton,0,0,15368,11,82,0,0,0,13,6,32,9,0,0,0,0,3,16,3,4,0,0,0,7,0,0,0,18,97,0,0,4,0,44,43,139,0,0,71,3,4,0,0,0,0,0,0,0,0,0,0,7,0,0,13,29,4,3,0,4,19,943
Singleton Surrounds,0,0,4787,6,21,0,0,0,3,0,5,0,6,0,0,0,0,0,9,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,446
Maitland,0,3,7764,13,23,7,0,0,9,8,8,4,0,0,0,0,0,0,13,8,0,0,3,35,0,0,6,42,120,0,0,0,0,15,13,54,0,0,34,0,14,0,0,0,0,0,3,0,0,0,0,3,0,0,13,10,0,0,0,22,14,352
Maitland - North,0,0,8213,16,29,15,0,0,4,11,19,8,3,0,0,0,0,4,0,10,4,0,0,25,0,0,0,9,15,0,0,0,0,7,10,16,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,17,262
East Maitland - Metford,0,0,15963,15,19,0,8,0,10,19,85,17,0,0,0,0,3,26,19,15,0,0,19,52,11,0,0,79,226,0,0,0,0,37,38,131,0,0,206,5,13,0,4,0,0,0,0,0,0,0,0,10,0,0,41,57,0,0,0,17,39,791
Rutherford (North) - Aberglasslyn,0,0,15988,10,78,3,0,0,10,9,45,18,0,0,0,0,0,5,32,20,5,0,4,32,0,0,0,121,190,0,0,0,0,31,27,116,0,0,52,6,20,5,0,0,0,0,3,0,0,0,0,12,0,0,71,36,0,0,0,12,25,748
Rutherford (South) - Telarah,0,0,7196,9,6,0,0,0,6,9,13,7,0,0,0,0,0,0,4,8,0,0,0,12,0,4,0,8,83,0,0,0,0,5,6,39,0,0,26,5,0,0,0,0,0,5,7,0,0,0,0,8,0,0,21,17,0,0,0,4,14,447
Tenambit - East Maitland,0,5,9426,13,9,9,0,0,15,8,17,10,4,0,0,0,0,0,0,8,0,0,0,12,0,0,0,13,15,0,0,0,0,8,19,26,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,11,23,0,0,0,12,11,370
Thornton - Millers Forest,0,0,14236,17,80,3,3,0,9,5,41,25,0,0,0,0,3,12,15,22,3,0,18,19,7,0,0,224,273,0,0,0,0,40,17,101,0,0,119,8,61,0,0,0,0,0,0,0,0,0,0,11,0,0,53,42,0,3,0,12,26,400
Anna Bay,0,0,5903,15,20,9,0,0,8,3,15,26,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,12,0,0,0,0,6,7,12,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,366
Lemon Tree Passage - Tanilba Bay,0,0,6333,36,11,5,0,0,8,0,16,12,4,0,0,0,0,0,14,9,0,0,0,9,0,0,0,0,9,0,0,0,0,0,11,22,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,23,0,0,5,0,0,0,0,5,11,344
Nelson Bay Peninsula,0,4,19565,53,55,14,3,0,74,105,103,99,17,0,0,0,5,33,83,35,0,0,0,31,21,3,0,40,123,0,0,0,0,27,68,73,0,0,83,28,11,5,3,0,0,0,0,0,0,0,0,9,0,0,13,21,0,0,0,15,23,1127
Raymond Terrace,0,0,13101,11,21,3,3,0,9,8,34,12,0,0,0,0,5,5,18,18,0,0,0,13,0,0,0,4,70,0,0,0,0,24,29,100,0,0,47,4,5,4,3,0,0,0,0,0,0,0,0,12,0,0,12,31,0,0,0,17,15,933
Seaham - Woodville,0,0,5376,6,15,0,0,0,4,10,7,4,3,0,0,0,3,0,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,14,4,202
Tea Gardens - Hawks Nest,0,0,5171,23,6,6,0,0,11,17,11,6,0,0,0,0,0,0,4,22,0,0,0,3,0,0,0,11,26,0,0,0,0,4,8,13,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,419
Williamtown - Medowie - Karuah,0,0,13908,14,64,4,0,0,10,16,31,22,10,0,0,0,10,10,26,8,0,0,5,13,0,0,0,11,32,0,0,0,0,16,18,33,0,0,52,4,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,30,18,613
Muswellbrook,0,0,10665,3,22,9,0,0,0,8,33,7,0,4,0,5,0,3,11,5,0,0,0,18,0,0,4,46,108,0,0,5,0,10,35,101,0,0,65,10,6,0,5,0,0,0,0,0,0,0,0,9,0,0,36,15,0,0,0,10,19,1010
Muswellbrook Surrounds,0,0,3736,10,10,0,0,0,3,0,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,282
Scone,0,0,5292,11,8,4,0,0,6,3,30,7,0,0,0,0,0,13,0,5,0,0,0,4,0,0,0,20,16,0,0,0,0,3,5,56,0,0,118,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,23,18,0,4,28,341
Scone Surrounds,0,0,7436,13,20,11,3,0,12,0,7,8,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,15,39,0,0,0,0,13,0,14,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,574
Dapto - Avondale,0,3,21450,51,28,0,9,0,24,80,236,126,54,0,0,0,6,17,327,28,8,0,17,69,49,0,0,35,86,0,0,6,0,75,34,141,0,0,89,17,19,0,3,0,0,0,0,0,0,0,0,13,0,0,43,46,0,0,0,19,17,970
Horsley - Kembla Grange,0,5,10341,17,19,0,0,0,0,54,91,99,22,0,0,0,0,16,365,32,13,0,13,36,18,0,0,228,111,0,0,11,0,18,23,81,0,0,147,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,11,11,299
Port Kembla Industrial,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,0,0,12378,25,16,5,6,0,18,117,198,223,22,0,0,7,13,17,737,26,11,0,33,218,42,0,0,73,113,0,0,7,0,37,33,81,0,0,131,3,13,0,0,0,0,0,0,0,0,0,0,8,0,0,19,12,0,0,0,23,20,589
Berkeley - Lake Heights - Cringila,0,0,9438,44,14,0,3,0,10,79,412,193,72,0,0,0,3,0,1135,45,133,0,35,919,169,0,0,14,88,0,0,52,0,123,27,92,0,0,71,3,27,0,0,0,0,0,0,0,0,0,0,9,0,0,83,78,0,0,0,6,39,779
Port Kembla - Warrawong,0,0,6222,11,14,11,0,0,8,125,328,398,47,0,0,0,5,0,1140,24,13,0,0,133,96,0,0,8,66,0,0,33,0,79,27,59,0,0,36,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,97,52,0,0,0,7,17,668
Windang - Primbee,0,0,3624,10,5,0,5,0,4,59,48,47,11,0,0,0,0,4,79,9,0,0,4,18,0,0,0,0,9,0,0,0,0,10,5,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,8,249
Illawarra Catchment Reserve,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,0,0,17112,49,31,4,8,0,18,45,176,69,41,0,0,0,8,3,179,18,0,0,10,48,29,3,0,102,86,0,0,0,0,24,36,94,0,0,63,5,7,0,3,0,0,0,0,0,0,0,0,0,0,0,24,23,0,0,0,17,23,662
Albion Park Rail,0,0,6161,26,13,6,0,0,0,20,56,19,25,0,0,0,15,4,54,10,0,0,0,9,16,0,0,8,28,0,0,0,0,19,9,46,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,10,327
Kiama,0,7,7814,30,25,19,7,0,21,38,52,31,15,0,0,0,0,12,31,6,0,0,4,16,3,0,0,0,18,0,0,0,0,14,26,21,0,0,68,12,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,9,12,468
Kiama Downs - Minnamurra,0,0,5601,16,13,4,5,0,13,9,8,25,0,0,0,0,0,0,33,6,0,0,0,11,0,0,0,4,6,0,0,0,0,6,3,6,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,6,230
Kiama Hinterland - Gerringong,0,0,7496,30,13,3,7,0,31,11,37,36,5,0,0,0,0,0,16,11,4,0,3,9,0,0,0,5,11,0,0,0,0,6,13,12,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,346
Shellharbour - Flinders,0,3,16258,35,21,7,0,0,25,105,229,115,69,0,0,0,20,23,895,35,15,0,39,124,99,0,0,31,95,0,0,0,0,37,45,58,0,0,92,19,24,0,0,0,0,0,0,0,0,0,0,8,0,0,16,23,0,0,0,7,12,765
Shellharbour - Oak Flats,0,0,8746,57,19,6,4,0,12,63,165,74,14,0,0,0,14,3,410,21,0,0,7,49,52,0,0,17,85,0,0,0,0,59,24,42,0,0,61,5,6,0,0,0,0,0,0,0,0,0,0,4,0,0,10,6,0,0,0,15,12,527
Warilla,0,0,16873,48,21,6,9,0,12,110,303,143,56,0,0,0,22,15,629,39,0,0,0,95,147,0,0,34,55,0,0,0,0,56,72,106,0,0,62,14,9,0,3,0,0,0,0,0,0,0,0,13,0,0,8,34,0,0,0,22,27,1355
Balgownie - Fairy Meadow,0,4,16743,34,50,19,9,0,37,150,256,624,6,0,0,3,10,34,396,32,9,0,57,305,259,0,0,183,288,3,0,23,0,234,65,103,0,0,398,37,23,0,6,0,0,0,0,0,0,0,0,3,0,0,22,61,0,0,0,3,28,988
Corrimal - Tarrawanna - Bellambi,0,3,13373,38,39,18,3,0,35,105,144,293,7,0,0,0,7,27,253,35,0,0,31,146,59,0,0,27,119,4,0,3,0,87,85,101,0,0,77,21,20,0,0,0,0,0,0,0,0,0,0,3,0,0,38,55,0,0,0,17,22,750
Figtree - Keiraville,0,0,17204,48,47,15,6,0,39,258,231,297,14,0,0,0,24,34,887,46,15,0,99,413,67,9,0,265,512,0,0,29,0,96,70,112,0,0,677,37,48,3,0,0,0,0,0,5,0,0,0,4,0,0,59,33,0,0,0,8,32,1017
Helensburgh,0,0,8398,41,34,3,5,0,16,25,47,25,3,0,0,4,0,9,16,27,0,0,5,16,0,0,0,16,9,0,0,0,0,12,10,22,0,0,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,8,314
Thirroul - Austinmer - Coalcliff,0,3,10897,66,41,15,14,0,43,31,114,46,3,0,0,10,9,17,41,22,0,0,6,31,0,0,0,7,17,0,0,0,0,15,20,17,0,0,46,18,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,7,375
Woonona - Bulli - Russell Vale,0,4,18755,77,75,27,14,0,57,56,166,129,0,0,0,9,6,16,74,51,0,0,12,78,11,0,0,18,64,0,0,0,0,46,29,57,0,0,88,14,8,0,0,0,0,0,0,0,0,0,0,6,0,0,25,21,0,0,0,7,28,732
Wollongong - East,0,4,11453,43,22,22,11,0,38,145,247,222,8,0,0,0,5,40,427,48,7,0,77,373,90,3,0,114,449,0,0,60,0,151,93,156,0,0,599,56,61,10,0,0,0,0,0,0,0,0,0,0,0,0,37,34,0,0,0,6,17,878
Wollongong - West,0,0,10915,36,20,10,0,0,23,258,166,181,7,0,0,0,0,26,1113,24,22,0,68,377,98,10,0,260,559,0,0,177,0,162,92,183,0,0,558,25,44,0,0,0,0,0,0,0,0,0,0,5,0,0,109,55,0,0,0,7,32,923
Bulahdelah - Stroud,0,0,4669,9,12,3,0,0,9,0,6,6,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,6,6,462
Forster,0,0,13259,38,23,5,7,0,25,6,28,28,12,0,0,0,0,3,11,15,0,0,4,29,0,4,0,15,90,0,0,0,0,25,20,63,0,0,30,0,12,0,8,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,4,10,905
Forster-Tuncurry Surrounds,0,0,6224,27,18,0,0,0,9,7,10,13,0,0,0,0,0,10,4,11,4,0,8,13,0,0,0,0,13,0,0,0,0,4,4,14,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,577
Tuncurry,0,0,5771,6,0,3,0,0,9,6,19,18,0,0,0,0,0,0,5,9,0,0,3,6,0,0,0,16,29,0,0,0,0,3,8,24,0,0,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384
Kempsey,0,0,13208,26,4,7,3,0,5,3,19,6,5,0,0,0,0,0,0,3,0,0,3,13,0,0,3,43,47,0,0,0,0,5,18,65,0,0,45,0,0,0,22,0,0,0,0,0,0,0,0,86,0,0,6,12,0,0,0,7,4,1978
Kempsey Surrounds,0,0,8415,22,12,3,0,0,11,0,33,9,0,0,0,0,8,4,3,8,0,0,0,0,0,0,0,0,15,0,0,0,0,10,5,26,0,0,47,5,0,0,8,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,7,7,786
Macksville - Scotts Head,0,0,4663,6,5,4,0,0,6,5,0,11,0,0,0,0,0,5,0,6,0,0,0,7,0,0,0,5,53,0,0,0,0,0,5,17,0,0,11,4,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,12,4,328
Nambucca Heads,0,0,6279,9,21,0,6,0,14,5,5,15,0,0,0,0,9,9,0,0,0,0,0,3,0,0,0,18,27,0,0,0,0,7,4,18,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,0,7,8,601
Nambucca Heads Surrounds,0,0,7223,22,5,0,5,0,11,0,15,12,0,0,0,0,0,8,3,15,0,0,0,12,0,0,0,0,48,0,0,4,0,0,10,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,10,6,644
South West Rocks,0,0,5143,17,9,0,0,0,0,5,14,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,3,16,0,0,0,0,3,16,31,0,0,12,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,336
Lord Howe Island,0,0,382,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,34
Laurieton - Bonny Hills,0,0,17330,43,29,14,0,0,17,11,41,16,0,0,0,0,10,0,9,22,0,0,0,7,11,0,0,12,17,0,0,0,0,9,24,25,0,0,34,4,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11,0,0,0,12,13,753
Port Macquarie - West,0,4,18570,41,42,8,8,0,36,14,73,35,6,0,0,3,4,21,18,23,0,0,10,31,18,0,0,138,244,3,0,4,0,56,44,157,0,0,106,15,15,0,0,0,0,0,0,0,0,0,0,40,0,0,27,15,0,0,0,21,39,1265
Port Macquarie Surrounds,0,0,4799,14,13,7,3,0,5,10,9,7,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,380
Wauchope,0,0,11911,18,24,3,5,0,20,3,16,3,7,0,0,0,0,3,3,12,0,0,5,13,0,0,0,10,8,0,0,0,0,3,22,21,0,0,21,0,7,0,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,7,22,610
Port Macquarie - East,0,0,10644,26,34,12,6,0,30,8,50,29,0,0,0,0,4,4,9,8,5,0,11,10,9,6,0,20,100,0,0,0,0,16,21,40,0,0,47,27,21,0,9,0,0,0,0,0,0,0,0,8,0,0,4,7,0,0,0,8,20,519
Port Macquarie - South,0,0,16018,54,66,10,0,0,44,19,46,39,7,0,0,8,4,8,28,27,8,0,5,43,0,0,3,14,47,0,0,3,0,18,21,61,0,0,81,14,18,0,3,0,0,0,0,0,3,0,0,15,0,0,8,5,0,0,0,8,16,520
Gloucester,0,0,4876,4,8,0,0,0,4,0,8,5,0,0,0,0,0,0,0,4,0,0,5,9,0,0,0,3,10,0,0,0,0,0,7,4,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,333
Old Bar - Manning Point - Red Head,0,3,11358,54,24,5,0,0,17,11,29,30,0,0,0,4,0,8,14,9,0,0,6,17,0,0,0,0,43,0,0,4,0,5,13,21,0,0,25,7,8,0,4,0,0,0,0,0,0,0,0,16,0,0,4,3,0,0,0,0,10,710
Taree,0,0,18496,24,27,6,4,0,17,32,25,22,4,0,0,0,0,8,8,4,0,0,4,47,5,0,0,107,153,0,0,9,0,35,30,115,0,0,79,11,8,0,13,0,0,0,0,0,0,0,0,43,0,0,20,6,0,0,0,8,22,1724
Taree Surrounds,0,5,11961,36,18,3,0,0,8,13,27,16,8,0,0,0,0,0,5,6,0,0,3,0,0,4,0,0,13,0,0,0,0,0,22,12,0,0,9,3,8,0,0,0,0,0,0,0,5,0,0,11,0,0,11,3,0,0,0,6,8,828
Wingham,0,0,4907,11,9,0,0,0,10,4,13,3,3,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,5,4,10,0,0,11,3,4,0,0,0,0,0,0,0,0,0,0,9,0,0,4,6,0,0,0,3,0,361
Albury - East,0,0,15904,35,36,16,5,0,26,22,49,33,3,0,0,4,9,14,32,13,0,0,8,30,0,0,4,120,394,0,0,0,0,11,82,92,0,0,118,19,14,0,0,0,0,0,0,0,0,0,0,23,0,0,33,7,0,0,0,11,23,651
Albury - North,0,4,8912,20,19,3,0,0,6,16,21,16,0,0,0,0,0,5,14,5,0,0,0,14,0,0,0,28,392,0,0,0,0,26,34,75,0,0,32,9,7,0,4,0,0,0,0,0,0,0,0,3,0,0,36,7,0,0,0,4,14,779
Albury - South,0,3,9065,38,13,6,0,0,13,66,22,42,5,0,0,5,6,23,19,11,0,0,11,20,0,0,0,48,237,0,0,0,0,16,20,49,0,0,49,19,21,0,11,0,0,0,0,0,5,0,0,6,0,0,28,0,0,0,0,6,16,623
Albury Surrounds,0,0,11284,29,20,0,0,0,7,0,12,9,0,0,0,0,0,4,11,9,0,0,0,12,0,3,0,18,22,0,0,3,0,4,5,20,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,17,0,0,0,14,8,943
Lavington,0,0,12816,26,13,0,0,0,9,27,22,33,0,0,0,0,0,3,32,10,0,0,7,17,7,0,3,44,1010,3,0,0,0,32,51,163,6,0,55,3,5,0,0,0,0,0,0,5,0,3,0,12,0,0,145,20,0,0,0,20,43,1022
Hay,0,0,2434,4,8,5,0,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,350
Wentworth - Buronga,0,0,5508,0,5,0,0,0,7,8,3,49,0,0,0,0,0,0,11,0,8,0,0,4,11,0,0,10,29,0,0,0,0,0,19,17,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,12,22,13,0,0,0,17,743
Wentworth-Balranald Region,0,0,2800,0,4,0,0,0,4,0,11,58,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,14,8,57,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14,0,0,0,9,530
Corowa,0,0,5130,7,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,9,0,0,3,0,6,10,34,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,318
Corowa Surrounds,0,0,6523,5,6,0,0,0,0,0,0,13,0,0,0,0,4,0,3,0,0,0,0,9,0,0,0,8,3,0,0,0,0,3,3,10,0,0,12,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,10,605
Deniliquin,0,0,6160,3,16,3,0,0,9,5,0,14,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,29,49,0,0,0,0,3,5,16,0,0,27,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,4,0,0,0,6,654
Deniliquin Surrounds,0,0,6083,0,9,0,0,0,4,4,12,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,79,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,6,3,579
Moama,0,0,6296,0,5,10,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,51,0,0,0,0,17,8,29,0,0,25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,425
Tocumwal - Finley - Jerilderie,0,3,8519,17,14,0,0,0,3,0,16,33,0,0,0,0,0,7,0,5,0,0,0,26,0,0,0,30,36,0,0,0,0,3,6,34,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,6,8,0,0,0,0,9,958
Armidale,0,7,18828,82,44,13,3,0,69,36,120,23,3,0,0,0,0,22,8,8,0,0,326,139,12,0,3,88,685,31,0,14,0,88,29,160,0,0,235,41,14,0,3,0,0,0,0,0,0,0,0,37,0,0,129,42,7,0,0,11,259,2341
Armidale Surrounds - North,0,0,3815,15,0,0,5,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,7,0,0,31,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,23,4,0,8,3,530
Armidale Surrounds - South,0,0,5417,16,9,6,0,0,9,4,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,6,0,0,16,12,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,328
Walcha,0,0,2759,6,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,4,4,0,0,0,0,0,321
Glen Innes,0,3,7718,10,16,5,0,0,3,0,3,6,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,24,51,0,0,0,0,0,5,14,0,0,18,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,5,4,1006
