"1-digit level FMCF Family Composition","Couple family with no children","Couple family with children","One parent family","Other family","Not applicable","Total",
"Kellyville Ridge - The Ponds",1190,3927,516,29,922,6585,
"Marsden Park - Shanes Park",985,2913,314,44,790,5033,
"Riverstone",1020,2081,615,65,1193,4974,
"Schofields (West) - Colebee",625,1868,236,15,481,3226,
"Schofields - East",1596,4356,794,64,1783,8594,
"Stanhope Gardens - Parklea",779,2089,350,23,723,3967,
"Bidwill - Hebersham - Emerton",1039,1797,1531,128,2309,6811,
"Glendenning - Dean Park",531,1288,385,32,567,2799,
"Hassall Grove - Plumpton",1270,3289,936,79,1411,6988,
"Lethbridge Park - Tregear",1189,2385,1525,111,2617,7824,
"Mount Druitt - Whalan",1264,2850,1305,134,2650,8202,
"Prospect Reservoir",3,0,0,0,22,24,
"Rooty Hill - Minchinbury",1472,3243,1001,81,1803,7607,
"Banksmeadow",70,41,16,7,123,256,
"Botany",1183,1761,522,61,1723,5252,
"Pagewood - Hillsdale - Daceyville",1349,1711,685,100,2501,6354,
"Port Botany Industrial",0,0,0,0,3,9,
"Sydney Airport",0,0,0,0,7,12,
"Eastlakes",760,1098,415,69,1504,3849,
"Mascot",2705,1960,578,233,4048,9522,
"Petersham - Stanmore",2222,1822,573,130,4209,8953,
"Sydenham - Tempe - St Peters",1001,846,296,48,1319,3516,
"Marrickville - North",1343,1207,473,64,2213,5304,
"Marrickville - South",1548,1309,611,105,2879,6450,
"Darlinghurst",1551,354,173,33,3814,5925,
"Erskineville - Alexandria",3165,1424,400,80,4640,9711,
"Glebe - Forest Lodge",2629,1302,661,108,5739,10445,
"Potts Point - Woolloomooloo",2533,485,314,51,7651,11037,
"Surry Hills",2287,583,240,95,5479,8675,
"Camperdown - Darlington",853,439,152,35,1705,3186,
"Chippendale",1033,194,94,98,2828,4251,
"Newtown (NSW)",1841,995,343,72,3869,7125,
"Pyrmont",1876,894,394,79,3046,6293,
"Redfern",1683,713,332,85,4086,6898,
"Rosebery - Beaconsfield",1808,1116,319,87,2464,5794,
"Sydney (North) - Millers Point",1360,356,126,47,2619,4500,
"Sydney (South) - Haymarket",2656,702,345,248,5435,9387,
"Ultimo",808,313,149,81,1992,3341,
"Waterloo",2466,756,443,109,5296,9073,
"Zetland",2167,694,261,125,3411,6657,
"Bondi - Tamarama - Bronte",2156,1898,476,69,3838,8431,
"Bondi Beach - North Bondi",2270,1972,527,74,4521,9375,
"Bondi Junction - Waverly",1986,1742,523,74,3591,7928,
"Centennial Park",0,0,0,0,0,0,
"Dover Heights",1077,1494,393,35,1492,4484,
"Paddington - Moore Park",1737,1282,412,57,3508,6996,
"Rose Bay - Vaucluse - Watsons Bay",1205,1558,360,29,1492,4652,
"Woollahra",874,724,255,41,1450,3346,
