"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Merewether - The Junction",1263,2927,753,912,843,580,208,368,56,34,6551,14506,
"Newcastle - Cooks Hill",1122,2962,660,952,812,476,206,319,54,30,5199,12805,
"Newcastle Port - Kooragang",4,0,4,0,0,0,0,0,0,0,11,31,
"Shortland - Jesmond",291,1049,727,1031,531,720,434,676,46,39,7040,12593,
"Stockton - Fullerton Cove",428,849,555,455,435,238,217,292,33,18,5302,8824,
"Wallsend - Elermore Vale",887,2310,1354,1337,1182,842,623,912,91,57,11357,20958,
"Waratah - North Lambton",616,1804,838,967,777,541,332,553,43,40,6371,12883,
"Wickham - Carrington - Tighes Hill",732,1811,630,753,566,331,165,330,64,21,3763,9171,
"Ballina",796,1486,1050,1155,793,745,330,859,45,57,11309,18629,
"Ballina Surrounds",1331,1799,1182,1083,1000,801,400,924,65,90,9649,18327,
"Bangalow",707,950,398,318,273,264,78,231,32,35,3679,6958,
"Brunswick Heads - Ocean Shores",556,1044,642,570,392,358,125,381,53,38,5000,9170,
"Byron Bay",967,1376,748,753,401,455,125,499,74,61,5449,10914,
"Evans Head",294,367,312,322,215,159,169,335,22,18,3430,5643,
"Lennox Head - Skennars Head",754,1393,625,552,491,444,125,303,30,29,4505,9236,
"Mullumbimby",608,1005,498,464,275,307,136,347,41,31,5171,8896,
"Casino",423,464,595,670,501,435,390,1029,25,38,7729,12298,
"Casino Surrounds",592,327,365,365,313,218,253,507,37,36,4371,7381,
"Goonellabah",602,1200,807,842,843,636,328,737,51,35,7518,13591,
"Kyogle",478,437,380,364,292,200,208,411,32,37,4774,7611,
"Lismore",559,1367,837,1101,685,654,353,992,53,43,8586,15229,
"Lismore Surrounds",1286,1623,959,857,876,592,355,798,66,54,8310,15786,
"Kingscliff - Fingal Head",1024,1663,834,830,790,553,216,577,71,50,8213,14818,
"Murwillumbah",341,632,600,585,417,352,274,500,26,29,5739,9501,
"Murwillumbah Surrounds",736,809,664,516,442,312,260,552,46,54,5962,10352,
"Pottsville",767,1339,991,830,669,486,267,633,56,55,7991,14086,
