sa2,Has arthritis,Does not have arthritis,Not stated
Bankstown - South,914,15483,2037
Greenacre - North,950,12171,1523
Greenacre - South,822,11206,1388
Panania (North) - Milperra,988,9684,667
Panania (South) - Picnic Point,1298,13750,949
Belmore - Belfield,1297,17051,1981
Punchbowl,1255,18115,2177
Roselands,931,12507,1139
Lakemba,798,14554,1744
Wiley Park,437,8629,1065
Campsie - North,503,10466,929
Campsie - South,370,7546,1149
Canterbury - South,615,10418,1190
Earlwood,1408,15373,1193
Kingsgrove - North,444,5423,391
Narwee - Beverly Hills,914,11980,899
Oatley - Hurstville Grove,868,11071,653
Peakhurst - Lugarno,1751,17199,1274
Riverwood,871,9700,1032
South Hurstville - Blakehurst,1343,22330,1580
Hurstville - Central,332,10998,712
Hurstville - North,656,10687,770
Mortdale - Oatley,1004,12893,813
Penshurst,558,8197,778
Kingsgrove (South) - Bardwell Park,889,11337,746
Kogarah,663,11252,1138
Kogarah Bay - Carlton - Allawah,1059,14049,1094
Monterey - Brighton-le-Sands - Kyeemagh,1127,11569,1202
Rockdale - Banksia,1058,17311,1482
Sans Souci - Ramsgate,1491,13882,1292
Arncliffe - Bardwell Valley,882,14073,1621
Bexley - North,741,8552,849
Bexley - South,882,13894,1060
Wolli Creek,151,9791,785
Concord - Mortlake - Cabarita,1827,20002,1277
Drummoyne - Rodd Point,1335,15814,1210
Five Dock - Abbotsford,1631,17859,1440
Concord West - North Strathfield,705,11221,916
Rhodes,199,10635,624
Balmain,971,13565,1046
Lilyfield - Rozelle,881,12053,889
Annandale (NSW),565,8181,712
Leichhardt,1015,15445,1071
Canterbury (North) - Ashbury,775,10520,708
Croydon Park - Enfield,1259,14922,1250
Dulwich Hill - Lewisham,1099,15455,1391
Haberfield - Summer Hill,1037,11745,744
Homebush,511,18803,1507
Strathfield South,223,3217,192
Ashfield - North,608,10184,663
Ashfield - South,895,10658,691
Burwood (NSW),484,14248,1201
Croydon,716,9627,648
Strathfield - East,658,14621,1145
Strathfield - West,570,8149,534
Chatswood (West) - Lane Cove North,998,19185,1109
St Leonards - Naremburn,474,10727,704
Artarmon,408,8474,517
Castle Cove - Northbridge,919,11865,650
Chatswood - East,745,17779,1077
Greenwich - Riverview,825,11468,637
Lane Cove,848,14295,748
Willoughby,799,11515,688
Asquith - Mount Colah,1491,19567,1008
Berowra - Brooklyn - Cowan,1005,10256,524
Normanhurst - Thornleigh - Westleigh,1283,17046,824
Hornsby - East,478,10842,617
Hornsby - West,691,9367,573
Wahroonga (West) - Waitara,674,10543,663
Gordon - Killara,1089,20276,1066
Lindfield - Roseville,1421,22074,1101
Pymble,925,15522,774
St Ives,1493,19384,789
