"sa2_name_2021","pop_2021","in_wslhd_2021","in_metro_2021","pop2011_as21","abs_change","growth_rate"
"Lennox Head - Skennars Head",9236,0,0,7341,1895,0.258139218090178
"Mullumbimby",8896,0,0,7334,1562,0.212980638123807
"Casino",12298,0,0,11836.890384,461.109616,0.0389553000020415
"Casino Surrounds",7381,0,0,6892.109616,488.890383999999,0.0709347951844879
"Goonellabah",13591,0,0,12716,875,0.0688109468386285
"Kyogle",7611,0,0,7508,103,0.0137187000532765
"Lismore",15229,0,0,15565,-336,-0.0215868936716993
"Lismore Surrounds",15786,0,0,14771.526734,1014.473266,0.068677617707922
"Kingscliff - Fingal Head",14818,0,0,10927,3891,0.356090418230072
"Murwillumbah",9501,0,0,8240.2775224,1260.7224776,0.152995147817887
"Murwillumbah Surrounds",10352,0,0,9546.7224776,805.2775224,0.0843512026550962
"Pottsville",14086,0,0,12138,1948,0.160487724501565
"Tweed Heads",20563,0,0,18193,2370,0.130269884021327
"Banora Point",16320,0,0,15046.250019,1273.749981,0.0846556437246187
"Terranora - North Tumbulgum",3324,0,0,3100.6290965,223.3709035,0.0720405106667358
"Tweed Heads South",8423,0,0,7904.1208845,518.8791155,0.0656466573679969
"Griffith (NSW)",20569,0,0,17901,2668,0.149041952963522
"Griffith Surrounds",12760,0,0,12684,76,0.00599180069378745
"Leeton",10330,0,0,9889,441,0.0445950045505107
"Narrandera",5905,0,0,6123,-218,-0.0356034623550547
"Tumbarumba",3522,0,0,3388,134,0.0395513577331759
"Tumut",6667,0,0,6295,372,0.0590945194598888
"Tumut Surrounds",4744,0,0,4644,100,0.0215331610680448
"Cootamundra",7705,0,0,7445,260,0.0349227669576897
"Gundagai",3715,0,0,3573.75018,141.24982,0.0395242568410308
"Junee",6351,0,0,5821,530,0.0910496478268339
"Temora",6603,0,0,6326,277,0.0437875434713879
"Wagga Wagga - East",16921,0,0,15910,1011,0.0635449402891263
"Wagga Wagga - North",5605,0,0,3492.699877,2112.300123,0.604775731493519
"Wagga Wagga - South",22522,0,0,20870,1652,0.0791566842357451
"Wagga Wagga - West",11962,0,0,11773,189,0.0160536821540814
"Wagga Wagga Surrounds",17788,0,0,13986.300123,3801.699877,0.27181598017822
"Berry - Kangaroo Valley",9489,0,0,8293.2228692,1195.7771308,0.144187265874762
"Callala Bay - Currarong",3642,0,0,3527,115,0.0326056138361214
"Culburra Beach",5105,0,0,4790,315,0.0657620041753653
"Ettrema - Sassafras - Budawang",62,0,0,39,23,0.58974358974359
"Huskisson - Vincentia",4844,0,0,3821,1023,0.267730960481549
"North Nowra - Bomaderry",16098,0,0,15227.7771308,870.222869200001,0.0571470715472891
"Nowra",22584,0,0,18105,4479,0.247390223695112
"St Georges Basin - Erowal Bay",15259,0,0,12610,2649,0.210071371927042
"Sussex Inlet - Berrara",4694,0,0,4132,562,0.136011616650532
"Tomerong - Wandandian - Woollamia",3708,0,0,3295,413,0.125341426403642
"Ulladulla",17026,0,0,14148,2878,0.203420978230139
"Ulladulla Surrounds",5822,0,0,4642,1180,0.25420077552779
"Bowral",13626,0,1,12151,1475,0.12138918607522
"Hill Top - Colo Vale",6393,0,1,5673,720,0.126916975145426
"Mittagong",10931,0,1,8104,2827,0.348840078973347
"Moss Vale - Berrima",10648,0,1,8935,1713,0.191717963066592
"Robertson - Fitzroy Falls",3829,0,1,3373,456,0.135191224429291
"Southern Highlands",7250,0,1,6148,1102,0.179245283018868
"Baulkham Hills - East",24726,1,1,21349,3377,0.15818071104033
"Baulkham Hills (West) - Bella Vista",21683,1,1,18614.9906925,3068.0093075,0.164813904996262
"Glenhaven",6361,1,1,5831,530,0.0908935002572458
"West Pennant Hills",12683,1,1,12445,238,0.0191241462434713
"Castle Hill - Central",7677,1,1,7212.749814,464.250186,0.0643652140961395
"Castle Hill - East",5670,0,1,5578.6738696,91.3261303999998,0.0163705806316561
"Castle Hill - North",12189,1,1,11368.5840132,820.415986800001,0.0721651866096446
"Castle Hill - South",10419,1,1,8876.6661728,1542.3338272,0.17375147348968
"Castle Hill - West",5183,1,1,5146.13634,36.86366,0.00716336637128428
"Cherrybrook",19082,0,1,18783.3261304,298.673869600003,0.0159010106903597
"Kellyville - East",17709,1,1,14073.4235226007,3635.57647739931,0.258329216878955
"Kellyville - West",11375,1,1,4542.44944489931,6832.55055510069,1.50415555263316
"Dural - Kenthurst - Wisemans Ferry",22479,1,1,20240,2239,0.110622529644269
"Galston - Laughtondale",5436,0,1,5095,341,0.0669283611383709
"Bilpin - Colo - St Albans",2846,0,1,2638,208,0.0788476118271418
"Kurrajong Heights - Ebenezer",22161,0,1,21439,722,0.0336769438873082
"Pitt Town - McGraths Hill",11414,1,1,8982.0277268,2431.9722732,0.270759826975777
"Box Hill - Nelson",10287,1,1,1126.2308012,9160.7691988,8.13400698066435
"North Kellyville",17401,1,1,3785.281603,13615.718397,3.59701597529995
"Rouse Hill - Beaumont Hills",17581,1,1,13289.459869,4291.540131,0.322928107936935
"Blacktown (East) - Kings Park",17032,1,1,15544,1488,0.0957282552753474
"Blacktown (North) - Marayong",20584,1,1,16875,3709,0.219792592592593
"Doonside - Woodcroft",23384,1,1,19505,3879,0.198872084081005
"Lalor Park - Kings Langley",25373,1,1,23968,1405,0.058619826435247
"Blacktown - South",12646,1,1,11594.6932914,1051.3067086,0.0906713685457961
"Blacktown - West",17141,1,1,15018.3067086,2122.6932914,0.141340387607377
"Seven Hills - Prospect",14866,1,1,13071.932917,1794.067083,0.137245738208067
"Toongabbie - West",11578,1,1,9432.392312,2145.607688,0.227472269709386
"Glenwood",15829,1,1,15324,505,0.0329548420777865
"Acacia Gardens",3668,1,1,3681.2809695,-13.2809694999996,-0.00360770329948585
"Quakers Hill",24670,1,1,22129.7190305,2540.2809695,0.114790475468707
"Kellyville Ridge - The Ponds",21058,1,1,14174.7320674,6883.2679326,0.485601272734502
"Marsden Park - Shanes Park",15524,1,1,483.7817104,15040.2182896,31.0888526090919
"Riverstone",13844,1,1,5148.9554272,8695.0445728,1.68870068807886
"Schofields (West) - Colebee",10011,1,1,1986.58098,8024.41902,4.03931130962504
"Schofields - East",25130,1,1,3616.6818824,21513.3181176,5.94835786423216
"Stanhope Gardens - Parklea",13034,1,1,8228.2679326,4805.7320674,0.584051480428818
"Bidwill - Hebersham - Emerton",18536,1,1,18599,-63,-0.00338727888596161
"Glendenning - Dean Park",8374,1,1,8129,245,0.0301390084881289
"Hassall Grove - Plumpton",21414,1,1,19592,1822,0.0929971416904859
"Lethbridge Park - Tregear",21551,1,1,16045,5506,0.343159862885634
"Mount Druitt - Whalan",22918,1,1,21720,1198,0.0551565377532228
"Prospect Reservoir",12,1,1,15,-3,-0.2
"Rooty Hill - Minchinbury",22826,1,1,19627,3199,0.162989759005452
"Banksmeadow",508,0,1,10,498,49.8
"Botany",12960,0,1,8883,4077,0.458966565349544
"Pagewood - Hillsdale - Daceyville",14762,0,1,10590,4172,0.39395656279509
"Port Botany Industrial",6,0,1,0,6,NA
"Sydney Airport",19,0,1,5,14,2.8
"Eastlakes",8941,0,1,7963.2741804,977.725819599999,0.122779374092942
"Mascot",21573,0,1,11902.7258196,9670.2741804,0.812441984043364
"Petersham - Stanmore",19898,0,1,18807,1091,0.05801031530813
"Sydenham - Tempe - St Peters",8278,0,1,7192,1086,0.151001112347052
"Marrickville - North",12317,0,1,10925.5513856,1391.4486144,0.127357289832891
"Marrickville - South",14283,0,1,13685.4486144,597.551385600002,0.0436632661768391
"Darlinghurst",10615,0,1,10060,555,0.055168986083499
"Erskineville - Alexandria",19126,0,1,13896,5230,0.376367299942429
"Glebe - Forest Lodge",20262,0,1,16574,3688,0.222517195607578
"Potts Point - Woolloomooloo",18187,0,1,18040,147,0.00814855875831486
"Surry Hills",15828,0,1,15344,484,0.0315432742440042
"Camperdown - Darlington",8332,0,1,8563.5033974,-231.5033974,-0.0270337251772782
"Chippendale",7803,0,1,6190.9506031,1612.0493969,0.260388024432435
"Newtown (NSW)",14667,0,1,12954.4966026,1712.5033974,0.132193743217803
"Pyrmont",12658,0,1,11147.4867967,1510.5132033,0.135502578370145
"Redfern",13670,0,1,10370.0493969,3299.9506031,0.318219371653763
"Rosebery - Beaconsfield",12290,0,1,5347.1243856,6942.8756144,1.29843166414782
"Sydney (North) - Millers Point",8004,0,1,6369.0789138,1634.9210862,0.256696628873225
"Sydney (South) - Haymarket",19935,0,1,16388.9210862,3546.0789138,0.21637049169673
"Ultimo",7410,0,1,7583.5132033,-173.5132033,-0.0228803192726684
"Waterloo",16379,0,1,9388.5106828,6990.4893172,0.744579151409686
"Zetland",12622,0,1,6353.3649316,6268.6350684,0.986663781458771
"Bondi - Tamarama - Bronte",19055,0,1,17887,1168,0.0652988203723374
"Bondi Beach - North Bondi",20705,0,1,19327,1378,0.0712992187095773
"Bondi Junction - Waverly",17720,0,1,15844,1876,0.118404443322393
"Centennial Park",0,0,1,0,0,NA
"Dover Heights",11122,0,1,10424,698,0.0669608595548734
"Paddington - Moore Park",14793,0,1,14239,554,0.0389072266310836
"Rose Bay - Vaucluse - Watsons Bay",11924,0,1,11713,211,0.0180141722872023
"Woollahra",7454,0,1,7182,272,0.0378724589250905
"Bellevue Hill",14429,0,1,14044.4015013,384.598498699999,0.0273844705069418
"Double Bay - Darling Point",9958,0,1,9884.5984987,73.4015012999989,0.0074258455019344
"Kensington (NSW)",11809,0,1,12775.0450068,-966.045006800001,-0.0756196949823493
"Kingsford",13605,0,1,14098.9549932,-493.954993199999,-0.0350348655938143
"Maroubra - North",9790,0,1,9247.9415172,542.058482800001,0.0586139609330185
"Maroubra - South",11084,0,1,10743.1043822,340.895617799999,0.0317315745684107
"Maroubra - West",9846,0,1,9602.9541006,243.0458994,0.0253094929803751
"Randwick - North",16206,0,1,16153.736599,52.2634010000002,0.0032353753374458
"Randwick - South",12735,0,1,11588.263401,1146.736599,0.0989567253796667
"Coogee - Clovelly",19521,0,1,18550.5413562,970.458643800001,0.0523143031335661
"Malabar - La Perouse",10610,0,1,9639.7608722,970.2391278,0.100649709122771
"Matraville - Chifley",13412,0,1,11473.2391278,1938.7608722,0.168981126480867
"South Coogee",5611,0,1,5120.4586438,490.5413562,0.0958002769525269
"Bass Hill - Georges Hall",23855,0,1,20069,3786,0.188649160396632
"Chullora",1469,0,1,0,1469,NA
"Condell Park",12773,0,1,10186,2587,0.253976045552719
"Padstow",17200,0,1,15631,1569,0.100377455057258
"Revesby",17664,0,1,14870,2794,0.187895090786819
"Yagoona - Birrong",22484,0,1,18953,3531,0.186302959953569
"Bankstown - North",16981,0,1,15391.493761,1589.506239,0.103271733314644
"Bankstown - South",18434,0,1,15443.506239,2990.493761,0.193640855562191
"Greenacre - North",14637,0,1,12846.564486,1790.435514,0.139370764530174
"Greenacre - South",13416,0,1,11464.435514,1951.564486,0.170227699708094
"Panania (North) - Milperra",11340,0,1,9943.172151,1396.827849,0.14048110882396
"Panania (South) - Picnic Point",15994,0,1,14274.827849,1719.172151,0.120433827236693
"Belmore - Belfield",20332,0,1,18619,1713,0.0920027928460175
"Punchbowl",21544,0,1,19199,2345,0.122141778217616
