sa2,Has diabetes (excluding gestational diabetes),Does not have diabetes (excluding gestational diabetes),Not stated
Cronulla - Kurnell - Bundeena,708,21821,1854
Lilli Pilli - Port Hacking - Dolans Bay,104,3069,196
Woolooware - Burraneer,276,8180,487
Heathcote - Waterfall,261,6059,351
Illawong - Alfords Point,505,9553,498
Menai - Lucas Heights - Woronora,860,19085,977
Oyster Bay - Como - Jannali,753,20137,1167
Royal National Park,0,31,18
Sutherland - Kirrawee,1019,20848,1370
Engadine,739,15658,955
Loftus - Yarrawarrah,294,6683,371
Woronora Heights,126,3222,191
Migratory - Offshore - Shipping (NSW),0,0,0
No usual address (NSW),365,7031,3980
