sa2,in_wslhd,pop_size,bachelor_above,adv_diploma,high_school_below,managers_professionals,everyone_else,one_family,multi_family,non_family,neg_nil_income,very_low_income,low_income,middle_income,high_income,very_high_income,employed,unemployed,not_in_labour_force,prop_bachelor_above,prop_adv_diploma,prop_high_school_below,prop_managers_professionals,prop_everyone_else,prop_one_family,prop_multi_family,prop_non_family,prop_neg_nil_income,prop_very_low_income,prop_low_income,prop_middle_income,prop_high_income,prop_very_high_income,prop_employed,prop_unemployed,prop_not_in_labour_force
Manly Vale - Allambie Heights,0,17557,5369,1586,5508,4659,4221,4402,146,1436,77,973,570,1013,423,2622,8989,287,3941,0.391183970856102,0.11555555555555555,0.4013114754098361,0.51783927975992,0.4691563854618206,0.2557518010690216,0.008482454101789449,0.08343016500116197,0.0045016077170418,0.056883952060800935,0.03332358959368606,0.05922244957614733,0.024729611224788072,0.15328851213095587,0.654936247723133,0.020910746812386156,0.28714025500910745
Maroubra - North,0,9796,3471,778,3034,2661,2072,2468,77,1070,72,660,355,675,230,1401,4810,212,2690,0.421698457052606,0.09452071437249424,0.36860648766857,0.5518457071754459,0.4296972210700954,0.26066751161808194,0.008132657372201098,0.11301225179552175,0.00767590618336887,0.07036247334754797,0.037846481876332626,0.07196162046908315,0.024520255863539446,0.14936034115138594,0.5843761389867573,0.025756287206900742,0.32681326691775
Maroubra - South,0,11083,3532,885,3702,2708,2371,2788,49,1722,98,1299,440,815,268,1351,5162,267,3189,0.38262376773913986,0.09587260318492037,0.40103997400065,0.5245012589579702,0.4592291303505714,0.2608044901777362,0.004583723105706267,0.16108512628624883,0.009418548774627583,0.12484382508409418,0.0422873618452667,0.07832772705430081,0.025756847669389717,0.12984142239308025,0.5592026865995017,0.028924276893077673,0.34546636334091646
Maroubra - West,0,9841,3434,833,3241,2374,2592,2547,52,1223,103,755,417,863,280,1199,5081,240,2708,0.4120964838593544,0.0999639985599424,0.3889355574222969,0.46796767198896116,0.5109402720283855,0.26855757064529734,0.005482918599746942,0.12895402783635596,0.01097612958226769,0.08045609548167093,0.04443734015345269,0.09196504688832055,0.029838022165387893,0.12777067348678603,0.609744389775591,0.028801152046081843,0.3249729989199568
Marrickville - North,0,12326,4717,887,3822,3941,2713,2932,78,1809,89,836,514,1011,352,1782,6805,314,2915,0.4456727135298564,0.08380574452003023,0.3611111111111111,0.5781135396802113,0.3979756491125128,0.24694685420702434,0.006569527499368314,0.15236250315842667,0.0075932087705827146,0.07132497227199044,0.04385291357392714,0.0862554389557205,0.03003156727241703,0.1520348093166112,0.6429516250944822,0.029667422524565383,0.27541572184429325
Marrickville - South,0,14287,5167,1094,4802,4138,3366,3325,116,2358,92,1227,759,1366,432,1642,7627,381,3733,0.41379034195563386,0.08761111556018258,0.38455994234003366,0.5424039847948617,0.44121116791191506,0.2436611461234061,0.008500659533929356,0.17279788949142605,0.0068544181195052895,0.09141707644166294,0.05654894948591864,0.10177320816569811,0.03218596334376397,0.12233646252421397,0.6107952270361175,0.03051173220148955,0.29895090894530313
Marsden Park - Shanes Park,1,15520,4960,1050,3940,3278,4169,3791,220,455,34,415,370,1060,588,1812,7593,293,2495,0.45605001838911363,0.0965428466347922,0.3622655388010298,0.43228273770275616,0.5497824080179349,0.24620080529938954,0.014287569814261592,0.029549292115859202,0.0022281931974572383,0.02719706402778688,0.02424798479585818,0.06946719968543155,0.03853463529720165,0.11874959040566223,0.698142699521883,0.026940051489518207,0.229404192717911
Maryland - Fletcher - Minmi,0,16435,2764,1177,7681,2773,5606,4357,114,920,72,909,678,1355,590,1445,8512,393,3345,0.21929546175817202,0.09338305299904792,0.6094097112027927,0.32554590279408313,0.6581357126085936,0.2680735864148157,0.00701408970651572,0.05660493447363563,0.004459585010839269,0.056302260761845774,0.04199442551873645,0.0839269123567668,0.03654382161659957,0.08950139362031588,0.6753411615360203,0.03118057759441447,0.26539193906696285
Mascot,0,21569,8180,2172,6579,5073,6921,5124,173,2807,312,1163,926,1993,729,2560,12270,761,4857,0.42975727645266365,0.11411158978669748,0.345644635914679,0.4133800521512386,0.5639667535853976,0.24982935153583619,0.008434909800097513,0.13686006825938565,0.015485407980941036,0.05772285090331546,0.045959896763946795,0.09891800675004964,0.036182251340083384,0.12705975779233672,0.6446359146789955,0.039981086476830935,0.25517495008931385
Matraville - Chifley,0,13417,2852,1070,5662,2504,3570,3329,127,1155,83,1135,486,792,308,1550,6180,270,3836,0.26206009372415695,0.09831847836074611,0.5202609574565836,0.4049159120310479,0.5772962483829237,0.25383149065955013,0.00968356843309188,0.0880670987418986,0.006435106218018297,0.0879981392463948,0.03768026050550473,0.06140486897193363,0.02387967126686308,0.12017367033648628,0.5678581273545897,0.024809335661122853,0.35247633924469357
