sa2_name_2021,in_wslhd,in_metro,pop_size,bachelor_above,bachelor_below,denominator_edu,unknown_edu,managers_professionals,everyone_else,denominator_occup,unknown_occup,less_md_income,more_md_income,denominator_income,unknown_income,social_housing,non_social_housing,denominator_housing_type,unknown_housing_type,prop_bachelor_above,prop_bachelor_below,prop_managers_professionals,prop_everyone_else,prop_less_md_income,prop_more_md_income,prop_social_housing,prop_non_social_housing
Orange - North,0,0,22895,3928,11750,17434,1761,3895,7335,11393,163,7249,9176,17434,1016,369,7645,8410,390,0.22530687163014798,0.6739704026614661,0.34187659088914246,0.6438163784780128,0.41579671905472065,0.5263278650912011,0.043876337693222356,0.9090368608799049
Orange Surrounds,0,0,11830,1879,6307,9365,1172,2352,3471,5931,105,4093,4486,9365,791,31,4123,4455,293,0.200640683395622,0.6734650293646557,0.39656044511886696,0.5852301466868993,0.4370528563801388,0.4790176187933796,0.006958473625140292,0.9254769921436589
Grafton,0,0,19255,1659,11657,15624,2310,1780,5291,7193,121,8890,5334,15624,1398,400,7179,8135,531,0.10618279569892473,0.7460957501280082,0.24746281106631446,0.7355762546920618,0.5689964157706093,0.34139784946236557,0.049170251997541485,0.8824830977258759
Grafton Surrounds,0,0,16875,1480,9867,14408,3075,1765,4324,6220,141,7837,4301,14408,2272,18,5854,6380,501,0.10272071071626875,0.6848278734036646,0.2837620578778135,0.6951768488745981,0.5439339255968906,0.29851471404775126,0.0028213166144200625,0.9175548589341693
Maclean - Yamba - Iluka,0,0,17533,2172,10797,15066,2094,1878,4200,6204,127,9069,4816,15066,1164,119,7506,8141,495,0.14416567104739147,0.7166467542811629,0.3027079303675048,0.6769825918762089,0.6019514137793708,0.31966016195406877,0.014617368873602751,0.9219997543299349
Bellingen,0,0,6168,1395,2908,4959,652,1081,1455,2589,46,2680,1812,4959,460,38,2244,2469,190,0.2813067150635209,0.5864085501109094,0.4175357280803399,0.5619930475086906,0.5404315386166566,0.36539624924379915,0.01539084649655731,0.9088699878493317
Coffs Harbour - North,0,0,18099,2293,10609,14962,2060,2178,5204,7521,147,8099,5629,14962,1229,435,6690,7621,469,0.1532549124448603,0.7090629594973934,0.28958915037893895,0.6919292647254355,0.5413046384173239,0.37621975671701646,0.05707912347460963,0.877837554126755
Coffs Harbour - South,0,0,11305,1564,6245,9533,1724,1377,3079,4538,81,4900,3376,9533,1262,328,3946,4674,387,0.1640616804783384,0.6550928354138257,0.3034376377258704,0.6784927280740414,0.514003986153362,0.354138256582398,0.07017543859649122,0.844244758237056
Coramba - Nana Glen - Bucca,0,0,3950,541,2223,3208,445,550,1264,1858,44,1594,1333,3208,287,0,1323,1438,112,0.16864089775561097,0.6929551122194514,0.2960172228202368,0.6803013993541442,0.49688279301745636,0.41552369077306733,0,0.9200278164116829
Dorrigo,0,0,3250,428,1874,2779,470,485,736,1247,29,1691,774,2779,315,16,1357,1519,146,0.15401223461676863,0.6743432889528608,0.38893344025661586,0.5902165196471532,0.6084922634041022,0.27851745232097874,0.01053324555628703,0.8933508887425938
