sa2,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable
Concord West - North Strathfield,3204,98,1104,167,355
Rhodes,3190,67,1752,218,655
Balmain,4245,24,2273,279,887
Lilyfield - Rozelle,3695,30,1892,210,640
Annandale (NSW),2339,23,1415,194,472
Leichhardt,4632,45,2173,258,752
Canterbury (North) - Ashbury,3163,96,1313,161,448
Croydon Park - Enfield,4262,170,1824,243,426
Dulwich Hill - Lewisham,4465,62,3118,371,830
Haberfield - Summer Hill,3479,45,1719,140,508
Homebush,5058,117,2472,413,1070
Strathfield South,949,30,299,37,94
Ashfield - North,2660,82,1974,156,560
Ashfield - South,2870,85,1838,164,611
Burwood (NSW),3460,118,2420,336,730
Croydon,2604,164,951,101,273
Strathfield - East,3346,141,2178,302,713
Strathfield - West,2213,123,517,118,227
Chatswood (West) - Lane Cove North,5557,129,2597,281,759
St Leonards - Naremburn,3198,35,2132,246,546
Artarmon,2458,53,1112,138,325
Castle Cove - Northbridge,3598,72,741,114,312
Chatswood - East,4988,149,2160,291,1015
Greenwich - Riverview,3428,58,1098,111,430
Lane Cove,4281,67,1862,152,532
Willoughby,3409,67,1027,104,342
Asquith - Mount Colah,6055,175,1333,143,353
Berowra - Brooklyn - Cowan,3234,80,677,71,259
Normanhurst - Thornleigh - Westleigh,5063,163,1090,104,250
Hornsby - East,3102,97,1755,185,438
Hornsby - West,2775,114,836,81,240
Wahroonga (West) - Waitara,3086,96,1224,161,351
Gordon - Killara,6029,202,1599,179,795
Lindfield - Roseville,6504,203,1629,191,721
Pymble,4612,161,815,119,373
St Ives,5855,219,1224,105,425
Turramurra,5406,146,1420,107,536
Wahroonga (East) - Warrawee,4828,146,955,122,370
Cremorne - Cammeray,5068,44,3284,256,1097
Crows Nest - Waverton,4906,29,3446,252,1070
Neutral Bay - Kirribilli,4198,23,4097,440,1588
North Sydney - Lavender Bay,3306,25,2691,390,1341
Mosman - North,3694,45,1967,220,773
Mosman - South,3829,51,1951,159,715
Balgowlah - Clontarf - Seaforth,5546,94,1406,172,420
Manly - Fairlight,5889,37,3452,394,1606
Avalon - Palm Beach,3479,106,1032,254,863
