"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Revesby",7,2694,116,5,4,237,0,3249,536,198,10,0,797,1164,176,111,1930,5,21,100,0,1064,457,0,2191,130,0,979,23,11,23,147,3,0,0,28,125,30,46,1068,17664,
"Yagoona - Birrong",30,2395,86,0,0,378,0,2218,272,152,11,7,533,1255,181,196,5182,0,29,190,3,3292,461,0,1799,160,0,869,109,4,16,99,3,0,0,53,155,86,116,2120,22484,
"Bankstown - North",10,1336,52,0,0,254,0,1161,79,72,0,4,365,830,126,109,2980,8,31,162,16,2216,567,0,1841,166,0,2258,79,5,5,102,6,5,0,127,106,65,205,1636,16981,
"Bankstown - South",8,1357,58,0,3,262,0,1096,77,79,8,8,326,1003,135,138,3061,0,23,116,4,3914,455,0,1800,123,0,1676,73,5,4,96,9,0,0,54,130,56,148,2132,18434,
"Greenacre - North",12,1757,46,0,0,205,0,1269,140,78,4,0,753,480,70,184,4826,0,20,128,0,327,334,0,655,396,0,1215,44,4,10,78,0,0,0,18,82,35,44,1417,14637,
"Greenacre - South",7,1540,18,0,0,133,0,971,69,36,0,0,473,564,77,187,5278,0,20,92,5,416,205,0,579,127,0,986,55,0,3,26,0,0,0,24,75,41,37,1365,13416,
"Panania (North) - Milperra",0,2294,50,0,0,87,0,3113,510,150,17,0,478,706,91,45,1010,5,12,57,0,458,171,0,879,38,0,462,12,3,15,74,5,0,0,13,60,17,27,479,11340,
"Panania (South) - Picnic Point",7,2919,70,3,0,116,0,4357,714,245,27,0,813,1467,167,59,1223,3,11,82,0,607,272,0,1241,48,0,553,22,6,12,118,7,5,0,3,85,20,47,663,15994,
"Belmore - Belfield",9,1878,74,0,0,392,3,1966,350,114,16,0,1592,2484,126,64,2974,5,26,199,3,778,644,0,2175,711,0,1340,62,8,16,231,10,3,0,79,137,40,87,1746,20332,
"Punchbowl",3,2374,47,0,0,365,0,1566,145,117,5,0,666,1042,75,183,6290,0,51,148,8,1374,809,0,1427,81,0,2009,39,6,16,130,4,0,0,83,156,81,123,2109,21544,
"Roselands",0,1640,57,0,0,221,0,1519,268,111,4,7,1031,2230,91,60,2395,0,8,134,4,340,423,0,1698,68,0,848,23,6,10,183,3,3,0,41,58,47,67,959,14577,
"Lakemba",0,1240,37,0,0,187,0,1169,90,58,8,0,246,548,46,76,1645,0,3,63,13,1396,792,0,802,111,0,5907,81,0,3,61,0,6,0,72,156,106,238,1940,17092,
"Wiley Park",5,788,27,0,0,183,0,747,54,31,0,0,176,321,16,70,1404,0,4,75,6,590,476,0,660,58,0,2925,41,0,10,55,3,0,0,55,76,56,136,1101,10135,
"Campsie - North",3,568,25,0,0,134,0,858,115,65,12,0,330,284,40,12,676,0,0,62,7,468,484,0,4531,536,0,1630,15,5,9,66,7,0,0,13,33,16,31,876,11905,
"Campsie - South",6,344,12,0,0,120,5,614,80,39,7,0,201,198,37,11,451,0,0,24,0,450,521,0,2811,236,0,1634,10,7,9,67,0,0,0,0,44,21,46,1075,9059,
"Canterbury - South",5,971,47,3,0,171,0,1451,282,102,8,0,961,1327,95,24,809,3,6,107,3,551,438,0,2328,291,0,690,20,10,16,226,13,3,0,21,49,30,44,1123,12220,
"Earlwood",3,2251,44,3,0,132,0,2994,714,262,29,0,2288,3931,176,27,1356,10,0,174,0,602,251,0,1288,67,0,233,27,0,19,102,14,5,0,13,25,20,42,858,17969,
"Kingsgrove - North",8,657,29,0,0,70,0,691,115,43,5,0,696,1475,44,27,625,0,0,57,0,180,106,0,797,42,0,114,7,5,12,71,0,0,0,10,7,11,20,334,6261,
"Narwee - Beverly Hills",10,1308,115,0,5,201,0,1758,291,94,9,0,722,1289,99,29,854,0,4,46,8,379,495,0,4196,92,0,645,23,10,18,181,8,0,0,25,47,30,42,770,13791,
"Oatley - Hurstville Grove",0,1859,43,3,0,36,0,3297,627,194,5,0,726,1575,111,11,382,0,0,49,0,109,193,0,2420,87,0,318,15,0,15,83,0,0,0,0,30,13,30,374,12594,
"Peakhurst - Lugarno",4,3405,109,0,0,129,4,5252,854,244,31,5,1197,2561,203,13,1270,12,12,100,0,190,261,0,2374,94,0,487,29,12,34,200,9,0,0,13,42,15,36,1042,20220,
"Riverwood",7,944,138,0,0,218,0,1327,211,93,6,0,389,527,101,20,722,0,65,62,0,433,549,0,3680,146,0,797,7,7,8,143,0,0,0,20,50,15,57,849,11606,
"South Hurstville - Blakehurst",7,2114,100,4,0,94,0,3502,543,234,17,5,1215,3360,193,27,1271,3,0,95,0,349,380,0,7388,119,0,2509,21,6,4,198,9,5,0,3,54,45,75,1316,25259,
"Hurstville - Central",0,382,40,0,0,46,0,848,85,38,3,0,143,382,46,11,201,0,0,40,0,176,339,0,5634,148,0,2713,12,0,4,53,0,0,0,4,3,20,43,650,12046,
"Hurstville - North",6,690,60,0,0,78,0,1160,143,62,4,0,417,1179,64,11,605,0,0,17,0,121,259,0,5520,87,0,779,8,3,7,114,0,4,0,0,14,18,15,671,12109,
"Mortdale - Oatley",0,2379,77,0,0,60,0,3936,633,221,26,0,622,1462,169,26,357,6,3,54,4,132,305,0,2432,112,0,780,15,5,23,124,17,0,0,11,61,25,44,610,14715,
"Penshurst",7,796,65,0,0,61,0,1481,249,98,6,0,372,774,76,7,308,3,0,39,0,118,398,0,2231,62,0,1451,11,3,7,97,4,0,0,10,45,19,32,692,9528,
"Kingsgrove (South) - Bardwell Park",3,1381,68,0,0,90,0,1836,346,117,14,0,962,2667,126,37,883,0,3,100,0,353,341,0,2484,84,0,283,10,0,13,163,0,0,0,7,18,16,22,546,12973,
"Kogarah",4,912,50,4,0,91,0,1560,313,126,3,3,613,1420,248,20,344,0,0,83,0,263,695,0,2007,182,0,2512,32,26,8,335,7,3,0,3,32,30,67,1047,13051,
"Kogarah Bay - Carlton - Allawah",12,1570,69,5,0,88,0,2126,407,153,7,0,929,2564,262,21,866,21,4,95,0,215,515,0,3099,142,0,1615,50,12,14,279,5,11,0,11,55,32,53,898,16200,
"Monterey - Brighton-le-Sands - Kyeemagh",0,1574,83,0,0,77,0,2044,443,189,19,0,1195,3334,284,54,1126,19,5,315,3,197,190,0,630,56,0,425,39,10,24,419,6,6,0,10,28,41,47,989,13896,
"Rockdale - Banksia",10,1603,92,0,0,125,0,2289,441,197,20,9,968,2405,338,42,1028,15,8,141,6,535,764,0,2372,243,0,3935,30,11,31,528,15,7,0,9,58,79,115,1399,19853,
"Sans Souci - Ramsgate",3,2329,72,4,0,68,0,3592,712,277,21,0,1306,3718,303,52,951,16,5,189,0,148,210,0,787,43,0,275,36,9,20,302,14,9,0,9,73,29,41,1038,16659,
"Arncliffe - Bardwell Valley",5,1807,54,3,0,124,0,2491,480,192,14,4,860,1527,201,77,2217,0,4,100,3,447,536,0,1860,569,0,656,48,26,30,484,18,4,0,17,43,57,46,1578,16579,
"Bexley - North",4,1108,60,0,0,73,0,1367,274,84,4,0,706,1689,97,49,1642,0,11,91,0,98,225,0,1246,30,0,201,12,5,5,112,10,0,0,6,55,8,20,854,10145,
"Bexley - South",3,1391,98,3,0,121,0,1982,379,144,19,0,746,2411,165,52,1046,4,3,64,10,246,470,0,2692,126,0,2227,27,12,13,216,14,0,0,3,38,42,61,1001,15831,
"Wolli Creek",0,508,24,0,0,20,0,1078,191,136,17,5,370,168,174,11,168,3,0,69,0,518,528,0,3670,716,0,735,15,13,20,628,14,4,0,3,35,34,31,816,10731,
"Concord - Mortlake - Cabarita",0,2692,61,4,0,33,0,5016,1161,334,32,0,4288,1235,305,22,1160,9,10,345,0,290,232,0,3245,542,0,774,61,4,27,147,20,4,0,17,103,26,35,867,23113,
"Drummoyne - Rodd Point",0,2815,57,0,0,30,4,5573,1322,336,41,9,2690,1183,289,31,385,8,5,215,0,243,199,0,1175,129,0,426,59,6,42,156,7,3,0,9,76,23,35,786,18366,
"Five Dock - Abbotsford",9,2676,60,3,0,71,0,5104,1280,382,39,4,4531,1057,379,14,502,6,5,277,3,258,248,0,1857,226,0,431,65,7,28,258,20,12,0,4,81,25,36,980,20933,
"Concord West - North Strathfield",11,1297,36,0,0,35,0,2106,595,169,19,0,1595,495,177,12,348,3,4,132,3,218,366,0,2273,777,0,1215,12,0,17,104,3,4,0,0,56,23,45,708,12842,
"Rhodes",0,410,18,0,0,19,0,935,116,76,9,3,233,89,95,32,271,4,0,212,3,243,341,0,4784,1494,0,1184,29,14,6,169,6,0,0,4,24,26,26,585,11453,
"Balmain",5,2571,88,0,0,26,0,7276,1550,503,73,10,593,368,256,0,123,21,7,57,0,101,99,0,568,95,0,220,23,5,66,80,13,5,0,6,52,23,25,672,15579,
"Lilyfield - Rozelle",5,2411,72,4,0,18,0,5772,1246,373,55,0,852,446,238,7,130,4,0,100,0,128,126,0,565,116,0,275,21,7,37,94,8,0,0,14,60,9,31,598,13824,
"Annandale (NSW)",0,1750,34,3,0,16,0,3801,811,252,28,0,487,281,148,9,113,27,0,57,0,114,98,0,447,50,0,151,8,13,37,76,16,3,0,13,39,16,24,538,9464,
"Leichhardt",0,2985,102,3,0,45,3,6568,1532,476,52,0,1691,613,264,23,173,14,0,120,0,229,219,0,872,143,0,323,14,5,54,155,16,5,0,10,57,30,27,701,17532,
"Canterbury (North) - Ashbury",4,1596,35,0,0,61,0,2455,622,169,16,0,1325,1007,164,19,582,4,0,76,0,437,336,0,1243,400,0,523,18,3,23,206,10,5,0,11,50,19,15,557,11999,
"Croydon Park - Enfield",5,1934,64,5,0,138,0,2865,883,239,15,0,2766,1053,255,27,1285,4,9,141,0,315,363,0,2577,392,0,723,18,9,18,213,24,7,0,25,52,46,26,937,17434,
"Dulwich Hill - Lewisham",7,2823,72,3,0,106,0,5656,1367,412,50,3,1256,1185,302,23,472,15,6,149,0,503,330,0,1095,178,0,464,25,5,42,241,17,8,0,7,68,26,40,992,17948,
"Haberfield - Summer Hill",0,1894,53,0,0,36,0,4119,1053,287,29,0,2393,553,172,9,174,15,0,84,0,173,201,0,930,187,0,336,23,6,30,106,16,0,0,15,34,19,34,548,13520,
"Homebush",4,902,40,0,0,87,0,1867,301,100,14,0,370,251,166,14,311,0,12,148,8,604,592,0,4786,1387,0,6862,42,13,16,175,8,0,0,22,60,73,94,1509,20822,
"Strathfield South",0,349,6,0,0,27,0,426,119,42,0,0,383,167,51,11,247,0,3,27,0,82,78,0,626,194,0,588,3,0,8,33,3,0,0,0,12,4,16,136,3636,
"Ashfield - North",0,1149,43,0,0,36,3,2311,510,181,11,0,614,289,215,12,154,6,0,109,6,342,462,0,2062,226,0,1791,21,4,24,147,8,3,0,17,55,28,41,575,11456,
"Ashfield - South",4,1076,28,3,0,59,0,2633,631,158,27,5,818,567,196,12,332,7,6,69,11,371,419,0,2866,211,0,960,14,9,20,124,5,3,0,5,33,12,23,544,12246,
"Burwood (NSW)",3,518,27,0,0,28,0,1382,198,79,7,4,444,347,116,19,209,3,0,68,3,667,418,0,7628,497,0,2027,10,6,5,95,5,0,0,3,13,24,37,1063,15942,
"Croydon",5,1098,17,0,0,31,0,1853,481,131,13,0,1017,643,180,10,541,3,0,59,0,332,199,0,2997,250,0,507,6,5,15,69,7,0,0,3,10,10,20,474,10993,
"Strathfield - East",0,681,13,0,0,38,0,1338,264,100,6,0,487,382,164,14,561,3,0,66,5,628,284,0,3288,1565,0,5137,16,3,10,112,0,0,0,5,25,58,72,1095,16420,
"Strathfield - West",0,717,12,0,0,27,0,926,256,72,3,0,526,412,118,26,1152,0,0,96,0,334,118,0,2124,427,0,1343,15,6,7,42,0,0,0,0,20,15,27,422,9253,
"Chatswood (West) - Lane Cove North",0,2487,67,4,0,26,0,5447,958,532,51,3,608,411,484,6,169,42,0,381,0,299,517,0,5026,732,0,1359,229,7,45,240,26,3,0,5,128,34,54,902,21294,
"St Leonards - Naremburn",0,1467,47,0,0,11,0,3291,586,289,18,0,412,232,231,11,126,7,0,139,0,159,262,0,2260,609,0,798,56,5,30,126,14,9,0,8,84,29,21,566,11903,
"Artarmon",0,1071,26,0,0,13,0,2135,366,137,16,3,242,104,141,0,81,13,0,96,4,198,240,0,2311,414,0,1127,51,0,34,84,12,0,0,3,40,33,21,407,9406,
"Castle Cove - Northbridge",0,2388,50,3,0,9,0,5058,911,372,47,0,413,341,268,0,84,12,0,90,0,71,82,0,1869,273,0,207,215,0,48,46,6,4,0,3,65,12,23,448,13440,
"Chatswood - East",0,1298,35,0,0,16,4,2839,484,206,39,8,422,272,161,15,104,5,0,177,4,331,567,0,8385,1710,0,1184,168,3,25,84,18,4,0,3,55,18,59,883,19601,
"Greenwich - Riverview",0,2256,51,0,0,18,0,4752,1134,348,37,0,490,295,225,11,73,24,0,141,0,122,125,0,1402,183,0,534,37,0,30,79,19,3,0,3,67,8,39,408,12928,
"Lane Cove",0,2384,55,0,0,19,0,5017,1052,403,49,7,635,426,352,14,161,17,0,354,0,163,285,0,2064,360,0,914,130,25,40,208,17,3,0,6,126,28,57,542,15888,
"Willoughby",0,2260,33,0,0,17,0,4262,858,299,35,0,531,503,162,15,112,9,0,113,0,133,203,0,1917,313,0,288,311,4,26,72,6,0,0,6,59,10,19,422,12996,
"Asquith - Mount Colah",0,4028,56,9,0,96,0,7760,1066,528,53,3,657,180,386,17,126,22,0,534,9,219,583,0,2114,458,0,2001,62,11,45,137,9,7,0,13,125,33,83,596,22057,
"Berowra - Brooklyn - Cowan",0,2795,39,0,0,12,0,5807,743,369,58,3,279,101,185,4,54,10,0,91,0,72,136,0,327,74,0,251,26,3,20,49,0,0,0,0,59,16,5,213,11790,
"Normanhurst - Thornleigh - Westleigh",0,3496,76,4,0,23,0,6637,963,441,54,0,487,220,327,17,478,6,5,294,0,146,341,0,2473,471,0,1258,31,10,40,127,13,14,0,7,122,32,55,488,19158,
"Hornsby - East",0,1017,39,0,0,48,0,2022,294,145,22,0,241,97,273,22,57,6,3,295,3,202,587,0,2727,609,0,2329,67,9,21,108,6,3,0,17,57,37,83,512,11943,
"Hornsby - West",4,1621,25,4,0,28,0,3093,435,253,27,0,287,74,236,0,76,3,0,155,4,132,166,0,2304,397,0,676,58,12,11,62,0,0,0,11,54,19,18,377,10629,
"Wahroonga (West) - Waitara",0,1133,13,4,0,16,0,2286,336,168,15,0,178,84,202,10,59,18,0,364,8,136,430,0,2825,541,0,2148,32,0,15,95,0,4,0,10,77,27,48,592,11877,
"Gordon - Killara",0,2427,49,0,0,18,0,5600,761,458,60,0,331,267,396,4,122,53,9,462,0,220,259,0,7610,1153,0,1032,49,15,35,88,12,5,0,9,153,22,52,697,22433,
"Lindfield - Roseville",0,3549,70,0,0,11,0,7934,1223,549,70,0,525,340,373,11,101,30,0,210,0,194,270,0,6317,840,0,792,161,6,61,79,15,4,0,0,147,21,46,663,24599,
"Pymble",0,2633,43,3,0,12,0,5435,921,332,47,0,354,205,278,13,70,25,0,288,0,127,138,0,3839,563,0,999,75,5,44,79,8,0,0,12,195,17,26,422,17221,
"St Ives",0,2868,60,3,0,13,0,7022,796,625,56,0,575,271,532,27,127,168,0,573,4,92,120,0,4495,607,0,883,102,11,57,105,19,3,0,3,813,19,79,533,21665,
"Turramurra",3,3354,42,0,0,3,0,8057,1061,505,61,0,464,235,346,5,105,27,0,292,0,89,145,0,2949,572,0,914,56,3,27,100,11,3,0,0,208,22,22,560,20251,
"Wahroonga (East) - Warrawee",0,2878,38,8,0,33,0,6723,926,456,51,0,393,239,279,12,102,15,0,303,0,117,162,0,2883,448,0,1125,30,0,41,85,0,0,0,11,249,33,25,515,18191,
"Cremorne - Cammeray",0,2946,79,0,0,19,5,7941,1399,632,84,3,726,409,494,11,83,21,4,183,5,156,188,0,1425,342,0,492,42,13,81,210,14,5,0,9,135,26,47,669,18905,
"Crows Nest - Waverton",0,2582,92,0,0,21,6,6537,1263,620,78,0,642,269,464,18,93,39,0,161,3,181,303,0,2044,421,0,845,41,16,51,220,23,13,0,10,149,28,46,644,17916,
"Neutral Bay - Kirribilli",0,2400,61,0,0,19,0,6857,1280,600,70,7,654,299,446,11,114,31,0,156,0,209,262,0,1238,305,0,630,37,26,81,181,20,7,0,0,129,39,37,970,17183,
"North Sydney - Lavender Bay",0,1360,37,3,0,20,0,3993,799,392,71,4,428,213,276,12,85,11,4,175,0,176,242,0,1733,356,0,832,15,0,43,174,24,7,0,3,85,30,30,796,12441,
"Mosman - North",0,2165,53,0,0,16,0,5960,1001,472,87,5,583,349,331,6,97,5,0,96,0,78,127,0,966,136,0,301,43,3,57,151,20,0,0,0,72,19,20,538,13763,
"Mosman - South",3,2388,50,0,0,9,0,6975,1209,567,73,4,483,366,313,3,53,12,0,70,11,73,90,0,622,134,0,248,14,4,66,100,17,7,0,0,92,12,27,469,14565,
"Balgowlah - Clontarf - Seaforth",5,3694,111,0,0,35,0,10161,1552,727,131,6,834,521,271,4,86,20,0,108,0,94,85,0,819,148,0,205,66,8,89,134,20,0,0,4,159,26,38,567,20732,
"Manly - Fairlight",4,3553,118,0,0,24,0,10888,1866,1241,215,0,1068,319,468,4,71,10,0,43,0,81,106,0,325,126,0,142,22,10,191,329,22,10,0,5,135,35,47,998,22438,
"Avalon - Palm Beach",0,2661,45,0,0,3,0,7235,1004,502,76,0,290,118,143,0,23,4,0,24,3,38,38,0,102,21,0,27,5,4,39,50,4,3,0,0,39,18,16,513,13052,
"Bayview - Elanora Heights",0,2367,45,0,0,10,0,5609,709,494,57,3,492,219,117,0,51,0,0,21,0,31,36,0,164,29,0,51,45,0,38,57,3,0,0,0,76,15,6,484,11243,
"Newport - Bilgola",0,2853,43,0,0,16,0,7311,999,514,79,0,338,195,230,5,21,10,0,33,0,48,64,0,119,43,0,75,26,0,46,64,7,0,0,6,78,21,17,416,13681,
"Mona Vale - Warriewood (North)",5,3108,45,0,0,35,0,6949,887,555,40,3,564,498,187,4,29,0,0,32,0,73,96,0,177,61,0,110,13,0,51,108,4,0,0,6,67,9,16,890,14634,
"North Narrabeen - Warriewood (South)",0,2569,46,0,0,22,0,5056,715,374,37,0,398,241,183,0,39,3,0,57,0,58,89,0,136,52,0,53,13,5,29,105,8,4,0,3,67,14,22,482,10874,
"Beacon Hill - Narraweena",0,2622,116,0,0,96,0,5555,870,442,38,0,1614,343,180,0,84,0,0,57,0,107,299,0,715,245,0,193,101,13,20,145,5,3,0,3,67,21,20,578,14547,
"Cromer",0,1737,43,0,0,32,0,3680,443,280,35,0,524,170,111,0,30,0,0,17,0,37,113,0,200,44,0,69,17,3,14,84,0,0,0,0,46,4,3,303,8046,
"Forestville - Killarney Heights",0,2407,45,0,0,39,0,5073,697,600,50,0,441,357,228,0,94,12,0,115,0,58,93,0,1216,230,0,195,506,0,60,106,6,0,0,0,95,14,19,402,13161,
"Freshwater - Brookvale",5,4036,123,3,0,102,0,10043,1603,915,154,3,1235,378,378,3,59,7,0,81,0,113,214,0,443,208,0,214,49,0,103,307,26,4,0,8,99,32,33,841,21828,
"Manly Vale - Allambie Heights",0,3606,81,5,0,55,0,8029,1216,602,91,0,844,303,284,0,59,4,0,61,0,90,172,0,586,167,0,315,29,3,63,148,11,3,0,8,139,13,35,522,17550,
"Terrey Hills - Duffys Forest",0,871,14,0,0,3,0,1848,223,160,23,0,153,54,69,0,13,0,0,18,0,5,15,0,82,15,0,19,18,0,10,5,0,0,0,0,45,5,0,121,3786,
"Belrose",0,1849,39,0,0,19,0,3794,526,263,29,0,364,177,86,5,29,0,0,49,0,17,35,0,444,97,0,148,301,0,27,38,0,10,0,0,106,12,11,178,8652,
"Collaroy - Collaroy Plateau",0,2999,79,0,0,51,0,6302,989,451,64,3,921,315,173,5,37,5,0,35,0,56,120,0,348,87,0,124,17,6,31,147,5,3,0,0,52,10,16,525,13980,
"Dee Why (South) - North Curl Curl",0,1707,33,0,0,44,0,4191,600,332,51,4,490,195,171,4,42,3,0,29,0,69,63,0,211,64,0,165,20,3,31,134,6,10,0,3,45,6,8,373,9116,
"Dee Why - North",0,2473,130,0,0,127,0,5469,831,657,89,0,1277,583,503,7,78,7,0,149,0,238,635,0,754,843,0,1283,56,15,50,529,23,10,0,7,109,40,63,793,17816,
"Frenchs Forest - Oxford Falls",0,3442,89,0,0,55,0,7832,1113,624,70,0,677,294,223,5,70,10,0,159,0,79,119,0,858,157,0,223,360,3,46,100,5,8,0,7,117,22,24,376,17175,
"Narrabeen - Wheeler Heights",3,2417,51,0,0,26,0,5448,741,430,50,3,519,199,144,4,25,3,0,11,0,32,60,0,138,56,0,70,11,4,45,137,3,3,0,3,52,11,16,541,11241,
"Camden - Ellis Lane",0,3691,38,0,0,38,0,6173,849,293,19,4,784,202,146,3,69,0,0,30,0,36,54,0,93,15,0,53,7,0,11,64,9,0,0,0,47,8,13,530,13295,
"Currans Hill",0,1767,30,0,0,186,0,2280,270,119,3,0,352,157,53,10,130,0,0,77,0,116,128,0,101,3,0,256,9,3,3,74,3,0,0,10,62,9,15,221,6445,
"Elderslie - Narellan",0,3798,48,0,0,54,0,5797,706,305,15,0,1017,333,115,5,188,0,0,90,0,80,105,0,195,9,0,340,10,4,30,117,4,5,0,10,57,24,45,511,14019,
"Harrington Park",7,2614,46,0,0,97,0,3785,529,221,12,0,1136,502,154,30,321,0,3,110,3,97,141,0,264,7,0,431,54,13,9,133,0,0,0,3,105,11,37,356,11241,
"Mount Annan",13,5348,84,0,0,125,0,7256,987,381,37,0,1016,490,228,22,331,0,6,116,0,182,251,0,321,37,0,593,51,11,35,215,23,0,0,15,120,19,71,644,19040,
"Spring Farm",0,2753,58,4,0,83,0,3441,431,174,8,0,531,234,114,13,92,0,14,90,0,102,133,0,106,10,0,522,17,0,11,98,5,0,0,25,116,5,53,299,9539,
"Bradbury - Wedderburn",8,5325,174,15,0,805,0,6214,740,407,11,0,587,382,218,30,719,0,14,71,0,349,439,0,342,54,0,1170,73,5,22,223,17,0,0,15,125,31,40,1391,20011,
"Campbelltown - Woodbine",27,4135,200,3,0,748,0,5538,748,390,26,0,652,428,246,51,951,0,38,129,11,508,1175,0,806,80,0,2735,110,15,16,218,16,3,0,41,228,52,107,1667,22084,
"Claymore - Eagle Vale - Raby",28,4675,163,3,7,970,0,5560,674,338,21,0,749,545,224,65,1075,0,11,154,3,483,568,0,390,16,0,1405,74,22,19,274,37,8,0,19,209,41,68,1336,20236,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,
"Leumeah - Minto Heights",27,3953,165,6,0,530,0,5184,693,343,66,0,433,371,234,30,554,0,22,65,4,279,466,0,362,38,0,1435,20,4,17,149,17,0,0,43,110,25,74,1001,16729,
"Minto - St Andrews",25,3687,199,11,0,990,0,4190,548,267,20,4,564,370,167,75,870,0,7,75,17,510,960,0,445,48,0,5008,95,9,25,161,20,4,0,32,151,123,119,1543,21335,
"Rosemeadow - Glen Alpine",11,5127,156,3,3,638,0,6517,787,409,26,3,788,508,276,33,668,0,23,107,0,685,591,0,437,28,0,1002,78,17,27,319,26,3,0,16,164,31,87,1568,21155,
"Denham Court - Bardia",14,1620,124,3,0,362,0,1757,206,130,5,10,888,752,100,60,867,3,12,523,10,366,663,0,892,62,0,4095,53,6,26,173,16,0,0,80,130,46,144,681,14868,
"Glenfield",11,1187,99,7,0,363,0,1572,204,126,7,0,208,214,179,22,401,0,8,74,4,241,492,0,771,37,0,3007,8,11,25,98,20,0,3,63,97,39,92,864,10536,
"Ingleburn",30,2744,144,3,0,730,0,3698,508,282,32,0,485,343,184,13,408,4,7,54,15,277,928,0,739,48,0,3500,49,10,20,150,39,0,0,24,83,46,75,1040,16720,
"Macquarie Fields",11,2597,92,3,0,827,0,2807,327,202,10,0,276,260,132,23,527,0,28,60,9,419,484,0,403,22,0,3015,37,3,9,118,29,0,0,52,93,30,86,1215,14198,
"Bargo",0,1975,16,0,0,4,0,2507,302,155,11,0,329,119,47,0,52,0,0,11,0,19,9,0,47,0,0,29,0,0,5,21,4,0,0,0,10,8,4,252,5934,
"Douglas Park - Appin",0,3445,35,0,0,37,0,4707,560,302,22,0,564,225,96,7,84,5,0,21,0,40,46,0,67,4,0,69,0,0,14,41,0,0,0,0,36,9,4,675,11112,
"Picton - Tahmoor - Buxton",4,5884,56,4,0,28,0,8582,1060,490,43,0,635,266,158,0,200,3,0,26,0,52,59,0,131,9,0,48,9,3,16,81,4,0,0,3,73,18,31,992,18987,
"The Oaks - Oakdale",0,3091,16,0,0,16,0,3875,489,213,19,0,947,195,57,0,79,0,5,32,0,39,27,0,43,5,0,53,0,3,20,39,4,6,0,3,27,5,17,470,9808,
"Blackheath - Megalong Valley",0,1222,13,0,0,4,0,2832,503,230,23,3,113,65,112,0,21,5,0,12,0,30,37,0,65,18,0,24,0,0,21,19,0,0,0,0,14,17,9,348,5764,
"Blaxland - Warrimoo - Lapstone",0,5036,37,0,0,20,3,9404,1537,600,42,5,474,180,319,0,91,8,0,53,0,54,101,0,201,31,0,119,16,0,22,51,4,5,0,7,50,23,18,464,18993,
"Blue Mountains - North",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
"Katoomba - Leura",0,2614,38,0,0,32,6,6355,1216,531,75,0,386,151,274,0,39,14,0,28,0,130,133,0,259,116,0,135,5,3,41,47,7,4,0,0,28,33,25,625,13348,
"Lawson - Hazelbrook - Linden",0,2936,35,0,0,10,5,5598,884,445,27,0,283,139,206,0,33,10,0,14,4,35,74,0,114,30,0,68,0,3,20,62,0,0,0,0,32,16,20,333,11445,
"Springwood - Winmalee",5,5820,64,5,0,35,0,10890,1745,700,54,0,566,239,329,3,51,0,0,27,0,51,107,0,156,25,0,114,9,0,45,91,17,5,0,0,65,27,18,703,21964,
"Wentworth Falls",0,1356,18,0,0,8,0,3135,551,225,13,0,173,80,137,0,23,0,0,10,0,44,42,0,87,31,0,58,7,0,11,21,0,0,0,0,10,14,6,357,6428,
"Blue Mountains - South",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"Cambridge Park",10,4888,144,0,0,226,0,6154,834,362,15,0,539,195,192,20,173,0,0,65,0,71,229,0,162,44,0,465,28,0,16,45,7,3,0,6,45,20,34,991,16004,
"Emu Plains - Leonay",0,3998,54,0,0,41,3,6102,1054,440,29,4,453,267,186,4,93,3,0,41,0,42,117,0,134,11,0,141,28,3,21,32,0,0,0,0,26,16,10,571,13914,
"Glenmore Park - Regentville",14,5869,78,3,0,132,0,7718,1060,505,28,5,1189,447,235,14,314,3,16,208,0,76,484,0,358,80,0,1175,58,8,15,80,9,0,0,0,127,27,55,628,21002,
"Jamisontown - South Penrith",8,4923,100,0,0,140,0,6953,1039,430,26,0,534,292,181,10,183,0,11,98,0,65,224,0,320,42,0,600,25,4,13,55,10,0,0,4,76,24,28,880,17326,
