"2-digit level ANC1P Ancestry 1st Response","Oceanian, nfd","Australian Peoples","New Zealand Peoples","Melanesian and Papuan","Micronesian","Polynesian","North-West European, nfd","British","Irish","Western European","Northern European","Southern and Eastern European, nfd","Southern European","South Eastern European","Eastern European","North African and Middle Eastern, nfd","Arab","Jewish","Peoples of the Sudan","Other North African and Middle Eastern","South-East Asian, nfd","Mainland South-East Asian","Maritime South-East Asian","North-East Asian, nfd","Chinese Asian","Other North-East Asian","Southern and Central Asian, nfd","Southern Asian","Central Asian","Peoples of the Americas, nfd","North American","South American","Central American","Caribbean Islander","Sub-Saharan African, nfd","Central and West African","Southern and East African","Inadequately described","So described, nfd","Not stated","Total",
"SA2 (UR)",
"Oberon",0,1348,11,0,0,23,0,1974,345,96,15,0,71,66,34,0,15,0,0,0,0,8,12,0,32,5,0,64,0,0,4,4,0,0,0,0,19,3,6,677,4834,
"Bathurst - South",0,2927,39,4,0,29,0,4311,819,155,9,0,134,52,44,0,37,4,6,19,0,70,106,0,94,23,0,416,9,0,13,22,3,0,0,6,21,21,21,1353,10752,
"Bathurst - West",0,4737,34,0,0,26,0,6481,1079,285,11,0,207,68,74,3,34,0,0,15,0,43,76,0,96,16,0,208,0,0,15,23,0,0,0,0,47,15,11,694,14313,
"Condobolin",0,2641,8,3,0,0,0,2296,291,65,4,0,29,5,3,0,13,0,0,0,0,5,49,0,24,0,0,77,0,0,0,5,0,0,0,0,14,0,4,825,6372,
"Cowra",10,3364,9,0,0,5,0,4043,529,179,20,0,97,47,28,0,5,0,8,6,0,30,45,0,40,18,0,69,0,0,4,6,0,0,0,22,20,28,6,641,9273,
"Cowra Surrounds",0,1825,9,0,0,6,0,2538,367,133,5,0,78,24,20,0,6,0,0,3,0,8,20,0,27,0,0,23,0,0,10,6,0,0,0,0,8,3,0,593,5716,
"Forbes",0,3846,14,0,0,3,0,4097,573,177,10,0,117,25,25,0,3,0,0,0,0,9,45,0,36,5,0,73,0,0,0,3,0,0,0,0,0,3,0,957,10020,
"Grenfell",0,1216,5,0,0,0,0,1735,218,63,0,0,32,10,6,0,3,0,0,0,0,5,17,0,6,3,0,15,0,0,4,0,0,0,0,0,0,0,9,255,3597,
"Parkes (NSW)",0,4163,17,5,0,21,0,4627,606,165,10,0,87,17,48,0,9,0,0,10,0,33,77,0,62,6,0,93,3,0,3,10,0,0,0,8,51,7,11,771,10919,
"Parkes Surrounds",0,1291,3,0,0,5,0,1319,165,85,4,0,21,5,11,0,5,0,0,0,0,0,8,0,14,4,0,9,0,0,0,0,0,0,0,0,3,5,0,299,3262,
"West Wyalong",0,1861,15,11,0,4,0,2468,307,113,13,0,16,12,11,0,8,0,0,0,0,8,32,0,26,0,0,29,0,0,6,3,0,0,0,3,3,11,0,563,5525,
"Lithgow",0,4003,33,15,0,17,0,5496,687,213,17,0,152,83,87,0,18,3,0,18,0,62,88,0,99,7,0,110,3,3,16,15,0,5,0,3,8,11,18,1082,12385,
