sa2_name_2021,in_wslhd,in_metro,pop_size
St Marys - North St Marys,0,1,17325
Rookwood Cemetery,1,1,3
Auburn - Central,1,1,19487
Auburn - North,1,1,10592
Auburn - South,1,1,8860
Berala,1,1,8610
Lidcombe,1,1,21197
Regents Park,1,1,5138
Silverwater - Newington,1,1,9246
Wentworth Point - Sydney Olympic Park,1,1,20412
Ermington - Rydalmere,1,1,24641
Oatlands - Dundas Valley,1,1,18508
Carlingford - East,1,1,11622
Carlingford - West,1,1,19251
Chester Hill - Sefton,0,1,20842
Fairfield - East,0,1,15742
Granville - Clyde,1,1,23250
Guildford - South Granville,1,1,22386
Guildford West - Merrylands West,1,1,22929
Smithfield Industrial,1,1,10
Yennora Industrial,1,1,12
Greystanes - South,1,1,16645
Merrylands - Holroyd,1,1,23806
Pemulwuy - Greystanes (North),1,1,10893
South Wentworthville,1,1,7305
North Parramatta,1,1,22878
North Rocks,1,1,8451
Northmead,1,1,20275
Toongabbie - Constitution Hill,1,1,22853
Winston Hills,1,1,11199
Pendle Hill - Girraween,1,1,13939
Wentworthville - Westmead,1,1,21568
Parramatta - North,1,1,12062
Parramatta - South,1,1,9867
Rosehill - Harris Park,1,1,9034
Pennant Hills - Cheltenham,0,1,21737
Epping (East) - North Epping,1,1,14404
Epping (NSW) - West,1,1,18690
Gladesville - Huntleys Point,0,1,15456
Hunters Hill - Woolwich,0,1,9844
Macquarie Park - Marsfield,0,1,23818
North Ryde - East Ryde,0,1,15622
West Ryde - Meadowbank,0,1,20102
Putney,0,1,4163
Denistone,0,1,6969
Eastwood,1,1,18974
Ryde - North,0,1,20291
Ryde - South,0,1,11972
Ashcroft - Busby - Miller,0,1,17962
Austral - Greendale,0,1,12533
Badgerys Creek,0,1,25
Cecil Hills,0,1,6906
Green Valley,0,1,12919
Hinchinbrook,0,1,13038
Hoxton Park - Carnes Hill - Horningsea Park,0,1,13263
West Hoxton - Middleton Grange,0,1,17194
Cobbitty - Bringelly,0,1,4761
Gledswood Hills - Gregory Hills,0,1,14299
Leppington - Catherine Field,0,1,12559
Oran Park,0,1,17624
Bonnyrigg Heights - Bonnyrigg,0,1,17154
Bossley Park - Abbotsbury,0,1,19690
Cabramatta - Lansvale,0,1,24101
Cabramatta West - Mount Pritchard,0,1,18249
Canley Vale - Canley Heights,0,1,22261
Edensor Park,0,1,10279
Fairfield,0,1,18248
Fairfield - West,0,1,21249
Greenfield Park - Prairiewood,0,1,8855
Horsley Park - Kemps Creek,0,1,4344
Smithfield - Wetherill Park,0,1,19510
St Johns Park - Wakeley,0,1,11197
Wetherill Park Industrial,0,1,37
Casula,0,1,16584
Chipping Norton - Moorebank,0,1,20813
Holsworthy - Wattle Grove,0,1,21129
Lurnea - Cartwright,0,1,12670
Warwick Farm,0,1,5937
Edmondson Park,0,1,12080
Liverpool - East,0,1,17536
Liverpool - West,0,1,13737
Prestons,0,1,15692
Gymea - Grays Point,0,1,18156
Miranda - Yowie Bay,0,1,20705
Sylvania - Taren Point,0,1,16430
Caringbah,0,1,12858
Caringbah South,0,1,13015
Cronulla - Kurnell - Bundeena,0,1,24374
Lilli Pilli - Port Hacking - Dolans Bay,0,1,3369
Woolooware - Burraneer,0,1,8947
Heathcote - Waterfall,0,1,6673
Illawong - Alfords Point,0,1,10554
Menai - Lucas Heights - Woronora,0,1,20927
Oyster Bay - Como - Jannali,0,1,22063
Royal National Park,0,1,42
Sutherland - Kirrawee,0,1,23238
Engadine,0,1,17356
Loftus - Yarrawarrah,0,1,7348
Woronora Heights,0,1,3539
Migratory - Offshore - Shipping (NSW),0,0,0
No usual address (NSW),0,0,11371
